pays,ville,coordonnesgroup
Tunisie,Zaouiet Djedidi,Point(10.6 36.65)
Tunisie,Beni Hassen,Point(10.808611111 35.567222222)
Tunisie,El Aïn,Point(10.78333333 34.8)
Tunisie,Menzel Salem,Point(8.46666667 35.86666667)
Tunisie,Soliman,Point(10.491257 36.695126)
Tunisie,Gafsa,Point(8.783333333 34.416666666)
Tunisie,Azmour,Point(11.0069 36.9244)
Tunisie,Ben Gardane,Point(11.216666666 33.138888888)
Tunisie,Mornag,Point(10.291944444 36.679444444)
Tunisie,Aïn Draham,Point(8.7 36.78333333)
Tunisie,Nabeul,Point(10.736111 36.451389)
Tunisie,Degache,Point(8.22028 33.98583)
Tunisie,Kasserine,Point(8.833333333 35.166666666)
Tunisie,Moularès,Point(8.267 34.483)
Tunisie,Bou Hajla,Point(10.1246 35.2059)
Tunisie,Beni Khedache,Point(10.1994 33.2514)
Tunisie,Sidi Bouzid,Point(9.485833333 35.038055555)
Tunisie,Cebbala Ouled Asker,Point(9.27694444 35.17861111)
Tunisie,Houmt Souk,Point(10.85 33.866666666)
Tunisie,Melloulèche,Point(11.03 35.17)
Tunisie,Sakiet Sidi Youssef,Point(8.356126165 36.223729896)
Tunisie,Sbiba,Point(9.073611111 35.543333333)
Tunisie,Moknine,Point(10.899639 35.628278)
Tunisie,Béni Khiar,Point(10.78333333 36.46666667)
Tunisie,La Goulette,Point(10.306377 36.819111)
Tunisie,Chott Meriem,Point(10.5572 35.9356)
Tunisie,Bou Salem,Point(8.969822 36.611118)
Tunisie,Faouar,Point(8.67055556 33.35888889)
Tunisie,Cherahil,Point(10.85 35.5)
Tunisie,Bir Ali Ben Khalifa,Point(10.1 34.734)
Tunisie,El Ayoun,Point(8.883605 35.540137)
Tunisie,Foussana,Point(8.627787 35.349366)
Tunisie,El Alia,Point(10.03333333 37.16666667)
Tunisie,El Ghnada,Point(10.82 35.57)
Tunisie,El Guettar,Point(8.952777777 34.337222222)
Tunisie,El Krib,Point(9.136111111 36.328055555)
Tunisie,El Masdour,Point(10.78 35.68)
Tunisie,Bekalta,Point(11.0 35.62)
Tunisie,Kalâat Khasba,Point(8.58333333 35.66666667)
Tunisie,Mareth,Point(10.286121 33.617764)
Tunisie,Ouled Haffouz,Point(9.868053 35.081737)
Tunisie,Rouhia,Point(9.053055555 35.651388888)
Tunisie,Thyna,Point(10.7205 34.68733333)
Tunisie,Fouchana,Point(10.169306 36.698705)
Tunisie,Nebeur,Point(8.768206 36.299718)
Tunisie,Métouia,Point(10.0 33.96)
Tunisie,Jebiniana,Point(10.90388889 35.03083333)
Tunisie,Jemna,Point(9.01 33.57)
Tunisie,Ksibet el-Médiouni,Point(10.85 35.69)
Tunisie,Majel Bel Abbès,Point(8.52222222 34.75)
Tunisie,Nefza,Point(9.080951 36.975198)
Tunisie,Raoued,Point(10.191364 36.954487)
Tunisie,Dehiba,Point(10.70285 32.01099)
Tunisie,Ksibet Thrayet,Point(10.62 35.76)
Tunisie,Messaadine,Point(10.595241 35.762045)
Tunisie,Grombalia,Point(10.5 36.61)
Tunisie,Oudhref,Point(9.969921 33.985111)
Tunisie,Agareb,Point(10.5279685 34.7413672)
