departement,ville,coordonnesgroup
Pas-de-Calais,Ambleteuse,Point(1.606388888 50.809444444)
arrondissement de Grenoble,Bernin,Point(5.865 45.268333333)
canton de Barre-des-Cévennes,Barre,Point(3.653333333 44.244722222)
canton de Barre-des-Cévennes,Barre-des-Cévennes,Point(3.653333333 44.244722222)
canton de Laon-Nord,Bucy-lès-Cerny,Point(3.517222222 49.582222222)
canton d'Ars-sur-Moselle,Arry,Point(6.058333333 48.995277777)
canton de Saint-André-les-Alpes,Angles,Point(6.558055555 43.942777777)
arrondissement de Boulogne-sur-Mer,Audresselles,Point(1.593611111 50.823611111)
arrondissement de Besançon,Boussières,Point(5.901388888 47.1575)
"communauté de communes Région Lézignanaise, Corbières et Minervois",Argens,Point(2.765555555 43.242222222)
arrondissement de Vervins,Brunehamel,Point(4.181944444 49.769722222)
arrondissement de Nice,Beuil,Point(6.9875 44.095)
arrondissement de Sarcelles,Attainville,Point(2.345555555 49.057222222)
canton de Montreuil-Bellay,Brézé,Point(-0.058333333 47.171388888)
canton de Thonon-les-Bains-Est,Armoy,Point(6.52 46.348333333)
Côte-d'Or,Bellenod-sur-Seine,Point(4.645833333 47.697777777)
Haut-Rhin,Bretten,Point(7.071944444 47.699444444)
arrondissement de Digne-les-Bains,Barras,Point(6.113055555 44.105)
arrondissement d'Issoire,Beaulieu,Point(3.285555555 45.445)
arrondissement de Reims,Bourgogne,Point(4.071388888 49.349444444)
canton de Savignac-les-Églises,Antonne-et-Trigonant,Point(0.830833333 45.2125)
arrondissement de Montbrison,Apinac,Point(3.996111111 45.380833333)
canton de Rambervillers,Anglemont,Point(6.668888888 48.38)
arrondissement d'Issoire,Auzat-sur-Allier,Point(3.318333333 45.452222222)
arrondissement de Digne-les-Bains,Bras-d'Asse,Point(6.125555555 43.925555555)
arrondissement de Montluçon,Bézenet,Point(2.845 46.328888888)
canton de Lunéville-Nord,Anthelupt,Point(6.413888888 48.609722222)
canton de Malzéville,Agincourt,Point(6.237222222 48.732777777)
Eure,Aulnay-sur-Iton,Point(1.048055555 48.991944444)
canton de Pesmes,Arsans,Point(5.628055555 47.365277777)
arrondissement de Boulogne-sur-Mer,Beuvrequen,Point(1.665833333 50.8025)
arrondissement de Bayeux,Cahagnolles,Point(-0.761388888 49.158611111)
arrondissement de Dax,Bonnegarde,Point(-0.703333333 43.568055555)
canton de Vezzani,Aghione,Point(9.4175 42.1075)
Drôme,Barnave,Point(5.37 44.66)
arrondissement de Besançon,Abbans-Dessus,Point(5.881944444 47.12)
arrondissement de Besançon,Abbenans,Point(6.450555555 47.5)
arrondissement des Sables-d'Olonne,Bouin,Point(-2.001666666 46.973611111)
Rhône,Aveize,Point(4.477777777 45.6825)
Rhône,Bessenay,Point(4.554444444 45.776666666)
Eure,Beaumontel,Point(0.765555555 49.088611111)
canton de Montreuil-Bellay,Brossay,Point(-0.211388888 47.164166666)
Charente,Bonneville,Point(-0.048611111 45.849166666)
canton d'Anduze,Anduze,Point(3.986572222 44.053475)
arrondissement de Palaiseau,Angervilliers,Point(2.065277777 48.592777777)
arrondissement de Palaiseau,Bruyères-le-Châtel,Point(2.191944444 48.592777777)
arrondissement de Pau,Assat,Point(-0.300277777 43.249166666)
Nièvre,Alluy,Point(3.640833333 47.033888888)
Nièvre,Beuvron,Point(3.493888888 47.359166666)
