person,leonoreid
http://www.wikidata.org/entity/Q2861921,LH/1895/67
http://www.wikidata.org/entity/Q2835339,LH/1909/33
http://www.wikidata.org/entity/Q2831418,LH/1929/35
http://www.wikidata.org/entity/Q2851482,LH/1940/4
http://www.wikidata.org/entity/Q2834593,LH/1971/32
http://www.wikidata.org/entity/Q2854284,LH/1999/2
http://www.wikidata.org/entity/Q2853558,LH/202/23
http://www.wikidata.org/entity/Q2833944,LH/2050/50
http://www.wikidata.org/entity/Q2864480,LH/2144/11
http://www.wikidata.org/entity/Q2848901,LH/2204/71
http://www.wikidata.org/entity/Q2848470,LH/2207/56
http://www.wikidata.org/entity/Q2861771,LH/221/57
http://www.wikidata.org/entity/Q2830957,LH/227/18
http://www.wikidata.org/entity/Q2861961,LH/2281/43
http://www.wikidata.org/entity/Q2834918,LH/2325/44
http://www.wikidata.org/entity/Q2844768,LH/2329/25
http://www.wikidata.org/entity/Q2831304,LH/233/21
http://www.wikidata.org/entity/Q2840126,LH/2491/6
http://www.wikidata.org/entity/Q2835469,LH/2556/54
http://www.wikidata.org/entity/Q2856758,LH/2582/83
http://www.wikidata.org/entity/Q2834113,LH/2678/32
http://www.wikidata.org/entity/Q2831638,LH/2746/54
http://www.wikidata.org/entity/Q2844717,LH/2758/5
http://www.wikidata.org/entity/Q2833347,LH/2787/56
http://www.wikidata.org/entity/Q2856758,LH/2793/163
http://www.wikidata.org/entity/Q2844711,LH/2793/165
http://www.wikidata.org/entity/Q2854103,LH/33/74
http://www.wikidata.org/entity/Q2848189,LH/363/46
http://www.wikidata.org/entity/Q2853481,LH/438/48
http://www.wikidata.org/entity/Q2845568,LH/466/35
http://www.wikidata.org/entity/Q2825138,LH/466/57
http://www.wikidata.org/entity/Q2853782,LH/482/6
http://www.wikidata.org/entity/Q2856612,LH/483/23
http://www.wikidata.org/entity/Q2853791,LH/513/60
http://www.wikidata.org/entity/Q2831058,LH/551/26
http://www.wikidata.org/entity/Q2853519,LH/551/34
http://www.wikidata.org/entity/Q2823048,LH/561/43
http://www.wikidata.org/entity/Q2839660,LH/589/97
http://www.wikidata.org/entity/Q2847101,LH/595/49
http://www.wikidata.org/entity/Q2839754,LH/623/19
http://www.wikidata.org/entity/Q2835035,LH/623/52
http://www.wikidata.org/entity/Q2839675,LH/626/39
http://www.wikidata.org/entity/Q2824802,LH/646/46
http://www.wikidata.org/entity/Q60333455,LH/646/46
http://www.wikidata.org/entity/Q2861822,LH/687/20
http://www.wikidata.org/entity/Q2853851,LH/720/18
http://www.wikidata.org/entity/Q2853851,LH/720/19
http://www.wikidata.org/entity/Q2833600,LH/758/7
http://www.wikidata.org/entity/Q2842379,LH/773/50
http://www.wikidata.org/entity/Q2833653,LH/776/74
http://www.wikidata.org/entity/Q2835074,LH/788/13
http://www.wikidata.org/entity/Q2853879,LH/804/54
http://www.wikidata.org/entity/Q2833837,LH/827/53
http://www.wikidata.org/entity/Q2827372,LH/84/59
http://www.wikidata.org/entity/Q2856732,LH/875/52
http://www.wikidata.org/entity/Q2856732,LH/875/60
http://www.wikidata.org/entity/Q2839797,LH/983/10
http://www.wikidata.org/entity/Q2865306,19800035/1104/26473
http://www.wikidata.org/entity/Q2871639,19800035/123/15545
http://www.wikidata.org/entity/Q2871073,19800035/1478/71608
http://www.wikidata.org/entity/Q2871106,19800035/276/36929
http://www.wikidata.org/entity/Q2871035,19800035/54/6569
http://www.wikidata.org/entity/Q2899656,19800035/605/68339
http://www.wikidata.org/entity/Q2871580,LH/1042/60
http://www.wikidata.org/entity/Q2871587,LH/1104/11
http://www.wikidata.org/entity/Q2871213,LH/1110/11
http://www.wikidata.org/entity/Q2897498,LH/117/43
http://www.wikidata.org/entity/Q2871240,LH/1349/14
http://www.wikidata.org/entity/Q2897502,LH/164/27
http://www.wikidata.org/entity/Q2895970,LH/1755/21
http://www.wikidata.org/entity/Q2871316,LH/1841/28
http://www.wikidata.org/entity/Q2913730,LH/1927/19
http://www.wikidata.org/entity/Q2871340,LH/1992/33
http://www.wikidata.org/entity/Q2895974,LH/2113/23
http://www.wikidata.org/entity/Q2870978,LH/2565/2
http://www.wikidata.org/entity/Q2871615,LH/2565/3
http://www.wikidata.org/entity/Q2896262,LH/2640/57
http://www.wikidata.org/entity/Q2871010,LH/2661/17
http://www.wikidata.org/entity/Q2899696,LH/2719/18
http://www.wikidata.org/entity/Q2865433,LH/2727/22
http://www.wikidata.org/entity/Q2871071,LH/293/3
http://www.wikidata.org/entity/Q2871089,LH/353/39
http://www.wikidata.org/entity/Q2871549,LH/470/34
http://www.wikidata.org/entity/Q2871659,LH/514/8
http://www.wikidata.org/entity/Q2871525,LH/60/48
http://www.wikidata.org/entity/Q2868977,LH/638/19
http://www.wikidata.org/entity/Q2870950,LH/689/13
http://www.wikidata.org/entity/Q2895994,LH/692/57
http://www.wikidata.org/entity/Q2899444,LH/73/28
http://www.wikidata.org/entity/Q2871160,LH/789/45
http://www.wikidata.org/entity/Q2898660,LH/898/44
http://www.wikidata.org/entity/Q2885005,LH/958/10
http://www.wikidata.org/entity/Q2958746,19800035/100/12614
http://www.wikidata.org/entity/Q2977496,19800035/1113/27502
http://www.wikidata.org/entity/Q2960225,19800035/1320/52913
http://www.wikidata.org/entity/Q2939047,19800035/1463/69087
http://www.wikidata.org/entity/Q2957899,19800035/1478/71566
http://www.wikidata.org/entity/Q2958644,19800035/177/22870
http://www.wikidata.org/entity/Q2934822,19800035/194/25375
http://www.wikidata.org/entity/Q2960088,19800035/305/41092
http://www.wikidata.org/entity/Q2960242,19800035/349/46998
http://www.wikidata.org/entity/Q2965132,19800035/378/50688
http://www.wikidata.org/entity/Q2935066,19800035/46/5671
http://www.wikidata.org/entity/Q2958864,19800035/636/73574
http://www.wikidata.org/entity/Q2959901,19800035/889/4132
http://www.wikidata.org/entity/Q2958995,19800035/93/11603
http://www.wikidata.org/entity/Q2934995,19800035/995/15167
http://www.wikidata.org/entity/Q2959028,C/0/57
http://www.wikidata.org/entity/Q2958464,LH/100/64
http://www.wikidata.org/entity/Q2959088,LH/1029/78
http://www.wikidata.org/entity/Q2957938,LH/1053/41
http://www.wikidata.org/entity/Q2958008,LH/1058/39
http://www.wikidata.org/entity/Q2958366,LH/1095/3
http://www.wikidata.org/entity/Q2959242,LH/1183/54
http://www.wikidata.org/entity/Q2934945,LH/1211/2
http://www.wikidata.org/entity/Q2959267,LH/1222/51
http://www.wikidata.org/entity/Q2978378,LH/1253/39
http://www.wikidata.org/entity/Q2959484,LH/1291/23
http://www.wikidata.org/entity/Q2976768,LH/1339/41
http://www.wikidata.org/entity/Q2935109,LH/1437/84
http://www.wikidata.org/entity/Q2959551,LH/1447/8
http://www.wikidata.org/entity/Q2959679,LH/151/75
http://www.wikidata.org/entity/Q2980612,LH/1581/37
http://www.wikidata.org/entity/Q349872,LH/1974/55
http://www.wikidata.org/entity/Q360252,LH/2762/45
http://www.wikidata.org/entity/Q349167,LH/389/84
http://www.wikidata.org/entity/Q331871,LH/553/28
http://www.wikidata.org/entity/Q347455,LH/561/31
http://www.wikidata.org/entity/Q346165,LH/696/2
http://www.wikidata.org/entity/Q382070,19800035/1140/30467
http://www.wikidata.org/entity/Q379943,19800035/1350/56433
http://www.wikidata.org/entity/Q382573,19800035/205/26838
http://www.wikidata.org/entity/Q365733,LH/1025/30
http://www.wikidata.org/entity/Q374884,LH/148/82
http://www.wikidata.org/entity/Q379949,LH/199/2
http://www.wikidata.org/entity/Q385701,LH/2777/60
http://www.wikidata.org/entity/Q364498,LH/674/9
http://www.wikidata.org/entity/Q381800,LH/7/21
http://www.wikidata.org/entity/Q432938,LH/1258/19
http://www.wikidata.org/entity/Q451489,LH/129/44
http://www.wikidata.org/entity/Q439517,LH/2752/2
http://www.wikidata.org/entity/Q442476,LH/404/67
http://www.wikidata.org/entity/Q438213,LH/432/44
http://www.wikidata.org/entity/Q441931,LH/535/29
http://www.wikidata.org/entity/Q434346,LH/618/72
http://www.wikidata.org/entity/Q454685,19800035/357/48014
http://www.wikidata.org/entity/Q460617,LH/1012/52
http://www.wikidata.org/entity/Q458327,LH/1103/38
http://www.wikidata.org/entity/Q477262,LH/124/32
http://www.wikidata.org/entity/Q462364,LH/1393/46
http://www.wikidata.org/entity/Q463441,LH/2316/54
http://www.wikidata.org/entity/Q481259,LH/2327/25
http://www.wikidata.org/entity/Q467167,LH/2387/33
http://www.wikidata.org/entity/Q461931,LH/93/6
http://www.wikidata.org/entity/Q503758,19800035/63/7706
http://www.wikidata.org/entity/Q502885,LH/2022/5
http://www.wikidata.org/entity/Q517663,19800035/288/38749
http://www.wikidata.org/entity/Q524042,19800035/636/73594
http://www.wikidata.org/entity/Q533339,LH/1157/65
http://www.wikidata.org/entity/Q520450,LH/1325/47
http://www.wikidata.org/entity/Q516199,LH/2288/19
http://www.wikidata.org/entity/Q508907,LH/331/67
http://www.wikidata.org/entity/Q557154,19800035/178/23028
http://www.wikidata.org/entity/Q553522,C/0/26
http://www.wikidata.org/entity/Q563009,LH/1016/31
http://www.wikidata.org/entity/Q545690,LH/1179/57
http://www.wikidata.org/entity/Q551132,LH/1336/8
http://www.wikidata.org/entity/Q538709,LH/1404/10
http://www.wikidata.org/entity/Q559659,LH/1618/36
http://www.wikidata.org/entity/Q541418,LH/1934/53
http://www.wikidata.org/entity/Q541919,LH/2236/33
http://www.wikidata.org/entity/Q557357,LH/227/71
http://www.wikidata.org/entity/Q557525,LH/2651/59
http://www.wikidata.org/entity/Q545045,LH/476/56
http://www.wikidata.org/entity/Q544646,LH/560/44
http://www.wikidata.org/entity/Q587164,19800035/1168/33369
http://www.wikidata.org/entity/Q588264,19800035/918/7195
http://www.wikidata.org/entity/Q573644,LH/1042/69
http://www.wikidata.org/entity/Q586298,LH/1172/31
http://www.wikidata.org/entity/Q580852,LH/2095/49
http://www.wikidata.org/entity/Q590615,LH/2171/48
http://www.wikidata.org/entity/Q587038,LH/2647/56
http://www.wikidata.org/entity/Q567331,LH/77/12
http://www.wikidata.org/entity/Q583649,LH/860/61
http://www.wikidata.org/entity/Q614591,19800035/390/52318
http://www.wikidata.org/entity/Q599557,LH/1332/45
http://www.wikidata.org/entity/Q609662,LH/1527/42
http://www.wikidata.org/entity/Q596355,LH/2289/26
http://www.wikidata.org/entity/Q609039,LH/2453/40
http://www.wikidata.org/entity/Q616064,LH/598/86
http://www.wikidata.org/entity/Q648584,19800035/1125/29025
http://www.wikidata.org/entity/Q636879,19800035/1244/43531
http://www.wikidata.org/entity/Q659722,19800035/237/31499
http://www.wikidata.org/entity/Q660553,19800035/565/64318
http://www.wikidata.org/entity/Q643621,LH/1303/31
http://www.wikidata.org/entity/Q633817,LH/151/21
http://www.wikidata.org/entity/Q660553,LH/1873/58
http://www.wikidata.org/entity/Q633028,LH/2177/28
http://www.wikidata.org/entity/Q633574,LH/349/89
http://www.wikidata.org/entity/Q650895,LH/861/22
http://www.wikidata.org/entity/Q679016,19800035/1004/16102
http://www.wikidata.org/entity/Q686435,19800035/1330/54107
http://www.wikidata.org/entity/Q680881,19800035/197/25772
http://www.wikidata.org/entity/Q667254,19800035/735/83432
http://www.wikidata.org/entity/Q681950,LH/1779/52
http://www.wikidata.org/entity/Q673256,LH/2384/75
http://www.wikidata.org/entity/Q672111,LH/2767/37
http://www.wikidata.org/entity/Q675151,LH/87/64
