leonoreid,person,bnfid
LH/221/57,http://www.wikidata.org/entity/Q2861771,13209925x
LH/1895/67,http://www.wikidata.org/entity/Q2861921,14573445t
LH/2281/43,http://www.wikidata.org/entity/Q2861961,13494046d
LH/1681/57,http://www.wikidata.org/entity/Q2862011,14446787h
LH/1455/35,http://www.wikidata.org/entity/Q2864455,135147356
LH/1150/37,http://www.wikidata.org/entity/Q2865111,130127513
LH/1544/12,http://www.wikidata.org/entity/Q2865191,133338448
LH/1544/12,http://www.wikidata.org/entity/Q2865191,13333846z
LH/3/7,http://www.wikidata.org/entity/Q704494,149649646
LH/658/48,http://www.wikidata.org/entity/Q713774,12202776f
LH/821/63,http://www.wikidata.org/entity/Q713867,121710547
LH/782/44,http://www.wikidata.org/entity/Q715329,152972260
LH/2626/25,http://www.wikidata.org/entity/Q721665,122118442
LH/863/87,http://www.wikidata.org/entity/Q723678,15354812k
19800035/456/61061,http://www.wikidata.org/entity/Q723735,12315358h
LH/290/18,http://www.wikidata.org/entity/Q724379,11999513m
19800035/930/8376,http://www.wikidata.org/entity/Q726390,127478320
LH/11/88,http://www.wikidata.org/entity/Q726967,11888214h
LH/465/30,http://www.wikidata.org/entity/Q727551,12462531h
19800035/128/16186,http://www.wikidata.org/entity/Q730383,10235561x
LH/29/51,http://www.wikidata.org/entity/Q734572,13521798k
19800035/1221/40923,http://www.wikidata.org/entity/Q739986,119018458
LH/859/67,http://www.wikidata.org/entity/Q754748,10350172v
LH/877/45,http://www.wikidata.org/entity/Q765905,12133961n
LH/1325/3,http://www.wikidata.org/entity/Q766065,13744688g
19800035/230/30415,http://www.wikidata.org/entity/Q780892,122088525
LH/1405/42,http://www.wikidata.org/entity/Q808081,135336144
LH/1005/33,http://www.wikidata.org/entity/Q821261,12137811s
LH/632/87,http://www.wikidata.org/entity/Q834576,13212090d
LH/852/55,http://www.wikidata.org/entity/Q860206,12170927k
19800035/387/51863,http://www.wikidata.org/entity/Q867952,12276366f
LH/673/33,http://www.wikidata.org/entity/Q876602,10466787c
LH/1569/31,http://www.wikidata.org/entity/Q877593,144122479
19800035/1247/43910,http://www.wikidata.org/entity/Q886497,13605498g
LH/8/27,http://www.wikidata.org/entity/Q903209,105191100
19800035/65/8014,http://www.wikidata.org/entity/Q905041,13325686x
19800035/241/32027,http://www.wikidata.org/entity/Q908133,13479231q
LH/414/71,http://www.wikidata.org/entity/Q918268,119006982
19800035/746/84696,http://www.wikidata.org/entity/Q922600,14543662b
LH/2387/35,http://www.wikidata.org/entity/Q922667,165125018
LH/638/43,http://www.wikidata.org/entity/Q923187,122915666
19800035/87/10869,http://www.wikidata.org/entity/Q932986,12976766r
LH/683/32,http://www.wikidata.org/entity/Q937373,119360378
LH/834/23,http://www.wikidata.org/entity/Q941677,11974260p
LH/1992/12,http://www.wikidata.org/entity/Q945147,15241386n
LH/135/54,http://www.wikidata.org/entity/Q950466,12140562c
19800035/607/68568,http://www.wikidata.org/entity/Q950845,10874318v
19800035/264/35226,http://www.wikidata.org/entity/Q953803,13170557j
LH/1102/54,http://www.wikidata.org/entity/Q958953,14424163z
LH/2291/39,http://www.wikidata.org/entity/Q965907,10607837f
LH/173/66,http://www.wikidata.org/entity/Q970505,148530376
LH/36/83,http://www.wikidata.org/entity/Q970585,11888836g
LH/670/80,http://www.wikidata.org/entity/Q970806,11898770k
19800035/238/31633,http://www.wikidata.org/entity/Q972619,130123859
LH/1865/5,http://www.wikidata.org/entity/Q978063,124272970
LH/2580/41,http://www.wikidata.org/entity/Q980255,10718794m
LH/2248/12,http://www.wikidata.org/entity/Q981466,12732459h
19800035/159/20385,http://www.wikidata.org/entity/Q983239,158280895
LH/1935/15,http://www.wikidata.org/entity/Q984420,153569517
LH/1618/17,http://www.wikidata.org/entity/Q1063339,15399533r
LH/2404/54,http://www.wikidata.org/entity/Q1063387,107297497
19800035/1410/62998,http://www.wikidata.org/entity/Q1063740,107043214
LH/472/86,http://www.wikidata.org/entity/Q1063929,13185013z
LH/1188/86,http://www.wikidata.org/entity/Q1064595,13489747p
LH/1462/63,http://www.wikidata.org/entity/Q1065279,14429321s
19800035/284/38157,http://www.wikidata.org/entity/Q1065597,150094364
19800035/1177/36325,http://www.wikidata.org/entity/Q1073926,121477393
LH/1340/26,http://www.wikidata.org/entity/Q1096818,165703511
LH/1365/34,http://www.wikidata.org/entity/Q1117309,14968335x
LH/1370/53,http://www.wikidata.org/entity/Q1119283,12528865f
19800035/456/60992,http://www.wikidata.org/entity/Q1165447,12388882x
LH/29/55,http://www.wikidata.org/entity/Q1225229,12497886f
19800035/169/21711,http://www.wikidata.org/entity/Q1230990,123299094
LH/2493/71,http://www.wikidata.org/entity/Q1262731,12185861w
LH/230/54,http://www.wikidata.org/entity/Q1275058,16600840g
LH/1736/57,http://www.wikidata.org/entity/Q1277480,12544121b
19800035/434/58031,http://www.wikidata.org/entity/Q1284292,113011579
LH/1275/5,http://www.wikidata.org/entity/Q1285649,153262970
LH/2416/57,http://www.wikidata.org/entity/Q1307649,10978668c
19800035/23/2980,http://www.wikidata.org/entity/Q1314739,12132277v
LH/9/67,http://www.wikidata.org/entity/Q1318942,10718075d
LH/1264/2,http://www.wikidata.org/entity/Q1338276,14975519q
LH/1485/51,http://www.wikidata.org/entity/Q1339879,12172250n
19800035/245/32547,http://www.wikidata.org/entity/Q1343185,162004353
LH/1347/65,http://www.wikidata.org/entity/Q1348195,13488146f
LH/1117/38,http://www.wikidata.org/entity/Q1355698,12156327z
LH/262/53,http://www.wikidata.org/entity/Q1356247,14653265n
