nom,leonoreid,diplomes,professions
Célestin Port,LH/2202/6,archiviste paléographe,archiviste | historien
Ernest Coyecque,19800035/10/1282,archiviste paléographe,historien | archiviste | bibliothécaire
Ernest Lebègue,LH/1512/66,agrégation d'histoire,historien
Charles-Émile Camoin de Vence,LH/414/52,doctorat en droit,historien | juriste
Charles Bonaventure Marie Toullier,LH/2616/36,doctorat en droit,professeur de droit public | juriste
Daniel de Folleville de Bimorel,LH/990/19,doctorat en droit | agrégation de droit privé,personnalité politique
Ferdinand Hérold,LH/1294/19,doctorat en droit,avocat | personnalité politique
Albert Pitres,LH/2174/24,Philosophiæ doctor,anatomiste | clinicien | pathologiste | médecin interniste | neuropsychiatre | histologiste | neurologue | répétiteur | doyen | psychiatre | médecin
Gustave Monod,19800035/941/9569,agrégation de philosophie,résistant | pédagogue | haut fonctionnaire
Henri Potez,19800035/570/64873,docteur ès lettres,professeur des universités | poète | enseignant | écrivain
Henri Spriet,19800035/710/80958,doctorat en droit,avocat
Hippolyte Fortoul,LH/1003/44,docteur ès lettres,historien de l'art | historien | professeur | personnalité politique
Jean-Auguste Brutails,19800035/233/30938,archiviste paléographe,historien de l'art | archiviste | photographe
Achille Naudin,19800035/885/3707,doctorat,personnalité politique | avocat
Alfred Darcel,LH/658/56,doctorat,critique d'art | conservateur | ingénieur
Alexandre Parent du Châtelet,LH/2050/50,docteur en médecine | agrégation de médecine,hygiéniste | médecin
André Chantemesse,LH/481/39,docteur en médecine,bactériologiste | hygiéniste | professeur | médecin
Augusta Dejerine-Klumpke,LH/689/13,docteur en médecine,neurologue | physicien | médecin
Jean-Alfred Fournier,LH/1016/56,doctorat ès sciences médicales,historien | professeur | médecin
Jacqueline Domergue,19800035/145/18412,infirmières pilotes secouristes de l’air,convoyeur de l'air
Jean-Jules Clamageran,LH/541/10,doctorat en droit,personnalité politique | avocat
Hippolyte Pissard,LH/2172/23,laurea,personnalité politique
Jacques Lacour-Gayet,19800035/792/89554,agrégation d'histoire,historien | économiste | personnalité du monde des affaires
Jacques Replat,LH/2302/71,laurea,personnalité politique | poète | avocat
Achille Paysant,LH/2076/30,agrégation de grammaire,poète
Adrien Barralis,LH/119/67,laurea,personnalité politique
Aimé Levet,LH/1627/36,laurea,personnalité politique | avocat
Albert-Eugène Lachenal,LH/1423/56,laurea,chirurgien | personnalité politique | médecin
Albert Bayet,19800035/384/51470,agrégation de lettres,sociologue
Anatole de Montaiglon,LH/611/3,archiviste paléographe,folkloriste | historien de l'art | traducteur | bibliothécaire
Athanase Cucheval-Clarigny,LH/638/19,agrégation d'histoire,journaliste | économiste | historien | bibliothécaire
Abel Durand,19800035/1336/54909,doctorat en droit,personnalité politique | avocat
Alphonse Chodron de Courcel,LH/529/61,doctorat en droit,diplomate | personnalité politique | personnalité du monde des affaires
Jean Menier,LH/1826/3,docteur en pharmacie,industriel | pharmacien | personnalité du monde des affaires
Maurice Hauriou,19800035/103/12920,doctorat,sociologue | professeur d'université | juriste
Frédéric-Guillaume Bergmann,LH/191/7,doctorat,historien de la littérature | philologue | philosophe | professeur d'université | traducteur
Henri Piéron,19800035/826/94155,doctorat | agrégation de philosophie,physiologiste | psychologue | professeur
Philippe Lauer,19800035/89/11084,doctorat | archiviste paléographe,bibliothécaire | paléographe | conservateur | archiviste | historien
Charles-Victor Langlois,LH/1470/10,doctorat | archiviste paléographe,archiviste | historien
Louis Pasteur Vallery-Radot,19800035/1023/18102,docteur en médecine,résistant | biographe | personnalité politique | médecin
Maurice Croiset,LH/632/49,doctorat | agrégation de lettres,helléniste | administrateur | philologue | professeur d'université | maître de conférences | chargé de cours | traducteur
Louis Farges,19800035/225/29705,archiviste paléographe,archiviste | diplomate | personnalité politique
Louis Piccon,LH/2146/45,laurea,professeur d'université | personnalité politique | avocat
Pierre Mathieu-Bodet,LH/1791/58,doctorat en droit,personnalité politique | avocat
Marie Henri Joseph Pierre Étienne Rogues de Fursac,19800035/1342/55586,docteur en médecine,psychiatre
Paul Topinard,LH/2613/30,docteur en médecine,anthropologue | médecin
Paul Hautefeuille,LH/1272/52,docteur en médecine,minéralogiste | chimiste
Jean-René Cruchet,19800035/125/15864,docteur en médecine,pathologiste | neurologue | médecin | enseignant
Louis Figuier,LH/971/44,docteur en médecine,journaliste | chimiste | médecin écrivain | écrivain
Charles Schlumberger,LH/2481/1,ingénieur,paléontologue | ingénieur du corps de l'armement | géologue | zoologiste
Marguerite Verdat,19800035/1090/25307,archiviste paléographe,archiviste | écrivain
Francis Wey,LH/2754/68,archiviste paléographe,romaniste | archiviste | historien | écrivain
Alphonse Aulard,LH/76/2,agrégation de lettres,historien moderniste | journaliste | professeur d'université | traducteur | historien
Gustave Servois,LH/2509/73,archiviste paléographe,romaniste | archiviste
Georges Le Gentil,19800035/89/11145,agrégation de lettres | doctorat,romaniste | professeur d'université | traducteur
Robert Bossuat,19800035/919/7301,archiviste paléographe,romaniste
Alfred Chilhaud Dumaine,LH/527/68,archiviste paléographe,diplomate
Léon Clédat,LH/547/61,archiviste paléographe,linguiste | philologue | romaniste | professeur d'université
Théodore Bachelet,LH/86/85,agrégation d'histoire,lexicographe | musicologue | bibliothécaire | écrivain
Louis Pasteur,LH/2064/18,honoris causa | Philosophiæ doctor | docteur en médecine,microbiologiste | biochimiste | agronome | professeur d'université | biologiste | chimiste | naturaliste
Jules Lachelier,LH/1423/54,docteur ès lettres,philosophe
Fortunat Strowski,19800035/85/10635,doctorat,professeur des universités | historien de la littérature | critique littéraire | romaniste
Georges Deflandre,19800035/1205/39182,doctorat,professeur des universités | microbiologiste | botaniste | paléontologue
Raymond Carré de Malberg,19800035/277/37052,doctorat,professeur des universités | juriste
Robert Proust,19800035/1237/42733,doctorat | agrégation de médecine,urologue | gynécologue | chirurgien
Louis Réau,19800035/839/95894,agrégation d'allemand,philologue | germaniste | historien de l'art
Édouard Jannettaz,LH/1352/92,licence | doctorat,minéralogiste | géologue | naturaliste
