nom,leonoreid,diplomes,professions
Alexandre Labrouste,LH/1420/90,,professeur des écoles | juriste | écrivain
Alexandre Lalance,LH/1448/45,,militaire
Alexandre Laterrade,LH/1493/25,,personnalité politique
Alexandre Le Grand,LH/1560/18,,personnalité politique | personnalité du monde des affaires
Alexandre Louis d’Allonville,LH/24/54,,officier
Alexandre Louis du Crest de Villeneuve,LH/827/53,,Officier de marine
Alexandre Maistrasse,19800035/269/35926,,architecte
Alexandre Mari,LH/1738/66,,personnalité politique
Alexandre Marie du Crest de Villeneuve,LH/827/52,,officier de marine
Alexandre Massé,LH/1777/4,,philanthrope | industriel | inventeur
Alexandre Maurice Blanc de Lanautte,LH/250/65,,diplomate
Alexandre Moll,LH/1899/60,,personnalité politique
Alexandre Moreau de Jonnès,LH/1931/4,,statisticien | géologue | officier | personnalité politique | médecin
Alexandre Noll,19800035/1063/22438,,sculpteur
Alexandre Nozal,LH/2007/48,,peintre
Alexandre Oliva,LH/2013/29,,sculpteur
Alexandre Paul Emile Guiraudet,LH/1247/47,,mathématicien | physicien
Alexandre Peyron,LH/2135/9,,officier de la Marine française | personnalité politique
Alexandre Pleindoux,LH/2179/39,,militant politique | médecin
Alexandre Pourcel,LH/2771/51,,métallurgiste
Alexandre Raguet,LH/2260/22,,personnalité politique
Alexandre Roguin,LH/2368/68,,pharmacien
Alexandre Schoenewerk,LH/2485/49,,sculpteur
Charles-Pierre-Lubin Griois,LH/1203/34,,officier | militaire
Edmond Théry,LH/2585/22,,statisticien | économiste
Alexandre Turpault,LH/2639/52,,industriel | entrepreneur
Alexandre Vattemare,LH/2678/32,,ventriloque | philanthrope
Alexandre Warrain,LH/2748/11,,négociant | armateur | banquier | personnalité politique
Alexandre Warrain,LH/2748/12,,négociant | armateur | banquier | personnalité politique
Alexandre d'Alton,LH/26/57,,officier | militaire
Alexandre de Bosredon,LH/301/2,,personnalité politique
Alexandre de Bauffremont,LH/144/44,,personnalité politique
Alexandre de Fauris de Saint-Vincens,LH/943/45,,magistrat | numismate | personnalité politique
Alexandre de Lavrignais,LH/2356/42,,Ingénieur maritime | personnalité politique
Alexandre de Théis,C/0/79,,haut fonctionnaire | personnalité politique | écrivain
Alexandre Étard,19800035/202/26397,,chimiste
Alexis-Basile-Alexandre Menjaud,LH/1826/17,,prêtre catholique
Alexis-François Aulagnier,LH/75/80,,médecin
Alexis-Joseph Mazerolle,LH/1811/55,,peintre
Alexis-Joseph Rostand,LH/2386/11,,officier | personnalité politique | personnalité du monde des affaires
Alexis-Joseph Perignon,LH/2099/60,,peintre
Alexis-Marie de Rochon,LH/2363/16,,physicien | astronome
Alexis Chassang,LH/500/92,,linguiste | lexicographe | traducteur
Alexis Dulong,LH/840/75,,ingénieur civil | receveur des finances | personnalité politique | militaire
Alexis Godillot,LH/1161/27,,industriel | personnalité politique
Alexis Hubert de La Hayrie,LH/1316/57,,officier | militaire
Alexis L'Hotte,LH/1634/54,,cavalier de dressage | officier | militaire
Alexis Kreyder,LH/1409/18,,peintre
Alexis Le Veneur de Tillières,LH/2567/3,,personnalité politique | militaire
Alexis Lemaître,19800035/549/62791,,prêtre catholique
Alexis Louis Marie de Lespinay,LH/1616/35,,personnalité politique
Alexis Louis Marie de Lespinay,LH/710/22,,personnalité politique
Alexis Maneyrol,LH/1715/47,,aviateur
Alexis Maillé,LH/1693/60,,personnalité politique
Alexis Muzet,LH/1971/32,,syndicaliste | personnalité politique
Alexis Nicolas Noël,LH/1995/56,,illustrateur scientifique | graveur | peintre
Alexis Paccard,LH/2031/20,,architecte
Alexis Savary,LH/2471/14,,personnalité politique
Alexis Segris,LH/2492/54,,personnalité politique | avocat
Alexis Vagny,LH/2660/94,,architecte
Alexis Vautrin,LH/2681/21,,médecin
Alexis Édouard Vignon,LH/2714/2,,administrateur colonial | officier | naturaliste
Alfred-Auguste Ernouf,LH/901/15,,historien | écrivain
Alfred-Aimé Flamant,LH/979/2,,Mécanicien | professeur des écoles | mathématicien | physicien | ingénieur
Alfred Lenoir,LH/1588/50,,sculpteur
Alfred-Désiré Lanson,LH/1473/66,,sculpteur
Alfred-Henri Recoura,19800035/564/64215,,architecte
Alfred Richet,LH/2325/44,,anatomiste | chirurgien | médecin
Alfred-Nicolas Normand,LH/2002/39,,architecte | photographe
Alfred Armand,LH/50/5,,architecte
Alfred Beau,LH/152/21,,céramiste | peintre | conservateur | photographe
Alfred Bernard,19800035/1344/55786,,résistant | personnalité politique
Alfred Boissonnet,LH/272/82,,officier | personnalité politique | militaire
Alfred Boucher-Cadart,LH/306/4,,personnalité politique
Alfred Bour,19800035/1187/37417,,personnalité politique
Alfred Butot,19800035/125/15811,,historien
Alfred Cerné,19800035/158/20197,,personnalité politique | médecin
Alfred Canel,LH/418/19,,archéologue | traducteur | personnalité politique | avocat
Alfred Charles Ernest Franquet de Franqueville,LH/1029/77,,personnalité politique | ingénieur
Alfred Chauchard,LH/504/58,,collectionneur d'œuvres d'art | personnalité du monde des affaires
Alfred Coville,LH/623/52,,historien
Alfred Coupillaud,LH/608/62,,militaire
Alfred Daniel,LH/655/4,,personnalité politique
Alfred Dauvergne,LH/670/40,,architecte
Alfred Daviel,LH/674/55,,personnalité politique | avocat
Alfred Delacour,LH/1488/43,,librettiste | dramaturge | médecin
Alfred Dehé,19800035/1040/19990,,personnalité politique
Alfred Didry,19800035/461/61638,,personnalité politique
Alfred Donadei,LH/788/13,,personnalité politique
Alfred Donné,LH/789/40,,biologiste | médecin
Alfred Duméril,LH/844/55,,historien
Alfred Duquesnay,LH/864/18,,prêtre catholique
Alfred Fourneau,19800035/264/35184,,explorateur
Alfred Franklin,LH/2216/36,,historien | bibliothécaire | écrivain
Alfred Fronval,LH/1042/59,,aviateur
Alfred Galopin,LH/1064/28,,militaire
Alfred Frédéric Philippe Auguste Napoléon Ameil,LH/29/50,,officier | militaire
Alfred Guillou,LH/1243/11,,peintre
Alfred Hérault,LH/1289/82,,personnalité politique
Alfred Janniot,19800035/992/14782,,sculpteur
Alfred Koechlin-Schwartz,LH/1405/20,,industriel | personnalité politique
Alfred Krieger,19800035/173/22289,,résistant | personnalité politique
Alfred Lartigue,19800035/755/85612,,ingénieur
Alfred Laroze,LH/1486/34,,personnalité politique
Alfred Le Roy de Méricourt,LH/1610/35,,médecin militaire | chirurgien | médecin de bord
Alfred LeBlanc,LH/1514/72,,aérostier
Alfred Le Chatelier,LH/1527/43,,explorateur | professeur
Alfred Leclerc,LH/1529/81,,architecte
Alfred Leroy,LH/1606/58,,personnalité politique
Alfred Loreau,LH/1658/30,,industriel | personnalité politique
Alfred Louis Adrien Delanne,LH/701/5,,officier | militaire
Alfred Louis Delattre,19800035/141/17896,,anthropologue | archéologue | historien de l'art
Alfred Macherez,LH/1681/28,,personnalité politique
Alfred Mahieu,LH/1690/13,,personnalité politique
Alfred Mame,LH/1712/33,,éditeur | imprimeur
Alfred Mascuraud,LH/1774/57,,personnalité politique
Alfred Marche,LH/1731/29,,explorateur | naturaliste
Alphonse Lequeutre,LH/1601/40,,alpiniste
Alphonse Lecointe,LH/1534/1,,personnalité politique | militaire
Alphonse Lecuve,LH/1540/45,,militaire
Alphonse Lepetit,LH/1596/13,,personnalité politique | avocat
Alphonse Malaquin,LH/1702/19,,professeur d'université | zoologiste
Alphonse Martin Larue,LH/1489/1,,prêtre catholique
Alphonse Mas,LH/1774/16,,pomologue | botaniste
Alphonse Meillon,19800035/390/52346,,alpiniste
Alphonse Monchablon,LH/1902/37,,lithographe | peintre
Alphonse Pedebidou,LH/2079/53,,personnalité politique
Alphonse Pinard,LH/2163/55,,banquier
Alphonse Périn,LH/2100/28,,peintre
Alphonse Renaudat,19800035/250/33259,,personnalité politique
Alphonse Rio,19800035/42/5234,,capitaine de navire | personnalité politique
Alphonse Saglio,LH/2432/54,,personnalité politique
Alphonse Sagebien,LH/2432/13,,ingénieur
Alphonse Sevene,LH/2511/1,,personnalité politique
Alphonse Sevène,LH/2511/1,,personnalité politique
Alphonse Seyewetz,19800035/1395/61281,,chimiste
Alphonse Royer,LH/2419/15,,librettiste | journaliste | traducteur | écrivain
Alphonse Tanguy,LH/2643/32,,résistant
Alphonse Tellier,LH/2574/58,,ingénieur en aérospatiale | constructeur aéronautique
Alphonse de Bauffremont,LH/144/45,,personnalité politique
Alphonse de Callac,LH/1925/50,,préfet | personnalité politique
Alphonse de Cardevac d'Havrincourt,LH/425/93,,personnalité politique
Alphonse de Grouchy,LH/1210/51,,personnalité politique | militaire
Alphonse de Rayneval,LH/1119/74,,diplomate | personnalité politique
Alphée Bourdon de Vatry,LH/325/80,,personnalité politique
Charles-Emmanuel Sédillot,LH/2491/6,,médecin militaire | chirurgien
Amable-Emmanuel Troude,LH/2634/2,,сollecteur de contes | lexicographe | soldat | écrivain
Amable Guy Blancard,LH/250/78,,officier | militaire
Amable de Quélen,LH/2245/23,,personnalité politique
Amable de Courtais,LH/613/60,,personnalité politique
Amans de Robert d'Aqueria de Rochegude,LH/2351/1,,personnalité politique
Amans-Alexis Monteil,LH/1917/15,,historien
Amaury Duval,LH/2166/45,,archéologue | historien | diplomate | avocat | écrivain
Ambroise Challe,LH/470/46,,historien | personnalité politique | avocat
Ambroise Firmin Didot,LH/773/50,,collectionneur d'œuvres d'art | éditeur | imprimeur
Ambroise Mottet,LH/1946/63,,personnalité politique
Ambroise Philippe,19800035/1214/40209,,personnalité politique
Ambroise Rendu,LH/2300/2,,linguiste | traducteur
Ambroise Vente,LH/2685/39,,personnalité politique
Amé-Thérèse-Joseph Masclet,LH/1774/46,,journaliste | diplomate | militaire
Amédée-Bretagne-Malo de Durfort,LH/872/43,,officier | personnalité politique | militaire
Amédée Bienaimé,LH/235/30,,personnalité politique
Amédée Alby,19800035/371/49833,,industriel | ingénieur
Amédée Bommart,LH/276/10,,personnalité politique | ingénieur
Amédée Burat,LH/393/31,,professeur des universités | géologue
Amédée Doublemard,LH/795/63,,médailleur | sculpteur
Amédée Gasquet,LH/1083/39,,recteur de l'académie de Nancy-Metz | professeur d'université | historien | personnalité politique
Amédée Girod de l'Ain,LH/1151/46,,personnalité politique
Amédée Greyfié de Bellecombe,LH/1199/81,,magistrat | personnalité politique
Amédée Henri Guillemin,LH/1237/41,,militaire
Amédée Jobin,19800035/290/38933,,ingénieur
Amédée Jérôme Langlois,LH/1469/91,,personnalité politique
Amédée Maisonobe,19800035/28/3532,,prêtre catholique
Amédée Pierrin,19800035/262/34951,,personnalité politique
Amédée Petit,LH/2121/49,,personnalité politique
Amédée Pichot,LH/2148/47,,linguiste | traducteur
Amédée Reille,19800035/1405/62359,,officier de marine | banquier | personnalité politique
Amédée Renée,LH/2300/30,,historien | personnalité politique
Amédée Thayer,LH/2793/165,,personnalité politique | avocat
Amédée Tardieu,LH/2568/10,,géographe | bibliothécaire
Amédée Thalamas,19800035/1231/47154,,personnalité politique
Amédée Willot,LH/2758/5,,personnalité politique | militaire
Amédée de Bernardi,LH/200/48,,personnalité politique
Amédée de Broglie,LH/371/17,,officier | personnalité politique
Victor Amédée Marie Broglie,LH/371/17,,officier | personnalité politique
Amédée de Césena,LH/1102/68,,journaliste
Amédée de Béhague,LH/164/71,,agronome
Amédée de Béjarry,LH/165/65,,personnalité politique
Amédée de Pérusse des Cars,LH/2118/14,,personnalité politique | militaire
Amédée de Vallombrosa,19800035/958/11216,,organiste
Amélie Rigard,LH/2329/25,,religieuse
Anatole Bailly,LH/94/14,,lexicographe | helléniste
Anatole Chabouillet,LH/466/35,,numismate
Anatole Dauvergne,LH/670/32,,archéologue | journaliste | historien de l'art | peintre
Anatole Flandin,LH/980/28,,personnalité politique
Anatole Gras,19800035/107/13465,,agriculteur | personnalité politique
Anatole Guindey,LH/1245/1,,personnalité politique | médecin
Anatole Hulot,LH/1324/32,,imprimeur
Anatole Leduc,LH/1544/43,,physicien
Anatole Mangin,LH/1716/31,,officier | militaire
Anatole Leroy-Beaulieu,LH/1610/14,,essayiste | historien
Anatole de Montesquiou-Fezensac,LH/1918/58,,traducteur | personnalité politique | poète | militaire
Anatole de Montesquiou-Fézensac,LH/1918/58,,traducteur | personnalité politique | poète | militaire
Anatole de Vivès,LH/2734/16,,militaire
Anatole de La Forge,LH/1437/62,,journaliste | diplomate | personnalité politique
Anatole Édouard Robert,LH/2347/37,,personnalité politique
André-Charles Coppier,19800035/754/85528,,critique d'art | historien de l'art | médailleur | graveur | peintre | écrivain
André-François Ocher de Beaupré,LH/2010/8,,militaire
André-François Miot,LH/1886/32,,diariste | érudit classique | diplomate | historien | personnalité politique
André-François Miot de Mélito,LH/1886/32,,diariste | érudit classique | diplomate | historien | personnalité politique
André-Joseph Allar,LH/21/9,,sculpteur
André-Joseph Abrial,LH/4/43,,magistrat | personnalité politique | avocat
André-Louis Deprez,LH/736/41,,personnalité politique
André-Léon-Aimé Cavelier,19800035/1261/45414,,personnalité politique
André-Philippe Corsin,LH/595/49,,officier | militaire
André Abbal,19800035/793/89682,,sculpteur
André Alexandre Verdilhan,19800035/840/96012,,peintre
André Alerme,19800035/774/87692,,acteur
André Allix,19800035/668/76799,,géographe
André Arfvidson,19800035/1469/70101,,architecte
André Arbus,19800035/962/11684,,professeur d'université | sculpteur | architecte
André Artonne,19800035/306/41245,,diplomate
André Ballande,19800035/199/25972,,personnalité politique | personnalité du monde des affaires
André Bardon,19800035/627/72637,,personnalité politique
André Barthélémy Boissonnet,LH/272/81,,officier | personnalité politique | militaire
André Bayardelle,LH/148/32,,administrateur colonial
André Beaunier,19800035/1279/47555,,critique dramatique | romancier | journaliste d'opinion | chroniqueur | critique littéraire | écrivain
Alfred Mayrargues,LH/1810/13,,agent de change
Alfred Maurice Cazaud,19800035/1020/17778,,officier | militaire
Alfred Merlin,19800035/652/75188,,épigraphiste | archéologue | numismate | historien
Alfred Monnet,LH/1909/33,,personnalité politique
Alfred Mongy,LH/1906/55,,ingénieur
Alfred Mortier,19800035/759/86075,,journaliste | traducteur | poète | écrivain
Alfred Mézières,LH/1858/24,,historien de la littérature | journaliste | historien | personnalité politique
Alfred Paget,19800035/950/10418,,personnalité politique
Alfred Poindron,19800035/1228/41650,,militaire
Alfred Poirrier,LH/2189/25,,personnalité politique
Alfred Pourrat,LH/2214/69,,officier
Alfred Rangod Pechiney,LH/2265/68,,personnalité politique | industriel
Alfred Renaudin,LH/2298/23,,peintre
Alfred Riom,LH/2335/36,,personnalité politique
Alfred Sensier,LH/2502/17,,historien de l'art
Alfred Soubeiran,19800035/251/33466,,géologue | historien | ingénieur
Alfred Sudre,LH/2556/54,,politologue | économiste
Alfred Vallette,19800035/240/31835,,éditeur | écrivain
Alfred Wehrung,19800035/435/58251,,agriculteur | personnalité politique
Alfred d'Aubignosc,LH/381/6,,officier
Alfred de Chastellux,LH/501/74,,personnalité politique
Alfred de Foville,LH/1020/45,,statisticien | économiste
Alfred de Jancigny,LH/2478/35,,
Alfred de Marmier,LH/1747/11,,personnalité politique
Alfred de Tarde,LH/2568/3,,journaliste | économiste
Alfred de Salignac-Fénelon,LH/2446/57,,diplomate | personnalité politique
Alix Joffroy,LH/1368/62,,professeur d'université | neurologue | psychiatre
Almire-René-Jacques Lepelletier,LH/1595/1,,médecin
Almire Breteau,19800035/450/60153,,personnalité politique
Aloyse Kobès,LH/1404/79,,prêtre catholique
Alphonse-Alfred Haentjens,LH/1257/29,,industriel | patron de presse | personnalité politique
Alphonse-Gabriel Foucault,LH/1005/71,,prêtre catholique
Alphonse-Amédée Cordonnier,LH/589/97,,sculpteur
Alphonse-Denis de Loynes,LH/1670/9,,personnalité politique
Alphonse-Nicolas Crépinet,LH/626/39,,architecte
Alphonse Antoine,19800035/962/11678,,résistant | militaire
Alphonse Brot,LH/373/64,,dramaturge | poète | écrivain
Alphonse Boistel,LH/273/23,,lichénologue | mycologue | botaniste
Alphonse Buisine,LH/390/50,,professeur d'université | chimiste
Alphonse Chovet,LH/535/61,,personnalité politique
Alphonse Cordier,LH/589/8,,personnalité politique
Alphonse Couvreux,LH/623/19,,inventeur | entrepreneur
Alphonse Dain,19800035/586/66408,,byzantiniste | helléniste | professeur d'université | maître de conférences
Alphonse Darlu,LH/661/75,,philosophe | enseignant
Alphonse Defrasse,19800035/234/31017,,architecte
Alphonse Defumade,LH/688/68,,personnalité politique
Alphonse Denis,LH/731/19,,personnalité politique
Alphonse Devergie,LH/765/59,,médecin
Alphonse Dumilatre,LH/845/18,,sculpteur
Alphonse Edouard Caron,19800035/322/43364,,militaire
Alphonse Emmanuel de Moncel de Perrin,19800035/1226/41438,,médailleur | sculpteur
Alphonse Ferré des Ferris,LH/961/25,,personnalité politique
Alphonse Gabriel Victor Paillet,LH/2036/39,,personnalité politique | avocat
Alphonse Fleuriot de Langle,LH/983/10,,officier de la Marine française
Alphonse Gaudron,19800035/1384/59888,,prêtre catholique
Alphonse Gosset,LH/1171/31,,architecte
Alphonse Guilloux,19800035/247/32829,,sculpteur
Alphonse Kahn,19800035/556/63429,,personnalité du monde des affaires
Alphonse Lalauze,19800035/1287/48675,,peintre | illustrateur
Alphonse Lamotte,LH/1461/69,,graveur
Alphonse Le Touzé de Longuemar,LH/1622/45,,archéologue | géologue | officier
André Bergeret,19800035/672/77119,,officier de la Marine française | résistant
André Bloch,19800035/616/69650,,résistant | espion | clerc de notaire
André Bourguet,19800035/1330/54117,,personnalité politique
André Bourgin,19800035/935/8923,,spéléologue | ingénieur civil
André Boyer-Mas,19800035/1166/33159,,diplomate
André Brouillet,LH/374/51,,peintre
André Broca,19800035/450/60177,,physicien | médecin
André Brunot,19800035/1226/41420,,acteur
André Brulé,19800035/197/25781,,acteur de cinéma | acteur
André Burthe,LH/396/42,,officier | militaire
André Camille Chazal,19800035/1476/71152,,personnalité politique
André Canivez,19800035/1040/19958,,personnalité politique
André Capron,LH/422/77,,personnalité politique
André Castex,19800035/61/7495,,médecin
André Chollet,LH/531/3,,personnalité politique
André Chevrillon,19800035/265/35353,,écrivain
André Crochepierre,19800035/277/37107,,peintre
André Dauchez,LH/666/35,,dessinateur | peintre | illustrateur
André David,19800035/363/48847,,personnalité politique
André Dignimont,19800035/638/73710,,graveur | peintre | illustrateur
André Dubois,19800035/619/70300,,espion
André Dumont,LH/845/63,,juriste | personnalité politique
André Détolle,19800035/426/56920,,personnalité politique
André Foulon de Vaulx,LH/1009/33,,romancier | poète
André Galle,LH/1060/20,,sculpteur | graveur
André Giroux,LH/1152/55,,peintre | photographe
André Gougenheim,19800035/1334/54630,,géographe | ingénieur
André Granet,19800035/1264/45767,,architecte
André Gratien West,LH/2754/45,,historien
André Hallays,LH/1259/46,,journaliste | avocat | écrivain
André Haudry de Soucy,LH/1271/40,,personnalité politique
André Herbelin,19800035/689/78863,,résistant | aviateur | militaire
André Horace François de Barral de Rochechinard,LH/119/25,,aristocrate
André Japy,19800035/1225/41273,,aviateur
André Join-Lambert,19800035/875/2731,,personnalité politique
André Jean Simon Nougarède de Fayet,LH/2005/4,,magistrat | personnalité politique
André Joseph Emmanuel Massenet,19800035/351/47166,,militaire
André Jouffrault,19800035/1335/54774,,personnalité politique
André Joseph Jourdan,LH/1381/40,,personnalité politique
André Jung,LH/1390/70,,archéologue | historien
André Kiener,LH/1400/56,,personnalité politique | personnalité du monde des affaires
André Lacroix,LH/1427/71,,archiviste
André Lalande,19800035/412/55167,,historien de la philosophie | philosophe
André Latarjet,19800035/799/90457,,anatomiste | professeur d'université
André Laugier,LH/1496/79,,minéralogiste | chimiste | pharmacien
André Lavertujon,LH/1506/75,,personnalité politique
André Lecomte du Nouÿ,LH/1536/27,,architecte
André Lebon,LH/1517/39,,personnalité politique | personnalité du monde des affaires | enseignant
André Lemierre,19800035/792/89473,,bactériologiste | médecin
André Lemonnier,19800035/419/55988,,officier de marine
André Lorgeré,19800035/1183/36989,,personnalité politique
André Loyen,19800035/1246/43843,,latiniste
André Louis Elisabeth Marie Briche,LH/363/46,,officier
André Léveillé,19800035/445/59581,,peintre
André Mabille de Poncheville,19800035/976/13100,,critique littéraire | journaliste | historien | poète | écrivain
André Malterre,19800035/1297/49936,,syndicaliste
André Maroselli,19800035/1017/17493,,personnalité politique
André Martel,19800035/651/75087,,poète
André Maurice,19800035/1201/38798,,architecte
André Maublanc,19800035/178/23023,,mycologue | botaniste | agronome
André Metz,19800035/954/10854,,officier | physicien | écrivain
André Moinier,LH/1895/21,,personnalité politique | avocat
André Mouëzy-Éon,19800035/864/1521,,parolier | auteur-compositeur | acteur | scénariste
André Mutter,19800035/1186/37609,,personnalité politique
André Papillon,19800035/1315/52183,,photographe
André Pavlovsky,19800035/421/56325,,architecte
André Paul Arthur Massoulle,LH/1785/64,,médailleur | sculpteur
André Pelletan,LH/2085/57,,scientifique
André Pierre Étienne Abrial,LH/4/44,,haut fonctionnaire | personnalité politique
André Pottier,LH/2207/56,,conservateur | bibliothécaire
André Pringolliet,19800035/825/93985,,personnalité politique
André Pératé,19800035/562/64024,,historien de l'art
André Ragot,19800035/1082/24420,,résistant | médecin militaire
André Renard,19800035/305/41098,,personnalité politique
André Rivoire,LH/2342/35,,journaliste | dramaturge | poète
André Sanson,LH/2455/5,,vétérinaire
André Sordet,LH/2535/19,,militaire
André Soulas,LH/2539/25,,prêtre catholique
André Troller,19800035/849/97166,,journaliste
André Ventre,LH/2682/51,,architecte
André Vigneau,19800035/928/8205,,photographe
André d'Arbelles,LH/35/80,,journaliste | historien
André d'Humières,19800035/1275/47001,,aviateur | militaire
André de Panafieu,19800035/747/84747,,diplomate | personnalité politique
André du Bois de La Villerabel,LH/269/89,,prêtre catholique
André Édouard Marty,19800035/1271/46401,,cinéaste | illustrateur
André Émile Léon Laffon de Ladebat,LH/1434/3,,officier de marine
André Étienne Postel-Vinay,LH/2204/71,,ingénieur
Andrée Bordeaux-Le Pecq,19800035/1188/37523,,peintre
Andrée Butillard,19800035/60/7364,,féministe | syndicaliste
Andrée Viollis,LH/47/22,,journaliste | écrivain
Andrée de Chauveron,19800035/661/76007,,acteur
Ange Defendini,19800035/619/70170,,Agent du SOE | résistant | espion
Ange François Blein,LH/256/94,,officier
Ange Jean Michel Bonaventure marquis de Dax d'Axat,LH/675/75,,personnalité politique | militaire
Anna Thibaud,19800035/745/84570,,éditeur | chanteur
Anne-Charles Hérisson,LH/1292/38,,personnalité politique | avocat
Anne-François-Charles Trelliard,LH/2626/27,,militaire
Anne Charles François de Montmorency,LH/1921/44,,personnalité politique | militaire
Anne Charles Basset de Montaigu,LH/131/30,,militaire
Anne Chrétien Louis de Hell,LH/1279/24,,personnalité politique
Anne Elisabeth Pierre de Montesquiou-Fezensac,LH/1918/68,,personnalité politique
Anne Jacques Jean Galdemar,LH/1058/10,,officier
Anne Léonard Camille Basset de Châteaubourg,LH/131/27,,ingénieur des ponts et chaussées
Anne Pierre Nicolas de Lapisse,LH/1477/61,,officier
Anne Victor Denis Hurault de Vibraye,LH/1327/83,,officier | personnalité politique
Anne de Rochechouart de Mortemart,LH/637/47,,pilote automobile | sculpteur | poète | personnalité du monde des affaires | écrivain
Annet Morio de L'Isle,LH/1940/4,,officier
Anselme Batbie,LH/135/33,,essayiste | économiste | juriste | professeur | personnalité politique
Anselme François Fleury,LH/983/36,,personnalité politique
Anselme François René Papiau de La Verrie,LH/2045/17,,personnalité politique
Anselme Lacadé,LH/1420/56,,personnalité politique
Anselme Marchal,LH/1726/43,,aviateur
Anselme Patureau-Mirand,19800035/1405/62360,,personnalité politique | avocat
Anselme Pétetin,LH/2120/48,,journaliste | avocat
Anthony Selmersheim,19800035/1275/46929,,architecte
Antoine-Achille d'Exéa-Doumerc,LH/916/21,,officier | militaire
Antoine-Augustin Renouard,LH/2301/2,,bibliographe | industriel | libraire | personnalité politique
Antoine-Charles de Ganay,LH/1066/44,,personnalité politique | militaire
Antoine-Claude-Jean Cavé d'Haudicourt,LH/455/30,,personnalité politique
Antoine-Constant de Brancas,LH/351/1,,soldat
Antoine-Fortuné Marion,LH/1744/2,,embryologiste | malacologiste | botaniste | zoologiste
Antoine-François Delandine,LH/700/41,,historien de la littérature | bibliothécaire | personnalité politique
Antoine-François Varner,LH/2675/98,,dramaturge | écrivain
Antoine-Geneviève-Amédée de Fraguier,LH/1021/52,,personnalité politique | militaire
Antoine-Gabriel Christin,LH/537/17,,militaire
Antoine-Guillaume Rampon,LH/2264/49,,personnalité politique | militaire
Antoine-Henri-Philippe-Léon d'Aure,LH/438/48,,cavalier de dressage | écrivain
Antoine-Jean-Baptiste-Joseph Gravier,LH/1193/85,,banquier | personnalité politique
Antoine-Ignace Anthoine,LH/41/95,,marchand | personnalité politique
Antoine-Jean-François Ménager,LH/1822/9,,personnalité politique
Antoine-Julien Hénard,LH/1281/3,,architecte
Antoine-Louis-Marie de Gramont,LH/1185/26,,diplomate | officier | personnalité politique | militaire
Antoine-Joseph de Chabrol de Chaméane,LH/467/17,,personnalité politique
Antoine-Louis Cornette,LH/591/94,,prêtre catholique
Antoine-Marguerite Clerc,LH/551/34,,officier | militaire
Antoine-Marie Demante,LH/724/37,,juriste | personnalité politique
Antoine-Marie-Henri Boulard,LH/316/35,,traducteur | notaire | personnalité politique
Antoine-Marie Peyre,LH/2133/47,,architecte
Antoine-Nicolas Gayant,LH/1102/29,,ingénieur
Antoine-Nicolas Bailly,LH/93/56,,architecte
Antoine-Philibert Marchant,LH/1730/56,,juriste | personnalité politique
Antoine-Sébastien Lavialle de Masmorel,LH/1506/95,,personnalité politique
Antoine-Théodore Bernex,LH/202/23,,ingénieur civil | personnalité politique
Antoine-Élie Lamblardie,LH/1458/56,,ingénieur
Antoine Albalat,19800035/240/31949,,romancier | critique littéraire
Antoine Alexandre Dejean,LH/692/71,,officier | militaire
Antoine Alexandre Rousseaux,LH/2402/19,,aristocrate
Antoine Alexandre Hanicque,LH/1263/51,,aristocrate
Antoine Alexandre Julienne,LH/170/15,,officier
Antoine Alexandre de Cosson,LH/597/58,,officier | militaire
Antoine Aude,LH/70/59,,personnalité politique | avocat
Antoine Balland,LH/98/44,,officier
Antoine Banès,LH/101/88,,personnalité politique
Antoine Baucheron de Boissoudy,LH/137/75,,militaire
Antoine Beaudemoulin,LH/139/74,,militaire
Antoine Blanc,19800035/132/16730,,personnalité politique
Antoine Blatin,LH/256/6,,personnalité politique
Antoine Blondel,LH/260/5,,personnalité politique
Antoine Boin,LH/269/2,,personnalité politique | médecin
Antoine Boutonnet,LH/341/1,,prélat | prêtre catholique
Antoine Breguet,LH/355/96,,inventeur | physicien | ingénieur
Antoine Cabaton,LH/400/3,,anthropologue
Antoine Challan,LH/470/39,,magistrat | personnalité politique
Antoine Chantron,LH/482/6,,peintre
Antoine Chazal,LH/513/60,,peintre
Antoine Charma,LH/492/31,,philosophe | archéologue
Antoine Chautan de Vercly,LH/508/53,,officier | militaire
Antoine Christophe Cochois,LH/558/48,,officier | militaire
Antoine Claire Thibaudeau,LH/2587/81,,historien | personnalité politique | avocat | écrivain
Antoine Constantin de Prévost,LH/2224/20,,personnalité politique
Antoine Dehaussy de Robecourt,LH/691/17,,personnalité politique
Antoine Delpierre,LH/720/18,,personnalité politique | avocat
Antoine Delpierre,LH/720/19,,personnalité politique | avocat
Antoine François Desmousseaux de Givré,LH/753/34,,personnalité politique | avocat
Antoine Digonet,LH/777/10,,militaire
Antoine Drivet,LH/804/54,,personnalité politique
Antoine Dufour,LH/834/61,,personnalité politique
Antoine Dumesnil,LH/844/69,,historien de l'art | personnalité politique | avocat
Antoine Edme Adam de Barbazan,LH/106/18,,militaire
Antoine Eustache d'Osmond,LH/2024/32,,prélat
Antoine Exelmans,19800035/729/82812,,officier
Antoine Fortuné de Brack,LH/349/57,,officier | militaire
Antony Martinet,LH/1768/54,,personnalité politique
Antony-Samuel Adam-Salomon,LH/2450/12,,sculpteur | photographe
