leonoreid,diplome
LH/1154/28,
19800035/706/80585,
LH/2692/9,
LH/2262/68,
LH/1984/13,
19800035/408/54579,
LH/658/46,
LH/842/77,
LH/366/46,
LH/815/21,
LH/1185/32,
19800035/1301/50196,
19800035/240/31926,
LH/2208/25,
19800035/685/78448,
LH/2195/37,
19800035/1176/36112,
LH/842/3,
LH/906/15,
C/0/9,
LH/172/43,
LH/1509/35,
LH/803/61,
LH/643/10,
LH/2288/38,
LH/2288/39,
19800035/616/69538,
LH/1848/3,
LH/1848/3,
LH/2550/9,
LH/2281/44,
LH/2082/50,
19800035/565/64356,
LH/36/5,
LH/1711/69,
LH/2460/35,
LH/1003/68,
LH/2567/6,
19800035/1052/21204,
19800035/253/33692,
LH/429/27,
LH/668/20,
LH/668/20,
LH/1969/60,
LH/846/5,
LH/2/26,
LH/1177/67,
LH/2064/6,
19800035/882/3412,
LH/1098/54,
LH/1975/53,
19800035/789/89205,
LH/1394/42,
19800035/1246/43838,
LH/1269/8,
LH/2220/73,
LH/1454/70,
LH/1506/1,
LH/1786/54,
LH/6/20,
LH/2573/72,
LH/2190/11,
19800035/399/53418,
LH/1272/25,
C/0/11,
LH/1115/16,
LH/988/37,
LH/1778/38,
LH/44/13,
19800035/898/5032,
19800035/224/29499,
LH/1575/63,
LH/329/8,
19800035/1342/55610,
LH/2663/59,
LH/116/6,
LH/682/2,
LH/682/2,
C/0/37,
C/0/37,
19800035/902/5503,
LH/2755/18,
LH/1928/29,
19800035/223/29449,
19800035/702/80144,
LH/1034/11,
LH/2698/61,
LH/2698/61,
19800035/463/61865,
LH/297/3,
19800035/463/61886,
C/0/66,
LH/2395/8,
LH/1081/36,
LH/1037/84,
LH/713/3,
LH/1368/55,
LH/194/69,
LH/1616/85,
LH/2779/6,
LH/1331/52,
LH/1199/59,
LH/1124/65,
LH/950/16,
LH/950/16,
LH/648/10,
LH/1645/8,
19800035/42/5213,
LH/2788/39,
LH/2752/53,
19800035/167/21510,
C/0/6,
LH/977/56,
LH/2242/14,
LH/1006/86,
LH/1206/51,
LH/374/17,
LH/374/16,
LH/328/28,
19800035/156/19866,
C/0/52,
LH/2748/54,
LH/2635/39,
LH/540/11,
LH/2615/64,
LH/1841/5,
LH/128/45,
LH/1452/27,
LH/666/97,
LH/376/34,
19800035/1182/36826,
LH/2299/33,
19800035/222/29229,
19800035/695/79470,
19800035/99/12464,
19800035/1024/18177,
19800035/136/17159,
LH/100/10,
LH/100/10,
LH/482/32,
LH/482/32,
LH/1536/74,
LH/1150/22,
C/0/12,
LH/2402/2,
LH/930/54,
LH/430/43,
LH/1340/38,
LH/2285/49,
LH/369/64,
LH/2165/73,
19800035/161/20663,
LH/1775/32,
LH/2705/91,
LH/2700/17,
C/0/19,
LH/212/28,
LH/102/24,
LH/2698/97,
LH/1495/32,
LH/85/63,
LH/85/63,
LH/8/14,
LH/920/47,
C/0/38,
C/0/38,
19800035/1393/60962,
LH/541/42,
LH/541/42,
LH/1077/65,
LH/1335/6,
LH/2530/39,
LH/1259/19,
LH/1259/19,
19800035/1331/54348,
LH/467/33,
LH/96/54,
LH/294/36,
LH/2295/70,
19800035/1230/41876,
19800035/548/62695,
LH/161/75,
LH/2793/132,
LH/2568/4,
LH/2037/44,
LH/218/40,
C/0/7,
LH/315/87,
LH/315/87,
LH/7/49,
19800035/1106/26748,
LH/476/65,
LH/1360/85,
LH/1360/85,
19800035/1222/41059,
19800035/764/86868,
LH/2556/43,
C/0/33,
LH/2464/35,
LH/161/76,
LH/1430/55,
LH/499/16,
19800035/106/13288,
19800035/551/62914,
LH/2073/48,
LH/1685/20,
LH/1310/85,
LH/1630/26,
19800035/594/67253,
LH/2490/10,
LH/306/7,
LH/354/63,
LH/2472/49,
LH/161/78,
LH/1285/5,
LH/364/79,
LH/438/90,
LH/2465/49,
LH/251/70,
LH/2401/65,
C/0/75,
19800035/190/24799,
LH/2207/26,
LH/788/32,
C/0/54,
LH/2690/77,
LH/2690/77,
LH/650/38,
LH/703/34,
LH/625/47,
LH/1129/23,
LH/1129/23,
19800035/629/72830,
LH/983/49,
LH/367/9,
LH/1104/45,
LH/1075/63,
LH/612/10,
LH/691/69,
LH/1606/21,
LH/1026/2,
LH/1182/52,
LH/538/40,
LH/389/84,
19800035/100/12547,
LH/702/62,
LH/1974/55,
LH/1969/61,
LH/1243/58,
LH/2192/15,
LH/1353/21,
LH/354/15,
LH/761/40,
LH/467/20,
LH/1374/48,
LH/1459/47,
LH/1463/56,
LH/361/89,
LH/361/89,
LH/2044/67,
19800035/1294/49614,
LH/274/78,
LH/1583/43,
LH/1818/30,
LH/2459/68,
LH/1946/49,
19800035/1299/53997,
LH/454/7,
19800035/1310/51566,
LH/1396/34,
LH/448/16,
19800035/203/26559,
LH/561/26,
LH/1094/16,
LH/2698/88,
LH/2698/88,
LH/1024/49,
LH/775/27,
LH/1294/20,
LH/1221/60,
LH/238/75,
19800035/1375/58924,
LH/674/9,
19800035/255/34005,
19800035/226/29879,
LH/691/41,
LH/1891/20,
19800035/259/34472,
LH/654/56,
LH/1025/30,
LH/1271/3,
LH/1233/50,
LH/1551/35,
LH/1551/35,
LH/1395/56,
LH/1846/46,
LH/2105/12,
LH/2163/54,
LH/2080/35,
LH/2758/1,
LH/2763/1,
LH/1320/11,
19800035/380/51012,
LH/1036/28,
19800035/799/90494,
LH/1537/42,
LH/1/36,
LH/2720/92,
LH/957/23,
19800035/800/90662,
LH/407/27,
19800035/846/96846,
LH/1495/40,
LH/23/8,
19800035/823/93700,
LH/1131/25,
LH/1/60,
LH/42/2,
LH/1586/32,
19800035/1475/70913,
LH/2064/29,
LH/2064/29,
LH/2111/40,
LH/892/29,
LH/1388/2,
LH/1388/2,
LH/895/40,
LH/309/19,
LH/978/8,
19800035/1176/36127,
C/0/36,
LH/389/69,
LH/705/24,
LH/909/20,
LH/1059/66,
LH/569/97,
LH/1589/26,
19800035/239/31751,
LH/751/57,
LH/2508/78,
LH/858/65,
LH/143/7,
LH/1568/14,
LH/1553/102,
LH/1149/49,
LH/1023/21,
LH/2257/25,
LH/2142/36,
LH/2508/4,
LH/1630/18,
19800035/542/62012,
LH/1511/44,
LH/549/39,
LH/1605/51,
19800035/134/17002,
LH/91/56,
LH/2772/31,
LH/156/60,
LH/2371/65,
LH/1238/23,
LH/1191/49,
LH/622/23,
19800035/299/40201,
LH/481/30,
LH/112/10,
19800035/300/40332,
LH/720/30,
LH/1273/71,
LH/1496/69,
LH/354/70,
LH/2457/48,
LH/753/86,
LH/1123/39,
LH/74/48,
LH/2584/33,
LH/2001/49,
19800035/1318/52533,
LH/2396/42,
LH/108/65,
LH/1220/16,
19800035/1189/37549,
19800035/549/62763,
LH/1408/44,
19800035/370/49714,
LH/1281/6,
19800035/1395/61202,
LH/307/65,
LH/2497/70,
LH/1071/2,
19800035/809/91969,
LH/553/28,
LH/214/44,
C/0/85,
19800035/939/9335,
LH/1213/27,
LH/1183/93,
LH/519/61,
LH/1085/10,
LH/1388/89,
LH/2680/93,
LH/1210/49,
LH/650/15,
LH/2664/73,
LH/2662/101,
LH/1665/34,
LH/1291/48,
19800035/1147/31266,
LH/455/24,
LH/1409/15,
19800035/157/20076,
LH/969/21,
LH/1155/53,
19800035/327/44122,
LH/1008/55,
LH/1385/42,
19800035/1183/36993,
LH/1879/27,
LH/2319/25,
LH/2662/100,
LH/500/62,
LH/1146/73,
LH/2290/77,
19800035/180/23258,
LH/1472/5,
LH/1472/5,
LH/224/11,
LH/1485/66,
LH/1302/51,
LH/1259/21,
LH/696/2,
LH/2423/18,
19800035/616/69671,
19800035/1200/38750,
19800035/267/35672,
LH/689/5,
LH/673/32,
LH/1336/16,
LH/561/31,
LH/1271/83,
LH/1271/83,
19800035/146/18571,
LH/2141/18,
19800035/3/338,
LH/2563/18,
LH/2777/51,
LH/1754/44,
LH/1995/9,
19800035/158/20182,
LH/2783/32,
19800035/212/27793,
LH/2266/51,
C/0/1,
C/0/1,
LH/1415/46,
19800035/1350/56433,
LH/199/2,
LH/585/63,
LH/1102/17,
LH/32/2,
LH/162/50,
LH/2591/40,
C/0/20,
LH/2610/51,
LH/1410/2,
LH/7/21,
19800035/777/88039,
19800035/97/12110,
19800035/1140/30467,
LH/1503/29,
19800035/254/33915,
LH/2401/84,
19800035/205/26838,
LH/1696/16,
LH/984/45,
LH/2777/60,
LH/945/4,
19800035/282/37855,
LH/2127/18,
LH/140/40,
LH/2542/10,
LH/657/5,
LH/25/63,
LH/352/24,
LH/1842/15,
LH/925/44,
LH/2668/75,
19800035/1326/53584,
LH/553/50,
LH/1693/54,
LH/1942/70,
LH/1877/44,
LH/765/65,
LH/222/36,
LH/2653/39,
LH/811/20,
LH/1740/22,
LH/2378/80,
LH/1258/19,
LH/1980/60,
LH/1151/52,
19800035/1384/59899,
19800035/146/18610,
19800035/571/64930,
19800035/862/1356,
LH/1546/82,
LH/277/60,
LH/277/60,
LH/1420/91,
LH/618/72,
LH/1410/26,
LH/2401/82,
LH/371/23,
LH/371/23,
19800035/460/61581,
LH/2476/36,
LH/1625/5,
LH/1625/5,
LH/432/44,
LH/1721/19,
LH/659/25,
19800035/455/60893,
LH/407/9,
19800035/1482/72153,
LH/2752/2,
19800035/1267/46029,
19800035/1092/25524,
C/0/2,
LH/1223/40,
LH/2607/3,
LH/535/29,
LH/404/67,
19800035/1481/72058,
LH/1015/75,
LH/371/73,
LH/886/13,
LH/272/69,
19800035/255/34038,
LH/2675/103,
LH/382/41,
LH/2622/1,
LH/2089/14,
LH/2601/39,
19800035/19/2411,
LH/439/2,
LH/1307/39,
LH/1011/64,
LH/1011/64,
19800035/1262/45505,
19800035/372/49942,
19800035/897/4966,
19800035/189/24648,
19800035/1481/72000,
LH/965/30,
LH/83/41,
LH/760/15,
19800035/290/38904,
LH/129/44,
LH/2324/45,
19800035/231/30569,
19800035/408/54554,
LH/1598/2,
LH/1081/9,
LH/2285/51,
LH/1255/13,
19800035/357/48014,
19800035/765/86890,
LH/2470/83,
LH/2246/47,
LH/2157/25,
LH/1846/7,
19800035/552/63041,
LH/571/70,
LH/681/45,
LH/1103/38,
LH/2568/9,
19800035/761/86467,
LH/2180/20,
LH/2180/20,
19800035/823/93718,
LH/934/36,
19800035/367/49318,
LH/1387/64,
LH/1012/52,
19800035/742/84252,
LH/436/35,
LH/185/3,
LH/93/6,
LH/1393/46,
LH/1046/23,
LH/2491/43,
LH/684/55,
LH/2404/28,
19800035/381/51092,
LH/2316/54,
LH/488/9,
LH/364/75,
LH/1864/17,
19800035/796/90074,
LH/2627/45,
LH/913/31,
LH/2738/25,
LH/2738/25,
LH/2768/61,
LH/2768/61,
LH/795/45,
LH/730/59,
LH/2387/33,
19800035/22/2846,
19800035/1415/63582,
19800035/1288/48788,
LH/1486/79,
LH/733/60,
LH/2236/13,
19800035/445/59623,
LH/617/25,
LH/909/31,
LH/949/34,
LH/980/51,
LH/1562/43,
19800035/366/49143,
LH/413/66,
LH/1522/33,
LH/1104/58,
LH/1912/45,
C/0/29,
LH/1260/46,
LH/124/32,
19800035/790/89307,
LH/478/40,
LH/2327/25,
LH/2503/50,
19800035/1040/19961,
LH/480/50,
LH/714/16,
19800035/1486/72786,
LH/609/72,
LH/5/24,
LH/275/1,
LH/298/52,
19800035/1481/72024,
LH/754/46,
LH/1718/58,
LH/312/28,
LH/2009/31,
LH/1520/22,
LH/141/57,
LH/1279/54,
19800035/839/95897,
LH/981/19,
19800035/77/9515,
LH/100/70,
LH/2022/5,
LH/337/33,
19800035/63/7706,
LH/79/97,
LH/707/100,
LH/2253/8,
19800035/957/11108,
19800035/620/70410,
LH/2498/15,
LH/1881/68,
LH/239/97,
LH/2583/2,
LH/1894/42,
LH/2671/47,
19800035/551/62987,
LH/1996/41,
LH/1324/8,
19800035/205/26814,
19800035/1180/36559,
LH/2518/74,
19800035/1198/38530,
19800035/1467/69804,
LH/1716/39,
LH/331/67,
LH/818/26,
LH/2444/5,
LH/1973/10,
LH/2052/10,
LH/93/21,
LH/1570/8,
LH/385/12,
LH/2052/21,
LH/1426/7,
LH/454/80,
LH/500/45,
LH/2288/19,
LH/260/3,
LH/530/47,
19800035/216/28345,
19800035/34/4392,
LH/2309/57,
LH/1025/5,
19800035/390/52277,
19800035/855/592,
LH/370/7,
19800035/288/38749,
19800035/220/28932,
19800035/323/43514,
19800035/1256/44899,
19800035/1301/50180,
19800035/105/13167,
19800035/41/5146,
19800035/790/89270,
LH/1513/10,
LH/1278/41,
LH/2202/66,
19800035/788/89111,
LH/1009/62,
LH/1325/47,
LH/2466/72,
19800035/12/1524,
19800035/694/79307,
LH/405/96,
19800035/1237/42754,
19800035/808/91797,
19800035/993/14946,
19800035/616/69651,
19800035/1477/71386,
LH/2585/73,
19800035/240/31927,
LH/277/58,
LH/277/58,
19800035/44/5482,
LH/2763/3,
19800035/636/73594,
19800035/629/72852,
LH/1192/11,
LH/316/6,
LH/1202/64,
LH/164/73,
LH/2019/52,
LH/575/55,
19800035/176/22684,
19800035/231/30659,
19800035/138/17468,
LH/167/16,
19800035/613/69165,
19800035/308/41477,
LH/650/34,
LH/1681/56,
LH/1681/56,
LH/1834/49,
LH/2483/51,
LH/1950/45,
LH/87/75,
LH/1018/4,
LH/907/45,
19800035/103/12944,
19800035/1304/50526,
19800035/1184/37061,
LH/1216/67,
LH/1404/10,
19800035/316/42570,
LH/1533/2,
LH/2020/41,
19800035/174/22427,
LH/2233/38,
LH/554/26,
LH/133/61,
LH/2236/33,
19800035/205/26882,
LH/1881/67,
LH/1036/50,
LH/91/61,
LH/1860/47,
LH/1796/41,
LH/1796/41,
19800035/1439/66533,
LH/717/23,
LH/560/44,
LH/2266/21,
LH/476/56,
19800035/627/72561,
LH/1179/57,
C/0/27,
19800035/1445/67202,
LH/1645/2,
LH/2651/50,
LH/1590/3,
LH/598/28,
LH/110/51,
LH/16/69,
LH/1636/24,
LH/389/47,
LH/1132/19,
LH/141/53,
LH/141/53,
19800035/451/60367,
LH/2671/52,
LH/1336/8,
LH/462/25,
LH/462/25,
LH/925/15,
LH/2282/86,
LH/649/54,
LH/2250/34,
LH/2324/78,
LH/1378/1,
LH/629/28,
19800035/311/41895,
LH/1298/16,
LH/85/55,
C/0/26,
LH/122/14,
LH/1816/46,
19800035/252/33521,
LH/986/59,
LH/2779/36,
LH/2251/86,
