leonoreid,diplome
LH/1639/6,
LH/1338/28,
LH/1214/23,
LH/1547/70,
LH/2249/7,
LH/1471/6,
LH/694/2,
LH/613/47,
LH/1450/37,
LH/2030/6,
LH/1865/37,
19800035/1069/23040,
19800035/1302/50356,
19800035/734/83343,
19800035/893/4581,
LH/1339/1,
LH/682/33,
19800035/0085/10665,
19800035/457/61087,
LH/871/65,
LH/2533/66,
LH/2419/17,
LH/2427/27,
LH/1516/71,
LH/2222/71,
19800035/971/12600,
LH/1355/79,
LH/1830/7,
LH/2668/42,
LH/2250/33,
LH/555/60,
LH/555/60,
LH/734/94,
LH/2758/25,
LH/2124/36,
LH/185/70,
19800035/632/73115,
LH/2669/32,
LH/2208/41,
LH/280/7,
19800035/267/35701,
LH/1039/57,
LH/169/10,
LH/308/72,
LH/985/1,
19800035/690/78946,
LH/1197/45,
LH/2319/76,
19800035/806/91441,
LH/664/27,
19800035/739/83890,
LH/2263/17,
19800035/118/14941,
19800035/1251/44464,
LH/1862/12,
LH/1188/6,
LH/1218/14,
19800035/154/19708,
19800035/569/64791,
LH/113/9,
LH/1064/70,
LH/26/58,
LH/2770/21,
19800035/1093/25534,
19800035/1307/51190,
LH/1117/47,
LH/1821/37,
LH/321/11,
19800035/316/42603,
LH/1408/27,
LH/11/6,
LH/958/33,
LH/2080/30,
LH/1284/38,
LH/1207/5,
LH/233/97,
LH/1150/67,
LH/1432/30,
19800035/1183/36925,
LH/2450/35,
LH/1589/42,
LH/167/27,
LH/1440/12,
19800035/271/36249,
19800035/709/80810,
LH/425/26,
19800035/193/25138,
19800035/450/60208,
19800035/1484/72500,
LH/559/52,
19800035/1277/47162,
LH/32/67,
LH/2547/49,
LH/1794/81,
LH/27/30,
LH/97/71,
LH/1260/14,
LH/580/12,
LH/580/11,
LH/2725/27,
LH/2710/34,
LH/57/39,
LH/315/73,
19800035/889/4116,
LH/775/39,
19800035/184/23917,
LH/494/69,
19800035/1244/43608,
LH/2646/40,
19800035/1002/15921,
LH/354/50,
LH/2206/28,
LH/453/6,
LH/693/10,
LH/1032/51,
LH/1032/50,
19800035/1413/63331,
LH/1664/56,
19800035/1094/25679,
LH/14/17,
LH/2499/6,
19800035/298/40094,
LH/1717/12,
LH/1248/19,
19800035/560/63801,
LH/1216/41,
19800035/1153/31854,
LH/639/22,
19800035/1279/47569,
LH/336/41,
LH/2474/14,
LH/2715/42,
LH/254/52,
19800035/798/90293,
LH/2361/33,
LH/1925/26,
19800035/567/64547,
LH/2249/6,
LH/1855/77,
19800035/1259/45188,
LH/2351/6,
LH/152/68,
LH/2503/20,
19800035/95/11921,
LH/2098/65,
LH/641/26,
LH/922/1,
LH/227/1,
19800035/699/79839,
19800035/685/78434,
LH/1245/5,
LH/1108/6,
19800035/1173/35854,
LH/776/66,
LH/2574/19,
LH/850/47,
19800035/150/19162,
LH/403/40,
19800035/1319/52678,
LH/1618/63,
19800035/307/41288,
LH/158/25,
LH/461/79,
19800035/130/16491,
LH/123/1,
LH/2674/20,
LH/649/27,
19800035/21/2686,
LH/1900/73,
LH/2492/24,
LH/962/37,
LH/1278/59,
19800035/108/13640,
LH/1675/69,
19800035/1192/37869,
19800035/164/21076,
LH/641/44,
19800035/1424/64765,
LH/2533/9,
LH/2532/24,
19800035/449/60067,
19800035/115/14483,
LH/534/52,
LH/1947/65,
LH/1744/42,
19800035/227/29948,
LH/1593/58,
LH/1500/81,
LH/148/16,
19800035/109/13734,
LH/389/51,
LH/2221/46,
19800035/315/42446,
LH/586/55,
LH/841/66,
LH/1595/26,
LH/1336/33,
19800035/708/80726,
LH/2328/5,
LH/2313/57,
LH/2394/46,
LH/2493/74,
LH/2493/62,
LH/368/58,
LH/1128/5,
19800035/1423/64683,
LH/948/2,
LH/215/10,
LH/478/47,
19800035/1250/44276,
LH/763/65,
LH/2574/5,
19800035/1338/55104,
LH/1818/18,
LH/2205/9,
LH/770/16,
19800035/1464/69283,
19800035/1176/36198,
LH/92/63,
LH/2678/65,
LH/884/46,
LH/2674/15,
19800035/1319/52727,
LH/1121/1,
LH/928/47,
LH/436/15,
LH/2070/20,
LH/2742/86,
LH/2711/44,
19800035/829/94541,
19800035/650/74966,
19800035/1230/41848,
19800035/7/863,
LH/1746/5,
19800035/1337/54925,
LH/2039/7,
LH/1500/107,
LH/925/38,
19800035/308/41540,
LH/2424/52,
19800035/584/66264,
LH/538/2,
LH/1353/99,
LH/1353/99,
LH/807/51,
19800035/627/72589,
LH/609/27,
LH/230/32,
19800035/542/62043,
LH/1402/4,
LH/202/12,
LH/2596/74,
19800035/210/27528,
LH/1817/48,
LH/1495/2,
LH/2286/76,
LH/2543/41,
LH/41/80,
LH/214/53,
LH/379/58,
LH/38/36,
LH/1528/39,
LH/1249/34,
LH/1831/10,
LH/1863/4,
LH/1367/47,
LH/1427/56,
LH/1102/28,
LH/978/38,
LH/384/84,
LH/1090/16,
19800035/413/55239,
LH/1472/36,
19800035/153/19551,
LH/1623/82,
LH/1593/2,
LH/766/20,
19800035/552/63094,
LH/1890/20,
LH/1828/12,
19800035/562/64083,
19800035/749/84921,
19800035/990/14549,
19800035/624/72090,
LH/966/26,
LH/2650/32,
LH/1695/47,
19800035/751/85162,
LH/1543/46,
LH/1954/6,
LH/1002/50,
LH/84/59,
LH/1364/45,
LH/2634/1,
LH/1183/81,
LH/2303/25,
19800035/133/16781,
LH/256/29,
LH/1936/9,
LH/2323/50,
19800035/320/43072,
19800035/720/81991,
19800035/180/23287,
LH/2084/65,
LH/1585/71,
19800035/1417/63784,
LH/791/42,
19800035/707/80678,
LH/2720/55,
19800035/141/17855,
LH/1543/52,
LH/382/8,
LH/2596/37,
LH/1130/83,
19800035/252/33552,
LH/85/15,
LH/66/86,
19800035/362/48707,
19800035/241/32020,
LH/104/21,
LH/134/45,
LH/227/18,
LH/241/57,
19800035/630/72949,
LH/311/31,
19800035/271/36332,
LH/433/63,
19800035/1149/31414,
LH/539/42,
LH/551/26,
19800035/1039/19856,
19800035/126/15926,
LH/668/33,
LH/688/83,
LH/684/91,
LH/704/50,
19800035/66/8122,
LH/822/32,
LH/958/35,
19800035/129/16305,
LH/738/39,
19800035/150/19103,
19800035/1445/67210,
19800035/246/32766,
LH/1245/37,
19800035/340/45767,
LH/2409/50,
LH/1429/81,
19800035/87/10868,
LH/1468/60,
LH/1511/11,
19800035/550/62803,
LH/1532/109,
LH/1588/37,
19800035/977/13235,
LH/1008/67,
LH/2573/28,
19800035/248/33009,
19800035/27/3431,
19800035/1326/53582,
LH/1690/4,
LH/1691/28,
19800035/232/30812,
19800035/1338/55081,
LH/1929/35,
LH/2018/4,
LH/2130/44,
19800035/387/51959,
19800035/208/27238,
LH/1881/36,
LH/1663/63,
LH/463/6,
LH/1305/53,
19800035/63/7742,
19800035/169/21747,
19800035/235/31217,
LH/483/56,
LH/1262/53,
LH/1280/22,
LH/2379/52,
LH/186/37,
LH/65/29,
LH/65/29,
LH/574/82,
LH/750/24,
LH/964/1,
19800035/620/70521,
LH/1539/64,
19800035/1370/58366,
LH/3/9,
19800035/1290/49174,
LH/2624/44,
LH/1302/38,
LH/203/66,
LH/180/31,
19800035/1179/36529,
LH/462/54,
LH/483/47,
LH/561/43,
19800035/740/84018,
LH/2741/71,
LH/1343/35,
LH/2626/12,
LH/1673/49,
LH/2108/38,
19800035/80/10020,
19800035/239/31720,
19800035/120/15186,
LH/668/3,
LH/2172/11,
LH/1430/6,
LH/1571/73,
LH/1756/16,
LH/820/50,
LH/1877/1,
19800035/200/26107,
LH/124/55,
LH/174/41,
19800035/856/678,
19800035/278/37285,
19800035/845/96773,
19800035/63/7764,
19800035/275/36873,
LH/518/66,
LH/646/46,
LH/701/68,
19800035/1288/48791,
LH/692/30,
LH/745/50,
19800035/243/32315,
LH/1161/68,
LH/1143/4,
LH/1178/19,
LH/1241/49,
19800035/548/62676,
LH/1264/58,
LH/1449/49,
19800035/1436/66268,
LH/1518/5,
19800035/204/26654,
19800035/558/63502,
LH/1794/8,
19800035/257/34272,
LH/2020/8,
LH/2201/71,
19800035/572/65028,
LH/2568/31,
LH/2742/43,
LH/892/57,
LH/520/33,
LH/2436/34,
LH/1904/41,
19800035/1288/48784,
LH/409/74,
LH/557/70,
LH/1371/25,
LH/182/9,
LH/435/49,
LH/149/73,
19800035/765/86901,
19800035/271/36298,
19800035/631/73085,
LH/329/78,
LH/466/57,
LH/749/44,
LH/2444/66,
19800035/1361/57544,
LH/728/9,
LH/824/16,
LH/936/7,
LH/1238/25,
LH/2028/24,
LH/2791/148,
LH/1561/12,
19800035/207/27120,
LH/75/70,
19800035/245/32665,
19800035/235/31103,
LH/240/41,
LH/722/23,
LH/1089/48,
LH/1128/57,
LH/1538/36,
LH/2271/36,
LH/2271/36,
LH/2703/33,
LH/2697/9,
LH/2786/143,
LH/760/1,
LH/111/54,
LH/292/22,
LH/34/61,
LH/1229/81,
LH/49/74,
LH/410/85,
19800035/335/45080,
LH/985/51,
LH/33/16,
LH/2505/24,
19800035/741/84128,
LH/2684/51,
LH/1674/62,
LH/36/90,
LH/624/61,
19800035/355/47771,
19800035/816/92891,
LH/177/85,
19800035/1098/25981,
19800035/1400/61792,
19800035/367/49247,
19800035/360/48384,
19800035/586/66454,
LH/782/33,
19800035/462/61812,
LH/2237/13,
19800035/546/62403,
19800035/294/39494,
19800035/1474/70763,
LH/1770/62,
LH/1959/44,
LH/2307/24,
LH/1446/67,
19800035/169/21739,
LH/706/72,
19800035/1015/17287,
LH/2477/26,
LH/1869/42,
19800035/211/27724,
LH/2527/12,
LH/806/20,
LH/705/61,
LH/847/39,
19800035/34/4386,
LH/2547/62,
LH/243/10,
LH/1273/5,
LH/1586/34,
LH/1840/49,
LH/1770/4,
LH/338/56,
LH/1325/34,
19800035/170/21864,
LH/304/18,
LH/479/36,
LH/1522/13,
LH/1390/64,
LH/1343/80,
LH/1680/63,
19800035/94/11734,
LH/1472/38,
LH/2219/19,
LH/749/23,
LH/2785/81,
LH/493/27,
LH/1755/40,
19800035/1286/48553,
LH/601/72,
LH/86/79,
LH/1193/1,
19800035/1069/23066,
LH/431/6,
LH/1936/67,
LH/1264/57,
19800035/547/62587,
LH/743/22,
LH/327/3,
LH/1146/50,
LH/1621/61,
LH/446/62,
19800035/124/15638,
19800035/564/64239,
LH/2407/36,
LH/2292/63,
LH/2461/77,
LH/2512/1,
LH/2643/27,
19800035/711/81051,
19800035/121/15232,
19800035/259/34591,
LH/2746/54,
19800035/1341/55371,
LH/539/64,
LH/775/14,
LH/2358/57,
19800035/1249/44109,
LH/1812/55,
LH/2430/31,
LH/2407/38,
LH/758/58,
LH/2260/71,
LH/2563/65,
19800035/369/49589,
19800035/957/11194,
LH/2670/1,
LH/1328/18,
LH/2467/30,
LH/310/37,
LH/386/65,
LH/2787/56,
LH/1271/9,
LH/1572/8,
LH/2764/88,
LH/1377/60,
LH/49/70,
19800035/1286/48443,
19800035/722/82111,
LH/119/8,
LH/252/36,
19800035/195/25497,
19800035/723/82247,
LH/258/24,
19800035/0153/19492,
LH/2106/2,
LH/563/61,
LH/734/38,
LH/686/42,
LH/748/71,
19800035/1291/49208,
LH/748/32,
LH/766/17,
LH/758/7,
19800035/1479/71740,
LH/1295/41,
LH/2721/25,
LH/919/8,
LH/776/74,
LH/1271/8,
LH/1029/69,
LH/2443/39,
LH/2330/65,
LH/1116/24,
LH/1123/9,
LH/1152/18,
LH/1175/47,
LH/1208/5,
LH/1279/65,
LH/1289/3,
LH/1247/39,
LH/1355/84,
19800035/1482/72108,
LH/613/30,
LH/1420/90,
LH/1448/45,
LH/1493/25,
LH/1560/18,
LH/24/54,
LH/827/53,
19800035/269/35926,
LH/1738/66,
LH/827/52,
LH/1777/4,
LH/250/65,
LH/1899/60,
LH/1931/4,
19800035/1063/22438,
LH/2007/48,
LH/2013/29,
LH/1247/47,
LH/2135/9,
LH/2179/39,
LH/2771/51,
LH/2260/22,
LH/2368/68,
LH/2485/49,
LH/1203/34,
LH/2585/22,
LH/2639/52,
LH/2678/32,
LH/2748/12,
LH/951/58,
LH/2671/45,
LH/2221/11,
LH/1468/91,
LH/1557/69,
LH/1346/32,
LH/1087/69,
LH/48/18,
LH/2330/67,
LH/360/77,
19800035/238/31620,
LH/1947/59,
LH/2056/44,
19800035/301/40444,
LH/351/44,
LH/1455/17,
LH/1876/60,
19800035/1386/60093,
LH/269/80,
LH/569/6,
LH/2567/46,
LH/1631/25,
19800035/139/17572,
LH/346/15,
LH/780/74,
LH/869/40,
LH/2145/41,
LH/1027/80,
LH/1471/13,
LH/1020/59,
LH/1020/59,
LH/1136/35,
LH/1323/53,
LH/2515/33,
LH/2282/45,
19800035/1235/42593,
LH/2508/47,
LH/429/23,
LH/1952/38,
19800035/1067/22835,
19800035/28/3530,
LH/403/39,
LH/2213/75,
19800035/368/49492,
19800035/176/22791,
LH/1907/26,
19800035/43/5304,
LH/1135/16,
19800035/160/20483,
LH/587/36,
LH/766/12,
LH/1621/27,
LH/118/67,
19800035/1424/64754,
LH/284/67,
C/0/30,
19800035/549/62760,
LH/1389/70,
LH/1601/30,
LH/552/85,
LH/2172/8,
19800035/1075/23709,
LH/125/67,
19800035/201/26305,
LH/2105/16,
19800035/174/22402,
LH/62/60,
LH/2583/54,
LH/11/1,
LH/598/71,
19800035/786/88831,
LH/329/40,
LH/2765/66,
19800035/883/3530,
LH/558/59,
LH/685/8,
19800035/564/64241,
LH/726/69,
19800035/242/32205,
19800035/127/16130,
19800035/18/2261,
LH/269/68,
19800035/1282/48014,
LH/1244/26,
19800035/230/30406,
LH/750/16,
LH/307/49,
LH/1335/29,
19800035/755/85627,
LH/1302/14,
LH/931/7,
LH/263/9,
LH/682/76,
LH/1943/43,
LH/289/109,
19800035/396/53077,
LH/1686/17,
19800035/18/2228,
19800035/385/51686,
LH/2640/61,
LH/1775/46,
LH/1198/35,
19800035/807/91691,
LH/168/41,
LH/1513/65,
LH/2036/37,
19800035/1463/69151,
LH/1131/3,
LH/1316/3,
LH/677/87,
LH/2275/34,
LH/2612/20,
LH/2388/3,
19800035/450/60277,
LH/102/5,
LH/150/16,
LH/309/84,
LH/1919/61,
LH/27/60,
LH/664/50,
LH/664/50,
LH/1965/73,
LH/1965/73,
LH/27/37,
LH/27/37,
LH/4/8,
LH/4/8,
LH/184/54,
LH/2387/5,
LH/1369/35,
LH/1736/25,
LH/1729/66,
19800035/325/43816,
LH/2084/16,
19800035/142/18009,
LH/620/51,
LH/193/56,
LH/1231/33,
LH/1181/28,
LH/1790/6,
LH/583/15,
LH/2270/86,
LH/1098/30,
LH/813/64,
LH/886/14,
19800035/554/63275,
LH/492/73,
19800035/577/65573,
LH/1221/81,
LH/2616/40,
19800035/1245/43666,
19800035/1245/43666,
LH/2542/23,
LH/2559/62,
LH/2559/62,
LH/652/6,
LH/452/19,
LH/452/19,
LH/1178/39,
LH/1679/66,
19800035/131/16549,
LH/209/66,
19800035/955/10930,
LH/2153/68,
LH/373/30,
LH/927/45,
LH/557/87,
LH/103/42,
LH/1341/11,
19800035/1145/31034,
19800035/724/82319,
19800035/1114/27577,
LH/187/72,
19800035/1436/66288,
LH/987/81,
LH/17/10,
LH/1054/17,
LH/1008/24,
19800035/1322/53089,
LH/2723/7,
LH/528/39,
LH/2597/65,
19800035/132/16655,
LH/694/3,
LH/1234/45,
LH/1654/51,
LH/402/16,
LH/1339/26,
19800035/112/14168,
19800035/1062/22242,
LH/2387/64,
LH/593/35,
LH/593/35,
LH/553/46,
19800035/218/28575,
19800035/218/28575,
LH/776/37,
LH/432/90,
LH/1603/79,
LH/501/94,
LH/2748/11,
LH/26/57,
LH/301/2,
LH/144/44,
LH/943/45,
LH/2356/42,
C/0/79,
19800035/202/26397,
LH/1826/17,
LH/75/80,
LH/1811/55,
LH/2386/11,
LH/2099/60,
LH/2363/16,
LH/500/92,
LH/840/75,
LH/1161/27,
LH/1316/57,
LH/1634/54,
LH/1409/18,
LH/2567/3,
19800035/549/62791,
LH/710/22,
LH/1616/35,
LH/1715/47,
LH/1693/60,
LH/1971/32,
LH/1995/56,
LH/2031/20,
LH/2471/14,
LH/2492/54,
LH/2660/94,
LH/2681/21,
LH/2714/2,
LH/901/15,
LH/979/2,
LH/1588/50,
LH/1473/66,
19800035/564/64215,
LH/2325/44,
LH/2002/39,
LH/50/5,
LH/152/21,
19800035/1344/55786,
LH/272/82,
LH/306/4,
19800035/1187/37417,
19800035/125/15811,
19800035/158/20197,
LH/418/19,
LH/1029/77,
LH/504/58,
LH/623/52,
LH/608/62,
LH/655/4,
LH/670/40,
LH/674/55,
LH/1488/43,
19800035/1040/19990,
19800035/461/61638,
LH/788/13,
LH/789/40,
LH/844/55,
LH/864/18,
19800035/264/35184,
LH/2216/36,
LH/1042/59,
LH/1064/28,
LH/29/50,
LH/1243/11,
LH/1289/82,
19800035/992/14782,
LH/1405/20,
19800035/173/22289,
19800035/755/85612,
LH/1486/34,
LH/1610/35,
LH/1514/72,
LH/1527/43,
LH/1529/81,
LH/1606/58,
LH/1658/30,
LH/701/5,
19800035/141/17896,
LH/1681/28,
LH/1690/13,
LH/1712/33,
LH/1774/57,
LH/1731/29,
LH/1810/13,
19800035/1020/17778,
19800035/652/75188,
LH/1909/33,
LH/1906/55,
19800035/759/86075,
LH/1858/24,
19800035/950/10418,
19800035/1228/41650,
LH/2189/25,
LH/2214/69,
LH/2265/68,
LH/2298/23,
LH/2335/36,
LH/2502/17,
19800035/251/33466,
LH/2556/54,
19800035/240/31835,
19800035/435/58251,
LH/381/6,
LH/501/74,
LH/1020/45,
LH/2478/35,
LH/1747/11,
LH/2568/3,
LH/2446/57,
LH/1368/62,
LH/1595/1,
19800035/450/60153,
LH/1404/79,
LH/1257/29,
LH/1005/71,
LH/589/97,
LH/1670/9,
LH/626/39,
19800035/962/11678,
LH/373/64,
LH/273/23,
LH/390/50,
LH/535/61,
LH/589/8,
LH/623/19,
19800035/586/66408,
LH/661/75,
19800035/234/31017,
LH/688/68,
LH/731/19,
LH/765/59,
LH/845/18,
19800035/322/43364,
19800035/1226/41438,
LH/961/25,
LH/2036/39,
LH/983/10,
19800035/1384/59888,
LH/1171/31,
19800035/247/32829,
19800035/556/63429,
19800035/1287/48675,
LH/1461/69,
LH/1622/45,
LH/1601/40,
LH/1534/1,
LH/1540/45,
LH/1596/13,
LH/1702/19,
LH/1489/1,
LH/1774/16,
19800035/390/52346,
LH/1902/37,
LH/2079/53,
LH/2163/55,
LH/2100/28,
19800035/250/33259,
19800035/42/5234,
LH/2432/54,
LH/2432/13,
LH/2511/1,
LH/2511/1,
19800035/1395/61281,
LH/2419/15,
LH/2643/32,
LH/2574/58,
LH/144/45,
LH/1925/50,
LH/425/93,
LH/1210/51,
LH/1119/74,
LH/325/80,
LH/2491/6,
LH/2634/2,
LH/250/78,
LH/2245/23,
LH/613/60,
LH/2351/1,
LH/1917/15,
LH/2166/45,
LH/470/46,
LH/773/50,
LH/1946/63,
19800035/1214/40209,
LH/2300/2,
LH/2685/39,
LH/1774/46,
LH/872/43,
LH/235/30,
19800035/371/49833,
LH/276/10,
LH/393/31,
LH/795/63,
LH/1083/39,
LH/1151/46,
LH/1199/81,
LH/1237/41,
19800035/290/38933,
LH/1469/91,
19800035/28/3532,
19800035/262/34951,
LH/2121/49,
LH/2148/47,
19800035/1405/62359,
LH/2300/30,
LH/2793/165,
LH/2568/10,
19800035/1231/47154,
LH/2758/5,
LH/200/48,
LH/371/17,
LH/371/17,
LH/1102/68,
LH/164/71,
LH/165/65,
LH/2118/14,
19800035/958/11216,
LH/2329/25,
LH/94/14,
LH/466/35,
LH/670/32,
LH/980/28,
19800035/107/13465,
LH/1245/1,
LH/1324/32,
LH/1544/43,
LH/1716/31,
LH/1610/14,
LH/1918/58,
LH/1918/58,
LH/2734/16,
LH/1437/62,
LH/2347/37,
19800035/754/85528,
LH/2010/8,
LH/1886/32,
LH/1886/32,
LH/21/9,
LH/4/43,
LH/736/41,
19800035/1261/45414,
LH/595/49,
19800035/793/89682,
19800035/840/96012,
19800035/774/87692,
19800035/668/76799,
19800035/1469/70101,
19800035/962/11684,
19800035/306/41245,
19800035/199/25972,
19800035/627/72637,
LH/272/81,
LH/148/32,
19800035/1279/47555,
19800035/672/77119,
19800035/616/69650,
19800035/1330/54117,
19800035/935/8923,
19800035/1166/33159,
LH/374/51,
19800035/450/60177,
19800035/1226/41420,
19800035/197/25781,
LH/396/42,
19800035/1476/71152,
19800035/1040/19958,
LH/422/77,
19800035/61/7495,
LH/531/3,
19800035/265/35353,
19800035/277/37107,
LH/666/35,
19800035/363/48847,
19800035/638/73710,
19800035/619/70300,
LH/845/63,
19800035/426/56920,
LH/1009/33,
LH/1060/20,
LH/1152/55,
19800035/1334/54630,
19800035/1264/45767,
LH/2754/45,
LH/1259/46,
LH/1271/40,
19800035/689/78863,
LH/119/25,
19800035/1225/41273,
19800035/875/2731,
LH/2005/4,
19800035/351/47166,
19800035/1335/54774,
LH/1381/40,
LH/1390/70,
LH/1400/56,
LH/1427/71,
19800035/412/55167,
19800035/799/90457,
LH/1496/79,
LH/1506/75,
LH/1536/27,
LH/1517/39,
19800035/792/89473,
19800035/419/55988,
19800035/1183/36989,
19800035/1246/43843,
LH/363/46,
19800035/445/59581,
19800035/976/13100,
19800035/1297/49936,
19800035/1017/17493,
19800035/651/75087,
19800035/1201/38798,
19800035/178/23023,
19800035/954/10854,
LH/1895/21,
19800035/864/1521,
19800035/1186/37609,
19800035/1315/52183,
19800035/421/56325,
LH/1785/64,
LH/2085/57,
LH/4/44,
LH/2207/56,
19800035/825/93985,
19800035/562/64024,
19800035/1082/24420,
19800035/305/41098,
LH/2342/35,
LH/2455/5,
LH/2535/19,
LH/2539/25,
19800035/849/97166,
LH/2682/51,
19800035/928/8205,
LH/35/80,
19800035/1275/47001,
19800035/747/84747,
LH/269/89,
19800035/1271/46401,
LH/1434/3,
LH/2204/71,
19800035/1188/37523,
19800035/60/7364,
LH/47/22,
19800035/661/76007,
19800035/619/70170,
LH/256/94,
LH/675/75,
19800035/745/84570,
LH/1292/38,
LH/2626/27,
LH/1921/44,
LH/131/30,
LH/1279/24,
LH/1918/68,
LH/1058/10,
LH/131/27,
LH/1477/61,
LH/1327/83,
LH/637/47,
LH/1940/4,
LH/135/33,
LH/983/36,
LH/2045/17,
LH/1420/56,
LH/1726/43,
19800035/1405/62360,
LH/2120/48,
19800035/1275/46929,
LH/916/21,
LH/2301/2,
LH/1066/44,
LH/455/30,
LH/351/1,
LH/1744/2,
LH/700/41,
LH/2675/98,
LH/1021/52,
LH/537/17,
LH/2264/49,
LH/438/48,
LH/1193/85,
LH/41/95,
LH/1822/9,
LH/1281/3,
LH/1185/26,
LH/467/17,
LH/591/94,
LH/551/34,
LH/724/37,
LH/316/35,
LH/2133/47,
LH/1102/29,
LH/93/56,
LH/1730/56,
LH/1506/95,
LH/202/23,
LH/1458/56,
19800035/240/31949,
LH/692/71,
LH/2402/19,
LH/1263/51,
LH/170/15,
LH/597/58,
LH/70/59,
LH/98/44,
LH/101/88,
LH/137/75,
LH/139/74,
19800035/132/16730,
LH/256/6,
LH/260/5,
LH/269/2,
LH/341/1,
LH/355/96,
LH/400/3,
LH/470/39,
LH/482/6,
LH/513/60,
LH/492/31,
LH/508/53,
LH/558/48,
LH/2587/81,
LH/2224/20,
LH/691/17,
LH/720/19,
LH/720/18,
LH/753/34,
LH/777/10,
LH/804/54,
LH/834/61,
LH/844/69,
LH/106/18,
LH/2024/32,
19800035/729/82812,
LH/349/57,
LH/357/21,
LH/2096/31,
LH/1050/33,
LH/1056/19,
LH/464/21,
19800035/1263/45573,
LH/2786/17,
LH/1185/15,
LH/1213/18,
LH/1294/25,
LH/1352/14,
LH/1381/42,
LH/874/47,
LH/216/37,
LH/1577/28,
LH/33/74,
LH/1994/4,
19800035/1099/26074,
LH/1489/109,
LH/1547/98,
LH/1547/98,
LH/644/84,
LH/2199/91,
LH/1179/18,
LH/1527/77,
19800035/204/26760,
LH/1739/28,
19800035/541/61908,
LH/1803/13,
LH/1999/2,
LH/2029/15,
LH/2035/36,
LH/1224/51,
LH/483/23,
LH/2184/52,
19800035/1085/24708,
LH/2202/26,
19800035/705/80401,
LH/93/9,
LH/2376/3,
LH/2394/37,
LH/2293/12,
19800035/209/27447,
LH/2490/14,
LH/2515/13,
LH/875/60,
LH/875/52,
LH/2529/31,
LH/2793/163,
LH/2582/83,
LH/1185/31,
LH/1890/33,
LH/2447/17,
LH/1292/70,
LH/1994/5,
LH/1994/5,
LH/1129/14,
LH/1171/33,
19800035/258/34345,
LH/2698/3,
LH/1768/54,
LH/2450/12,
LH/1404/12,
LH/452/6,
LH/632/76,
LH/2068/8,
LH/1167/12,
LH/2670/3,
LH/1463/24,
LH/1310/24,
LH/1693/74,
LH/1465/59,
LH/443/46,
LH/129/59,
LH/221/57,
LH/258/27,
LH/255/15,
LH/484/64,
LH/1571/75,
19800035/265/35373,
LH/492/75,
LH/581/85,
19800035/1312/51754,
19800035/1202/38876,
LH/872/37,
LH/687/20,
LH/676/12,
19800035/460/61536,
LH/870/62,
LH/1677/7,
LH/1092/52,
LH/1102/16,
LH/1330/6,
LH/1344/52,
LH/1348/56,
LH/776/76,
LH/1447/33,
LH/1466/72,
LH/1541/64,
LH/1571/32,
LH/1625/48,
LH/1878/64,
LH/1877/54,
19800035/270/36095,
19800035/235/31190,
LH/1878/15,
LH/1895/67,
19800035/1439/66656,
LH/2203/65,
LH/2356/37,
LH/2401/61,
LH/2281/43,
LH/637/46,
LH/1681/57,
LH/1821/29,
LH/2192/13,
LH/147/62,
19800035/49/6033,
LH/1982/36,
LH/749/35,
LH/657/30,
19800035/214/28132,
LH/1455/35,
LH/1573/4,
LH/2144/11,
LH/775/1,
LH/227/69,
LH/227/69,
LH/469/54,
LH/759/60,
LH/759/60,
LH/1418/12,
LH/500/57,
19800035/458/61278,
LH/1408/47,
LH/777/58,
LH/999/3,
LH/994/31,
LH/1150/37,
LH/1152/75,
LH/1216/68,
LH/1264/15,
LH/1283/21,
19800035/387/51916,
LH/2192/32,
19800035/1319/52693,
LH/1544/12,
19800035/205/26841,
19800035/193/25133,
19800035/1104/26473,
19800035/251/33487,
19800035/1364/57833,
LH/2402/8,
LH/464/22,
LH/1661/10,
19800035/17/2190,
LH/2736/3,
LH/2250/20,
LH/2727/22,
LH/2724/42,
LH/2294/45,
LH/550/64,
LH/580/59,
LH/363/74,
LH/363/75,
LH/2301/28,
LH/1360/45,
LH/2720/94,
LH/1034/34,
LH/1013/6,
LH/2565/2,
LH/2792/79,
LH/531/48,
LH/2572/1,
LH/2221/54,
LH/677/36,
LH/1509/25,
LH/194/35,
LH/1292/60,
LH/259/44,
19800035/1442/66955,
LH/1685/73,
LH/2773/22,
LH/2661/17,
19800035/74/9159,
LH/658/25,
19800035/850/36,
LH/32/45,
LH/54/49,
19800035/54/6569,
19800035/370/49710,
LH/89/18,
LH/100/63,
LH/180/26,
LH/180/24,
LH/168/59,
LH/194/36,
LH/240/64,
LH/233/76,
LH/257/5,
LH/293/3,
19800035/1478/71608,
LH/312/3,
LH/353/39,
19800035/149/18983,
LH/310/26,
LH/397/70,
LH/411/65,
19800035/276/36929,
LH/427/85,
LH/1270/65,
LH/1124/62,
LH/667/54,
LH/729/101,
19800035/843/96418,
LH/789/45,
LH/791/38,
LH/856/8,
LH/876/16,
LH/2126/47,
LH/997/86,
LH/1099/43,
19800035/1258/45122,
LH/2782/80,
LH/1125/66,
LH/1174/44,
19800035/106/13324,
LH/1110/11,
19800035/1404/62218,
LH/1301/34,
LH/251/13,
LH/1335/67,
LH/1528/3,
LH/1349/14,
LH/236/44,
LH/1441/26,
19800035/188/24440,
LH/1572/11,
