pays,ville,coordonnesgroup
Inde,Krishnanagar,Point(88.5 23.4)
Inde,Mira-Bhayandar,Point(72.85 19.3)
Inde,Aligarh,Point(78.08 27.88)
Inde,Jawnpur,Point(82.683333333 25.733333333)
Inde,Beed,Point(75.766666666 18.983333333)
Inde,Halisahar,Point(88.42 22.95)
Inde,Belgaum,Point(74.5 15.866666666)
Inde,Nandurbar,Point(74.240555555 21.366666666) | Point(74.25 21.366666666)
Inde,Barrackpore,Point(88.36666667 22.75)
Inde,Bhopal,Point(77.416666666 23.25)
Inde,Budge Budge,Point(88.1817594 22.4827548)
Inde,Nanded,Point(77.333333333 19.15)
Inde,Kozhikode,Point(75.766666666 11.25)
Inde,Delhi,Point(77.216666666 28.666666666)
Inde,Dalkhola,Point(87.85 25.85)
Inde,Yamunanagar,Point(77.280277777 30.128888888)
Inde,Dibrugarh,Point(95.0 27.483333333)
Inde,Mandya,Point(76.895833333 12.524166666)
Inde,Nabadwip,Point(88.365736111 23.408822222)
Inde,Palakkad,Point(76.654722222 10.779166666)
Inde,Korba (Inde),Point(83.133333333 22.583333333)
Inde,Diamond Harbour,Point(88.1904741 22.1910091)
Inde,Navi Mumbai,Point(73.01 19.03)
Inde,Pali,Point(73.323333333 25.7725)
Inde,Pujali,Point(88.145241 22.4678722)
Inde,Rajkot,Point(70.798363888 22.296908333)
Inde,Kagal,Point(74.32 16.58)
Inde,Maghar,Point(83.13 26.76)
Inde,Tirupati,Point(79.42 13.65)
Inde,Quepem,Point(74.07 15.22)
Inde,Yavatmal,Point(78.133333333 20.4)
Inde,Bankura,Point(87.066666666 23.25)
Inde,Midnapore,Point(87.333333333 22.433333333)
Inde,Mahbubnagar,Point(77.983333333 16.733333333)
Inde,Madurai,Point(78.119394444 9.919661111)
Inde,Bathinda,Point(74.951944444 30.213333333)
Inde,Jalpaiguri,Point(88.733333333 26.516666666)
Inde,Gayespur,Point(88.48 22.98)
Inde,Solan,Point(77.12 30.92)
Inde,Hubli-Dharwad,Point(75.01638889 15.42444444)
Inde,Siwan,Point(84.36 26.22)
Inde,Maheshtala,Point(88.2532182 22.508621)
Inde,Mehsana,Point(72.4 23.6)
Inde,Golaghat,Point(93.969543 26.508961)
Inde,Purnia,Point(87.47 25.78)
Inde,Dhule,Point(74.783333333 20.9)
Inde,Jamuria,Point(87.08 23.7)
Inde,Washim,Point(77.15 20.1)
Inde,Umaria,Point(80.8364652 23.5245108)
Inde,Rishra,Point(88.35 22.71)
Inde,Aizawl,Point(92.716666666 23.733333333)
Inde,Jahanpanah,Point(77.246 28.521)
Inde,Ulubaria,Point(88.11 22.47)
Inde,Balurghat,Point(88.766666666 25.216666666)
