departement,ville,coordonnesgroup
Hérault,Villeneuve-lès-Maguelonne,Point(3.860833333 43.532222222)
arrondissement de Mamers,Sainte-Sabine-sur-Longève,Point(0.095277777 48.141111111)
arrondissement de Mamers,Surfonds,Point(0.461388888 47.974444444)
arrondissement de Reims,Trigny,Point(3.895555555 49.3025)
canton de Baud,Saint-Barthélemy,Point(-3.045277777 47.925833333)
arrondissement de Saint-Nazaire,Piriac-sur-Mer,Point(-2.546111111 47.38)
canton de la Clayette,Vareilles,Point(4.260555555 46.298333333)
arrondissement de Châteaubriant-Ancenis,Ruffigné,Point(-1.493611111 47.756944444)
canton de Saint-Symphorien-de-Lay,Régny,Point(4.214722222 45.990833333)
canton de Saint-Symphorien-de-Lay,Saint-Victor-sur-Rhins,Point(4.281666666 46.004166666)
canton de Juillac,Saint-Bonnet-la-Rivière,Point(1.369166666 45.3)
Dinan Agglomération,Saint-Jacut-de-la-Mer,Point(-2.190277777 48.597222222)
arrondissement de Nantes,Saint-Herblain,Point(-1.651111111 47.211388888)
Pas-de-Calais,Ramecourt,Point(2.312777777 50.370277777)
"communauté de communes Région Lézignanaise, Corbières et Minervois",Thézan,Point(2.771111111 43.103611111)
Charente,Pérignac,Point(0.077222222 45.464444444)
Nièvre,Saint-Parize-le-Châtel,Point(3.181666666 46.854166666)
canton de Luz-Saint-Sauveur,Sassis,Point(-0.016944444 42.877777777)
arrondissement de Lannion,Ploubezre,Point(-3.448888888 48.704444444)
arrondissement de Saint-Brieuc,Pludual,Point(-2.984166666 48.664444444)
arrondissement de Saint-Brieuc,Saint-Caradec,Point(-2.849166666 48.190833333)
arrondissement de Saint-Brieuc,Trémorel,Point(-2.288888888 48.199166666)
arrondissement de Saint-Brieuc,Tressignaux,Point(-2.983611111 48.615833333)
arrondissement de Metz-Campagne,Rezonville,Point(5.990277777 49.0975)
arrondissement de Metz-Campagne,Semécourt,Point(6.134722222 49.193055555)
arrondissement de Metz-Campagne,Sillegny,Point(6.160555555 48.9875)
arrondissement de Nice,Sigale,Point(6.964444444 43.872222222)
arrondissement de Tulle,Saint-Bonnet-Elvert,Point(1.903611111 45.161944444)
arrondissement de Mont-de-Marsan,Uchacq-et-Parentis,Point(-0.560277777 43.928055555)
Loir-et-Cher,Vineuil,Point(1.3725 47.580555555)
Côte-d'Or,Poiseul-la-Grange,Point(4.804444444 47.576388888)
canton de La Chèze,Saint-Barnabé,Point(-2.702777777 48.1375)
canton de Fauville-en-Caux,Ricarville,Point(0.607222222 49.636944444)
Côte-d'Or,Vaux-Saules,Point(4.804166666 47.466388888)
arrondissement de Narbonne,Portel,Point(2.921944444 43.054444444)
arrondissement de Mamers,Saosnes,Point(0.279166666 48.325833333)
arrondissement de Montbéliard,Seloncourt,Point(6.858333333 47.460555555)
arrondissement de Montbéliard,Vandoncourt,Point(6.901388888 47.466944444)
arrondissement de Nogent-sur-Seine,Pont-sur-Seine,Point(3.594722222 48.518888888)
canton de Neuilly-Saint-Front,Rozet-Saint-Albin,Point(3.298055555 49.193888888)
canton de Wassigny,Vaux-Andigny,Point(3.513333333 50.023055555)
arrondissement d'Albertville,Séez,Point(6.800833333 45.622777777)
arrondissement de Nogent-sur-Seine,Prunay-Belleville,Point(3.770277777 48.368055555)
arrondissement de Montbéliard,Péseux,Point(6.679722222 47.316388888)
arrondissement de Montbéliard,Plaimbois-du-Miroir,Point(6.645277777 47.191388888)
Pas-de-Calais,Sains-lès-Marquion,Point(3.072777777 50.194166666)
arrondissement de Montbéliard,Pompierre-sur-Doubs,Point(6.524166666 47.418611111)
arrondissement de Montbéliard,Saint-Julien-lès-Montbéliard,Point(6.710555555 47.522222222)
arrondissement de Montbéliard,Soulce-Cernay,Point(6.858611111 47.325277777)
canton de Pontailler-sur-Saône,Saint-Léger-Triey,Point(5.364722222 47.315)
Lozère,Saint-Chély-du-Tarn,Point(3.396111111 44.308888888)
canton d'Heuchin,Tilly-Capelle,Point(2.198611111 50.443611111)
arrondissement de Castelsarrasin,Saint-Michel,Point(0.945 44.032777777)
arrondissement de Besançon,Vaux,Point(5.883333333 47.236111111)
arrondissement de Haguenau-Wissembourg,Rott,Point(7.908055555 49.023333333)
arrondissement de Metz-Campagne,Vaux,Point(6.080277777 49.093333333)
arrondissement de Saint-Pierre,Saint-Louis,Point(55.409166666 -21.286666666)
arrondissement de Sarlat-la-Canéda,Saint-Julien-de-Lampon,Point(1.363055555 44.861111111)
Loir-et-Cher,Savigny,Point(0.809166666 47.879444444)
arrondissement de Vervins,Saint-Michel,Point(4.132777777 49.918055555)
arrondissement de Wissembourg,Rott,Point(7.908055555 49.023333333)
arrondissement du Blanc,Saint-Michel,Point(1.158055555 46.806111111)
canton de Nolay,Puligny-Montrachet,Point(4.754166666 46.945833333)
arrondissement de Forbach,Valmont,Point(6.699166666 49.085)
canton de Rocheservière,Saint-André-Treize-Voies,Point(-1.412222222 46.934444444)
