pays,capitale,coordonnees
Brésil,Macapá,Point(-51.065311111 0.032958333)
Brésil,Porto Velho,Point(-63.903888888 -8.761944444)
Brésil,Cuiabá,Point(-56.096944444 -15.595833333)
Afrique du Sud,Pretoria,Point(28.188055555 -25.746388888)
Pays-Bas,Lelystad,Point(5.483333333 52.516666666)
Curaçao,Willemstad,Point(-68.933333333 12.116666666)
Finlande,Helsinki,Point(24.93417 60.17556)
Irak,Bagdad,Point(44.416666666 33.35)
Saint-Marin,Saint-Marin,Point(12.44845 43.932011111)
Brésil,Palmas,Point(-48.360277777 -10.212777777)
Brésil,Boa Vista,Point(-60.671944444 2.82)
Burundi,Gitega,Point(29.930555555 -3.426388888)
Islande,Reykjavik,Point(-21.935 64.1475)
Inde,Agartala,Point(91.266666666 23.833333333)
Taïwan,Taipei,Point(121.531944444 25.047777777)
Somaliland,Hargeisa,Point(44.060556 9.565556)
Venezuela,Caracas,Point(-66.933333333 10.5)
Turquie,Hattusa,Point(34.615277777 40.019722222)
Royaume du Danemark,Copenhague,Point(12.568888888 55.676111111)
Inde,Ranchi,Point(85.334722222 23.355555555)
Irak,Kirkouk,Point(44.4 35.466666666)
Japon,Tokyo,Point(139.692222222 35.689722222)
Espagne,Malaga,Point(-4.416666666 36.716666666)
Azerbaïdjan,Bakou,Point(49.835183333 40.366655555)
Afghanistan,Kaboul,Point(69.165833333 34.532777777)
Empire parthe,Ctésiphon,Point(44.580833 33.093611)
Irak,Ctésiphon,Point(44.580833 33.093611)
Danemark,Copenhague,Point(12.568888888 55.676111111)
Kirghizistan,Bichkek,Point(74.566666666 42.866666666)
Madagascar,Antananarivo,Point(47.521388888 -18.938611111)
Nouvelle-Zélande,Wellington,Point(174.777222222 -41.288888888)
Zimbabwe,Harare,Point(31.052222222 -17.829166666)
Cuba,La Havane,Point(-82.358888888 23.136666666)
Ukraine,Kiev,Point(30.523611111 50.45)
Îles Cook,Avarua,Point(-159.771 -21.207)
Elam,Suse,Point(48.25 32.2)
Royaume-Uni,Cardiff,Point(-3.18 51.48)
Brunei,Bandar Seri Begawan,Point(114.916666666 4.916666666)
Bosnie-Herzégovine,Sarajevo,Point(18.416666666 43.866666666)
Italie,Florence,Point(11.254166666 43.771388888)
Thaïlande,Bangkok,Point(100.516666666 13.75)
Brésil,Rio de Janeiro,Point(-43.196388888 -22.908333333)
Cambodge,Siem Reap,Point(103.859722222 13.362222222)
Monténégro,Podgorica,Point(19.266111111 42.439722222)
Guyana,Georgetown,Point(-58.166666666 6.783333333)
Empire achéménide,Suse,Point(48.25 32.2)
Italie,Bolzano,Point(11.35 46.5)
