pays,ville,coordonnesgroup
Maroc,Alnif,Point(-5.173731 31.11689)
Maroc,Touama,Point(-7.487222222 31.533888888)
Maroc,Ouislane,Point(-8.38333333 30.21666667)
Maroc,Rouached,Point(-6.353888888 32.863055555)
Maroc,Sfafaa,Point(-6.16 34.25)
Maroc,Taliouine,Point(-7.925555555 30.532777777)
Maroc,Talmest,Point(-8.5175 31.50833333)
Maroc,Teroual,Point(-5.27331 34.67452) | Point(-5.26667 34.6667)
Maroc,Tinzouline,Point(-6.193055555 30.376111111)
Maroc,Tissaf,Point(-3.58333 33.4)
Maroc,Zinat,Point(-5.4 35.433333333)
Maroc,Zirara,Point(-8.53333 32.35)
Maroc,Aknoul,Point(-3.86666667 34.65)
Maroc,Bouarouss,Point(-4.81666667 34.36666667) | Point(-4.81 34.36)
Maroc,Bzou,Point(-7.05 32.08333333) | Point(-7.04786 32.09171) | Point(-7.05 32.1)
Maroc,Gueznaia,Point(-5.894 35.72)
Maroc,Had Kourt,Point(-5.73333333 34.61666667)
Maroc,Lalla Mimouna,Point(-6.06694444 34.85)
Maroc,Louta,Point(-3.89924 35.10709)
Maroc,Martil,Point(-5.27 35.61)
Maroc,Missour,Point(-3.99083333 33.05)
Maroc,Souaken,Point(-5.95 35.11666667)
Maroc,Tadighoust,Point(-4.967302 31.801719)
Maroc,Taghzirt,Point(-6.18333 32.4333)
Maroc,Targuist,Point(-4.320781 34.940161)
Maroc,Tazarine,Point(-8.01 30.61) | Point(-5.566308 30.780166) | Point(-5.54583 30.77222) | Point(-5.5663 30.7802)
Maroc,Zemamra,Point(-8.70225 32.6215)
Maroc,Ouzoud,Point(-6.7144177 32.0139913)
Maroc,Zaïo,Point(-2.7334 34.9396)
Maroc,Bni Ansar,Point(-2.934166666 35.256944444)
Maroc,Mehdia,Point(-6.674538 34.255722)
Maroc,Saïdia,Point(-2.239166666 35.085)
Maroc,Souk Tlet El Gharb,Point(-6.13361111 34.62111111)
Maroc,M'Hamid El Ghizlane,Point(-5.72083333 29.82222222)
Maroc,Foum Jamaa,Point(-6.98 31.96)
Maroc,Fraïta,Point(-7.26 31.932)
Maroc,Tagounite,Point(-5.56666667 29.98333333)
Maroc,Lamjaara,Point(-5.288611111 34.614722222)
Maroc,Tinmel,Point(-8.228472222 30.984638888)
Maroc,El Jadida,Point(-8.5228 33.2342)
Maroc,Tata,Point(-7.9725 29.742777777)
Maroc,Meknès,Point(-5.55 33.883333333)
Maroc,Aït Melloul,Point(-9.497222222 30.334166666)
Maroc,Ksar Sghir,Point(-5.55861111 35.84194444)
Maroc,Zeghanghane,Point(-3.00166667 35.1575)
Maroc,El Argoub,Point(-15.858333 23.611111)
Maroc,Oulad Nemma,Point(-6.7 32.3)
Maroc,Agdz,Point(-6.47287 30.69838) | Point(-6.44972222 30.69777778)
Maroc,Moqrisset,Point(-5.35361 34.91)
Maroc,Bouguedra,Point(-8.98333333 32.26666667) | Point(-8.9615 32.23368)
