leonoreid,bnfids,uribnf
19800035/789/89205,125711128,https://data.bnf.fr/ark:/12148/cb125711128
LH/1269/8,11954782z,https://data.bnf.fr/ark:/12148/cb11954782z
C/0/11,11920109n,https://data.bnf.fr/ark:/12148/cb11920109n
LH/682/2,13484480g,https://data.bnf.fr/ark:/12148/cb13484480g
19800035/463/61886,119019388,https://data.bnf.fr/ark:/12148/cb119019388
LH/1616/85,12068024m,https://data.bnf.fr/ark:/12148/cb12068024m
LH/2779/6,12738387x,https://data.bnf.fr/ark:/12148/cb12738387x
LH/1331/52,119081184,https://data.bnf.fr/ark:/12148/cb119081184
LH/648/10,10708134w,https://data.bnf.fr/ark:/12148/cb10708134w
LH/2752/53,139011448,https://data.bnf.fr/ark:/12148/cb139011448
LH/128/45,125053350,https://data.bnf.fr/ark:/12148/cb125053350
LH/2/6,122027126,https://data.bnf.fr/ark:/12148/cb122027126
LH/2576/72,12459950c,https://data.bnf.fr/ark:/12148/cb12459950c
LH/2471/47,10689330s |13481130c,https://data.bnf.fr/ark:/12148/cb10689330s | https://data.bnf.fr/ark:/12148/cb13481130c
LH/1755/11,123260611 |14976290h,https://data.bnf.fr/ark:/12148/cb123260611 | https://data.bnf.fr/ark:/12148/cb14976290h
LH/665/84,11937543t,https://data.bnf.fr/ark:/12148/cb11937543t
LH/563/70,14755841z,https://data.bnf.fr/ark:/12148/cb14755841z
LH/1151/47,11905101p,https://data.bnf.fr/ark:/12148/cb11905101p
19800035/1463/69262,12088410f |154596879,https://data.bnf.fr/ark:/12148/cb12088410f | https://data.bnf.fr/ark:/12148/cb154596879
LH/600/20,149719682,https://data.bnf.fr/ark:/12148/cb149719682
19800035/253/33686,119147379,https://data.bnf.fr/ark:/12148/cb119147379
LH/2359/31,12992905j,https://data.bnf.fr/ark:/12148/cb12992905j
LH/573/71,144293135,https://data.bnf.fr/ark:/12148/cb144293135
LH/713/45,10708160f,https://data.bnf.fr/ark:/12148/cb10708160f
LH/2212/46,13516818c,https://data.bnf.fr/ark:/12148/cb13516818c
19800035/7/801,118938741,https://data.bnf.fr/ark:/12148/cb118938741
LH/2744/10,122088974,https://data.bnf.fr/ark:/12148/cb122088974
LH/2766/3,16676465m,https://data.bnf.fr/ark:/12148/cb16676465m
LH/2098/68,13015188h,https://data.bnf.fr/ark:/12148/cb13015188h
19800035/293/39409,123519221,https://data.bnf.fr/ark:/12148/cb123519221
LH/1290/70,10617467g,https://data.bnf.fr/ark:/12148/cb10617467g
LH/1856/45,11915891m,https://data.bnf.fr/ark:/12148/cb11915891m
LH/2490/58,10635413g,https://data.bnf.fr/ark:/12148/cb10635413g
LH/929/28,17781419r,https://data.bnf.fr/ark:/12148/cb17781419r
19800035/752/85259,12114775m,https://data.bnf.fr/ark:/12148/cb12114775m
C/0/14,12153584m,https://data.bnf.fr/ark:/12148/cb12153584m
LH/369/64,11894093b,https://data.bnf.fr/ark:/12148/cb11894093b
19800035/161/20663,13892401r,https://data.bnf.fr/ark:/12148/cb13892401r
LH/2793/132,11925725r,https://data.bnf.fr/ark:/12148/cb11925725r
LH/315/87,12442993r,https://data.bnf.fr/ark:/12148/cb12442993r
19800035/764/86868,119921234,https://data.bnf.fr/ark:/12148/cb119921234
LH/1630/26,12362946g,https://data.bnf.fr/ark:/12148/cb12362946g
LH/1075/63,11904162n,https://data.bnf.fr/ark:/12148/cb11904162n
19800035/51/6235,121386135,https://data.bnf.fr/ark:/12148/cb121386135
LH/1605/51,122015530,https://data.bnf.fr/ark:/12148/cb122015530
LH/354/70,11893846s,https://data.bnf.fr/ark:/12148/cb11893846s
LH/74/48,12516826v,https://data.bnf.fr/ark:/12148/cb12516826v
19800035/809/91969,14415385v,https://data.bnf.fr/ark:/12148/cb14415385v
LH/1183/93,11905626d,https://data.bnf.fr/ark:/12148/cb11905626d
LH/1388/89,122768675,https://data.bnf.fr/ark:/12148/cb122768675
LH/1271/83,11907016x,https://data.bnf.fr/ark:/12148/cb11907016x
LH/3/7,149649646,https://data.bnf.fr/ark:/12148/cb149649646
LH/658/48,12202776f,https://data.bnf.fr/ark:/12148/cb12202776f
LH/821/63,121710547,https://data.bnf.fr/ark:/12148/cb121710547
LH/782/44,152972260,https://data.bnf.fr/ark:/12148/cb152972260
LH/2626/25,122118442,https://data.bnf.fr/ark:/12148/cb122118442
LH/863/87,15354812k,https://data.bnf.fr/ark:/12148/cb15354812k
19800035/456/61061,12315358h,https://data.bnf.fr/ark:/12148/cb12315358h
LH/290/18,11999513m,https://data.bnf.fr/ark:/12148/cb11999513m
19800035/930/8376,127478320,https://data.bnf.fr/ark:/12148/cb127478320
LH/11/88,11888214h,https://data.bnf.fr/ark:/12148/cb11888214h
LH/465/30,12462531h,https://data.bnf.fr/ark:/12148/cb12462531h
19800035/128/16186,10235561x,https://data.bnf.fr/ark:/12148/cb10235561x
LH/29/51,13521798k,https://data.bnf.fr/ark:/12148/cb13521798k
19800035/1221/40923,119018458,https://data.bnf.fr/ark:/12148/cb119018458
LH/859/67,10350172v,https://data.bnf.fr/ark:/12148/cb10350172v
LH/877/45,12133961n,https://data.bnf.fr/ark:/12148/cb12133961n
LH/1325/3,13744688g,https://data.bnf.fr/ark:/12148/cb13744688g
19800035/230/30415,122088525,https://data.bnf.fr/ark:/12148/cb122088525
LH/1405/42,135336144,https://data.bnf.fr/ark:/12148/cb135336144
LH/1005/33,12137811s,https://data.bnf.fr/ark:/12148/cb12137811s
LH/632/87,13212090d,https://data.bnf.fr/ark:/12148/cb13212090d
LH/852/55,12170927k,https://data.bnf.fr/ark:/12148/cb12170927k
19800035/387/51863,12276366f,https://data.bnf.fr/ark:/12148/cb12276366f
LH/673/33,10466787c,https://data.bnf.fr/ark:/12148/cb10466787c
LH/1569/31,144122479,https://data.bnf.fr/ark:/12148/cb144122479
19800035/1247/43910,13605498g,https://data.bnf.fr/ark:/12148/cb13605498g
LH/8/27,105191100,https://data.bnf.fr/ark:/12148/cb105191100
19800035/65/8014,13325686x,https://data.bnf.fr/ark:/12148/cb13325686x
19800035/241/32027,13479231q,https://data.bnf.fr/ark:/12148/cb13479231q
LH/414/71,119006982,https://data.bnf.fr/ark:/12148/cb119006982
19800035/746/84696,14543662b,https://data.bnf.fr/ark:/12148/cb14543662b
LH/2387/35,165125018,https://data.bnf.fr/ark:/12148/cb165125018
LH/638/43,122915666,https://data.bnf.fr/ark:/12148/cb122915666
19800035/87/10869,12976766r,https://data.bnf.fr/ark:/12148/cb12976766r
LH/683/32,119360378,https://data.bnf.fr/ark:/12148/cb119360378
LH/834/23,11974260p,https://data.bnf.fr/ark:/12148/cb11974260p
LH/1992/12,15241386n,https://data.bnf.fr/ark:/12148/cb15241386n
LH/135/54,12140562c,https://data.bnf.fr/ark:/12148/cb12140562c
