leonoreid,noms
LH/2769/62,Louis Zoepffel
LH/1701/22,Louis Jacques Luc Majou
LH/2355/37,Charles François Robinet
LH/273/12,François Boissy d'Anglas
LH/835/33,François Dufraigne
LH/420/72,François Henri Robert Jules Capdepont
LH/556/38,François Joseph Clozel
LH/875/56,François Louis Alfred Durrieu
LH/322/21,François Louis Joseph de Bourbon Busset
LH/946/11,François Nicolas Guy Napoléon Faverot de Kerbrech
LH/2709/32,François de Villeméjane
LH/2789/171,Raoul Gervais Lufbery
LH/2695/4,Léonce Verny
LH/49/21,Félix d'Arjuzon
LH/2705/4,Gabriel Viardot
LH/601/54,Gaston-Ernest Cottenest
LH/861/34,Gaston Dupuis
LH/586/38,Georges-Ernest Coquart
LH/833/57,Georges Joseph Dufour
LH/751/53,Gilbert Desmaroux de Gaulmin
LH/559/114,Grégoire Coffinières de Nordeck
LH/37/69,Guillaume Angebault
LH/274/27,Guillaume Boivin de La Martinière
LH/587/76,Guillaume Corbet
LH/670/22,Guillaume Dauture
LH/2671/34,Guillaume van Cutsem
LH/731/67,Gustave Denis
LH/492/70,Guy de Charnacé
LH/683/38,Henri-Alphonse Deckherr
LH/382/14,Henri Brunel
LH/411/38,Henri Eugène Calvel
LH/2676/28,Henri Varroy
LH/436/80,Henri de Carrion-Nizas
LH/995/53,Henri de Fontenay
LH/519/7,Henry Chéron
LH/459/63,Henry Céard
LH/552/50,Hervé Clérel de Tocqueville
19800035/47/5787,Isaïe Schwartz
LH/1077/23,Isidore Garnier
LH/1517/31,Jacques-François Le Boys des Guays
LH/108/7,Jacques-Juste Barbet de Jouy
19800035/1312/51755,Jacques Charon
19800035/815/92793,Jacques Dyssord
LH/1220/22,Jacques Julien Guérin
LH/1221/89,Jacques Julien Guérin
LH/1405/14,Jacques Koechlin
19800035/575/65319,Jacques Louis Robert Villeneuve
LH/1157/21,Jacques Nicolas Gobert
19800035/849/97292,Jacques Richepin
19800035/1348/56209,Jacques Simon
19800035/268/35801,Edouard Delpeuch
LH/1331/56,Jean-Baptiste Huzard
LH/1351/7,Jean-Baptiste Jamin
LH/1523/54,Jean-Baptiste Lebrun de Rochemont
19800035/396/53053,Jean-Georges Villepontoux
19800035/1153/31812,Jean-Jacques Bernard
19800035/444/59389,Jean-Jacques Haffner
LH/1288/22,Jean-Louis Henry de Longuêve
19800035/927/8107,Jean-Marcel Rodié
19800035/1007/16397,Jean-Michel Flandin
19800035/142/18062,Jean-Nicolas Bouchez
19800035/1315/52174,Jean-Pierre Paquet
19800035/143/18200,Jean-Robert Derendinger
19800035/147/18668,Jean-Toussaint Fieschi
LH/1095/68,Jean-Élie Gautier
19800035/51/6251,Jean Adam
19800035/3/390,Jean Berque
19800035/925/7841,Jean Billard
19800035/243/32372,Jean Carlus
19800035/61/7456,Jean Carrère
19800035/458/61224,Jean Coquelin
19800035/1112/27377,Jean Follain
19800035/224/29551,Jean Granaud
LH/1280/20,Jean Hély d'Oissel
19800035/985/14044,Jean Larrieu
LH/1133/56,Jean Marie Marcelin Gilibert Laforgue
19800035/1340/55317,Jean Mariotti
19800035/204/26709,Jean Mouliérat
19800035/235/31167,Joseph Masclanis
19800035/1410/62988,Jules Auber
LH/1125/62,Jules Gervais
LH/235/54,J.-Wladimir Bienstock
LH/2224/57,Jacques-Ferdinand Prévost
LH/227/53,Jacques-Félix Beudin
LH/1618/33,Jacques-Philippe Le Sueur
LH/2104/28,Jacques Philippe Pérouse
LH/1919/41,Jacques de Monfort
LH/358/73,Jean-Baptiste-Marie-François Bresson
LH/1916/9,Jean-Baptiste Alexandre Montaudon
LH/475/38,Jean-Baptiste Antoine Champeil
LH/332/48,Jean-Baptiste Bourlier
LH/787/44,Jean-Baptiste Dommanget
LH/299/15,Jean-Baptiste Joseph Noël Borrel
LH/1971/16,Jean-Baptiste Joseph de Muyssart
LH/1618/34,Jean-Baptiste Lesueur
LH/2778/40,Jean-Baptiste Lynch
LH/1878/21,Jean-Baptiste Millet
LH/2575/38,Jean-Baptiste Tenant de Latour
LH/656/62,Jean-Charles-Gabriel Danse
LH/2721/12,Jean-Charles Villers
LH/455/25,Jean-Cyrille Cavé
LH/505/51,Jean-César-Marie-Alexandre Chaudruc de Crazannes
LH/1918/46,Jean-François Montés
LH/333/53,François-Adolphe de Bourqueney
LH/461/25,François-Alexis Cendrier
LH/179/51,François-Joseph Benoist
LH/2705/41,François-Marie Vibert
LH/2035/24,François-Pierre-Marie-Anne Paigis
LH/2485/53,François-Xavier Schoepfer
LH/13/26,François Adolphe Akermann
LH/2102/51,François Alexandre Pernot
LH/41/85,François Anthoine
LH/58/41,François Artaud
LH/61/50,François Astier
LH/138/5,François Baucheton
LH/391/28,François Buloz
LH/610/1,François Courboin
LH/690/72,François Emmanuel Dehaies de Montigny
LH/2411/11,François Geoffroi Roux
LH/400/97,François Gracchus Cabrol
LH/1278/18,François Heirisson
LH/698/63,François Hippolyte Lalaisse
LH/342/39,François Joseph Bouvet
LH/1580/60,Jules Auguste Lemire
LH/309/59,François Louis Boudin de Roville
LH/2581/61,François Marie Cyprien Teullé
LH/1887/53,François Miramond de Laroquette
LH/452/17,François Pierre Bertrand Nompar de Caumont
LH/2381/66,François Roques
LH/2594/40,François Thirion
LH/1417/57,François de La Bouillerie
LH/2393/81,François Élie Roudaire
LH/1264/78,René Hanriot
LH/1354/26,Frédéric-Pierre Japy
LH/1310/71,Frédéric Christophe d'Houdetot
LH/2250/53,Frédéric Quinson
LH/2466/29,Frédéric Sauton
LH/126/13,Félix Barthe
LH/418/37,Félix Canet
LH/1486/87,Félix Hippolyte Larrey
LH/1321/66,Félix Huguenet
LH/2575/15,Félix du Temple
LH/816/84,Gabriel-Vital Dubray
LH/311/25,Gabriel Bouffet
LH/789/19,Gabriel Donnadieu
LH/1432/53,Gabriel Laffaille
LH/1616/30,Gabriel Lespinasse de Saulne
LH/2104/27,Gabriel Pérouse
LH/2679/57,Gabriel Vaugeois
LH/2079/20,Gaspard de Cherville
LH/434/67,Gaston Carrère
LH/494/21,Georges Charpentier
LH/607/13,Georges Coulon
LH/726/63,Georges Demetz
LH/773/64,Georges Diebolt
LH/1317/47,Georges Huchet de La Bédoyère
LH/679/66,Georges Maurice Debove
LH/1879/42,Georges Millin de Grandmaison
LH/2277/23,Georges Récipon
LH/2281/34,Georges Récipon
LH/386/43,Gilbert Bruys de Charly
LH/2727/31,Gilbert Julian Vinot
LH/1957/9,Grégoire Mourre
LH/2080/29,Guillaume Alexandre Thomas Pégot
LH/1715/22,Guillaume Manès
LH/2790/82,Guillaume de Maleville
LH/1966/50,Gustave-Joseph Munier
LH/641/17,Gustave Curé
LH/624/82,Gustave Crauk
LH/824/11,Gustave Duchesne de Bellecour
LH/1472/42,Gustave Lannes de Montebello
LH/1652/23,Gustave Loisel
LH/2655/46,Gustave Umbdenstock
LH/1922/31,Gustave de Monttessuy
LH/1574/66,Hector Lemaire
LH/2212/22,Henri-Emmanuel Poulle
LH/254/70,Henri-Joseph Blanquart de Bailleul
LH/153/21,Henri Beauclair
LH/469/53,Henri Chalamet
LH/525/74,Henri Chevreau
LH/558/64,Henri Cochon de Lapparent
LH/675/84,Henri Daydé
LH/680/24,Henri Debray
LH/580/87,Henri Goublier
LH/1245/29,Henri Guinier
LH/1305/56,Henri Hogard
LH/1488/52,Henri Lartigue
LH/1775/36,Henri Masquelez
LH/2242/11,Henri Putz
LH/2639/46,Henri Turot
LH/449/21,Henri de Cathelineau
LH/2777/55,Henri de Lapommeraye
LH/2361/11,Henri de Rochechouart de Mortemart
LH/536/38,Henri de Treveneuc
LH/24/74,Henri Allouard
LH/1974/60,Henry Claude Robert Napias
LH/2794/29,Henry Delagenière
LH/1195/34,Henry Greffulhe
LH/277/31,Henry Poulet
LH/1616/26,Henri de Bournazel
LH/588/30,Hercule Corbineau
LH/2639/17,Jean-François Turinaz
LH/610/25,Jean-Gustave Courcelle-Seneuil
LH/1686/7,Jean-Henri Magne
LH/1750/35,Jean-Joseph-Marie-Anatole Marquet de Vasselot
LH/2127/21,Jean-Joseph Petitgenêt
LH/2128/15,Jean-Joseph Petitgenêt
LH/688/46,Jean-Marie Defrance
LH/1885/37,Jean-Marie Mioland
LH/2288/11,Jean-Marie Reignier
LH/2557/52,Jean-Philippe Suisse
LH/887/32,Jean-Pierre Duvoisin
LH/224/13,Jean-Rémi Bessieux
LH/478/83,Jean-Siméon Champy
LH/2465/2,Jean André Saur
LH/76/10,Jean Aulay de Launay
LH/271/46,Jean Aurèle de Boisserolle
LH/52/73,Jean Baptiste Arnaud
LH/71/7,Jean Baptiste Louis d'Audibert de Férussac
LH/71/8,Jean Baptiste Louis d'Audibert de Férussac
LH/599/70,Jean Costes
LH/242/8,Jean Louis Debilly
LH/678/61,Jean Louis Debilly
LH/2269/16,Jean Rataud
LH/2637/40,Joseph-Golven Tuault de La Bouverie
LH/2212/11,Joseph Clément Poullain de Grandprey
LH/903/18,Joseph Eschassériaux
LH/2016/4,Joseph Fiacre Olivier de Gérente
LH/448/43,Joseph Grégoire Casy
LH/439/36,Joseph Marie Raphaël de Casabianca
LH/2548/14,Jules Steeg
19800035/966/12062,Kléber Beaugrand
19800035/1424/64714,Louis Masson
19800035/273/36574,Louis Simonet
LH/32/1,André-Marie Ampère
LH/1297/11,Léon d'Hervey de Saint-Denys
LH/2233/52,Marcel Proust
19800035/5/601,Léon Blum
LH/1447/5,Charles-Ange Laisant
LH/2505/39,Léon Serpollet
LH/2609/27,Félix Tisserand
LH/317/19,Marcel Boulenger
LH/448/55,Eugène-Charles Catalan
LH/2236/1,Sully Prudhomme
19800035/1234/42361,Joseph Ranquet
LH/2446/55,Antonio Salieri
LH/2019/56,Julius Oppert
LH/1967/9,Salomon Munk
LH/1894/32,Julius Mohl
LH/40/16,Albert Anker
LH/371/72,Adolphe Brongniart
LH/2185/72,Henri Poincaré
19800035/22/2808,Jean de Lattre de Tassigny
19800035/1319/52647,William Marçais
19800035/271/36272,Daniel Blumenthal
19800035/281/37697,Emile Wetterlé
LH/1624/1,Oscar Liebreich
19800035/141/17922,Nicolaus Delsor
LH/940/44,Gabriel Urbain Fauré
LH/42/32,Dominique Antoine
LH/657/2,Édouard Joseph Dantan
LH/2661/33,Jean Baptiste Philibert Vaillant
LH/2754/30,Heinrich Wilhelm von Werther
19800035/354/47636,Blaise Cendrars
19800035/576/65483,Alexandre Émile Jean Yersin
19800035/99/12462,Victor Morax
LH/1340/46,Charles Jacque
LH/1899/55,Gabriel Jean Joseph Molitor
C/0/46,Philippe Antoine d'Ornano
LH/2611/56,Alexis de Tocqueville
19800035/290/38935,Frédéric Joliot-Curie
LH/2282/58,Odilon Redon
LH/2294/44,Ernest Renan
LH/2294/48,Ernest Renan
C/0/21,Vincent Auriol
19800035/685/78448,Pierre Gamel
LH/2082/50,Fernand Pelez
LH/429/27,Pierre Carlier
LH/668/20,Pierre Claude François Daunou
LH/846/5,Auguste Dumont
LH/1975/53,Ramón María Narváez
LH/1115/16,Étienne Geoffroy Saint-Hilaire
LH/44/13,Benjamin Nicolas Marie Appert
19800035/898/5032,Marie Noël
19800035/463/61865,Maurice Emmanuel
LH/194/69,Claude Bernard
LH/374/16,Paul Brouardel
LH/374/17,Paul Brouardel
LH/1567/3,Henri Lehmann
LH/1373/8,Edme François Jomard
LH/75/1,Émile Augier
19800035/643/74259,Jules Goux
LH/2042/39,René Panhard
LH/1472/39,Jean Lannes
C/0/41,Édouard Mortier
19800035/681/78087,Édouard Dhorme
LH/34/33,Édouard André
19800035/1380/59422,Édouard Hesling
19800035/1478/71593,Édouard Nanny
LH/2142/45,Édouard Phillips
LH/2337/65,Édouard Risler
LH/436/32,Élie-Abel Carrière
LH/437/47,Élie Cartan
LH/327/74,Émile Bourgeois
LH/500/89,Émile Gaston Chassinat
19800035/763/86686,Charles Andler
LH/1203/65,Jean-Louis Victor Grisart
19800035/390/52315,Émile Marchoux
LH/2028/39,Émile Oustalet
LH/2679/38,Joseph Auguste Émile Vaudremer
LH/1396/76,Émile de Kératry
LH/2562/17,Paul Taffanel
LH/709/25,Étienne-Jean Delécluze
C/0/8,Félix Faure
C/0/10,Armand Fallières
LH/2292/15,Louis Renault
LH/1536/74,Leconte de Lisle
C/0/12,Paul Deschanel
LH/430/43,Lazare Carnot
LH/1340/38,Joseph Marie Jacquard
C/0/19,Georges Bidault
LH/294/36,Antoine Bourdelle
LH/2568/4,Gabriel Tarde
C/0/7,Jean Casimir-Perier
LH/161/76,Antoine Becquerel
LH/2465/49,Félix Gustave Saussier
C/0/75,Frédéric-Ernest-Otto de Salm-Kyrburg
LH/2207/26,Alfred Potiquet
LH/90/62,François Bagnéris
LH/906/21,François Dominique Victor Esperonnier
LH/901/16,Gaspard Ernouf
LH/859/34,Germain Dupré
LH/99/29,Gilbert Ballet
LH/888/8,Henri Ebelot
LH/2310/62,Hilaire Benoît Reynaud
LH/2396/57,Hilaire Étienne Octave Rouillé de Boissy
LH/1295/59,Hildevert Hersent
LH/1470/35,Hippolyte Langlois
19800035/755/85634,Hippolyte Müller
LH/2778/28,Hubert-Joseph Lyautey
LH/1016/44,Hugues Fournier
19800035/1462/68940,Hugues Delorme
LH/1672/62,Hélion de Luçay
LH/1305/9,Ignace Hoff
LH/2476/76,Ignace Léopold Élisée Scherb
LH/2627/19,Isaac Léon Trenel
LH/1694/26,Jacques-Léonard Maillet
LH/2704/80,Jacques Antoine Viard
19800035/1036/19517,Jacques D'Welles
LH/1422/65,Jacques François de La Chaise
LH/1137/55,Jacques Laurent Gilly
LH/1524/11,Jacques Lecapitaine
LH/1899/48,Jacques Molinos
LH/1426/89,Jacques Nicolas Lacour
LH/2776/16,Jacques Pierre Prothade d'Astorg
19800035/217/28452,Jacques Tarbé de Saint-Hardouin
LH/2719/42,Jean-Antoine Villemin
LH/2610/13,Jean-Baptiste-Ange Tissier
LH/2426/37,Jean-Baptiste Dominique Rusca
LH/1361/33,Jean-Baptiste Jeanin
19800035/1080/24245,Jean-Baptiste Mathon
LH/1470/47,Jean-Charles Langlois
LH/1369/68,Jean-François Jolibois
LH/1839/32,"Jean-François Honoré, baron Merlet"
LH/2071/47,Jean-Georges Paulus
LH/1331/67,Jean-Guillaume Hyde de Neuville
LH/1623/74,Jean-Jacques Rousseau Levaillant
LH/2702/8,Jean-Joseph Veye de Chareton
LH/2750/58,Jean-Joseph Weerts
19800035/1450/67758,Jean-Louis Chancel
LH/1151/44,Jean-Louis Girod de l'Ain
19800035/127/15993,Jean-Marie Desgranges
19800035/248/33076,Jean-Marie Mengue
LH/1632/62,Jean-Marthe-Adrien Lhermitte
19800035/407/54410,Jean-Paul Coulon
LH/2308/57,Jean-Pierre-Antoine Rey
LH/124/73,Jean-Pierre Barruel
LH/1679/11,Jean-Pierre Mabile
LH/1266/39,Jean-Éléonore d'Hardivilliers
LH/2486/21,Jean Adam Schramm
19800035/1288/48790,Jean Antonin Delzers
LH/2555/70,Jean Baptiste Alexandre Stroltz
LH/151/8,Bazille
LH/2567/86,Jean Bernard Tarbé de Vauxclairs
19800035/278/37312,Jean Budes de Guébriant
19800035/1040/19904,Jean Comandon
LH/2231/56,Jean Constantin Protain
19800035/1038/19694,Jean Crouzier
LH/2569/51,Jean Dominique Léonard Tarrible
19800035/804/91263,Jean Gouailhardou
LH/1065/65,Jean Hugues Gambin
LH/1442/32,Jean Lagrange
19800035/549/62790,Jean Lemaistre
LH/1696/25,Jean Maingarnaud
19800035/149/19055,Jean Michel Guérin du Boscq de Beaumont
19800035/1022/18017,Jean Montigny
19800035/797/90215,Jean Nabert
LH/2136/1,Jean Peyrot
LH/2209/42,Jean Pierre Pouget
LH/1665/2,Joseph-Dominique Louis
LH/2637/93,Joseph-Guy-Louis-Hercule-Dominique de Tulle de Villefranche
LH/1706/47,Joseph Anne Robert Malherbe
LH/139/26,Joseph Baudelot
19800035/1302/50367,Joseph Brenier
LH/2166/42,Joseph Dominique Aldebert de Chambrun
LH/1490/2,Joseph Lasies
19800035/550/62839,Joseph Le Rouzic
LH/1979/36,Joseph Nédellec
LH/2032/62,Joseph Paganon
LH/1509/98,Joseph de Lazerme
LH/552/49,Hippolyte Clérel de Tocqueville
LH/866/72,Hippolyte Durand
LH/667/85,Honoré Daumet
LH/647/55,Horace Daillion
LH/492/11,Hugues Charlot
LH/311/41,Hyacinthe de Bougainville
LH/49/61,Ibrahim Georges Gaston d'Armagnac
LH/646/4,Isidore Dagnan
LH/720/47,Jacques-Antoine Delpon
LH/504/27,Jacques-Louis Chatry de Lafosse
LH/822/57,Jacques Duchemin des Cepeaux
LH/81/8,Jacques Philippe Avice
LH/535/73,Jacques Pierre Aimable Chrestien de Fumechon
LH/456/10,Jean-Baptiste Alexandre Cavrois
LH/908/45,Jean-Baptiste Estève de Latour
LH/741/10,Jean-Charles Desailly
LH/788/32,Fernand Cabrol
C/0/54,Jean-François-Aimé Dejean
LH/625/47,Camille Crémer
LH/1568/14,Corentin de Leissègues
LH/2772/31,Marcel Prévost
LH/753/86,Jules Desnoyers
LH/1408/44,Cornelis Rudolphus Theodorus Krayenhoff
LH/2664/73,Jean-Marie Valhubert
LH/2662/101,Pierre-Henri de Valenciennes
LH/1879/27,Achille Millien
LH/500/62,Théodore Chassériau
LH/673/32,Jean-Pierre-Armand David
19800035/100/12547,André Sérot
LH/1243/58,Alexandre Guilmant
LH/761/40,Antoine-Louis-Claude Destutt de Tracy
LH/467/20,Gaspard de Chabrol
LH/2459/68,Victorien Sardou
LH/1396/34,François-Christophe Kellermann
LH/561/26,François Coignet
LH/2698/88,Vincent-Marie de Vaublanc
LH/1294/20,Ferdinand Hérold
LH/1846/46,Adolphe Messimy
LH/2163/54,Adolphe Pinard
LH/1495/40,Charles de Lorencez
LH/2111/40,Claude-Victor Perrin
LH/895/40,Antoine Elwart
LH/309/19,Émile Boudier
LH/569/97,Louis-Joseph-Raphaël Collin
LH/2563/18,Adrien Tailhand
LH/2783/32,Jean-Nicolas Démeunier
LH/585/63,François Coppée
LH/2401/84,Samuel Rousseau
LH/1696/16,Maine de Biran
LH/1842/15,Luc-Olivier Merson
19800035/146/18610,Auguste François
LH/1125/50,François Louis Paul Gervais
LH/1015/75,Eugène Fournier
LH/272/69,Jean François Boissonade de Fontarabie
19800035/19/2411,Emmanuel de Margerie
19800035/367/49318,Albert Sarraut
19800035/1415/63582,Jacqueline Audry
19800035/366/49143,Jean Stern
19800035/90/11235,René Leriche
LH/1598/2,Frédéric Le Play
LH/2470/83,Augustin Savard
LH/681/45,Alexandre-Gabriel Decamps
LH/2491/43,Victor Segalen
19800035/381/51092,André Lhote
LH/364/75,Alexandre Brière de Boismont
LH/2627/45,Henri Tresca
LH/730/59,Pierre Philippe Denfert-Rochereau
LH/909/31,Honoré d'Estienne d'Orves
LH/413/66,Pierre Cambronne
19800035/1040/19961,René Capitant
LH/714/16,Léopold Delisle
LH/5/24,Amédée Achard
LH/312/28,William Bouguereau
LH/1520/22,Anatole Le Braz
LH/2671/47,Dominique-Joseph René Vandamme
19800035/205/26814,Ernest Mérimée
LH/1716/39,Charles Mangin
LH/2444/5,Jean-Marie Saisset
LH/1973/10,François-Joseph Naderman
19800035/1256/44899,André Daher
19800035/790/89270,André Godard
LH/1513/10,Joseph Achille Le Bel
LH/1278/41,André Hekking
LH/277/58,Louis Lucien Bonaparte
19800035/231/30659,Paul Gasq
LH/1834/49,Armand du Paty de Clam
LH/2651/50,Charles Tournemire
LH/925/15,Émile Faguet
LH/2250/34,Edgar Quinet
LH/986/59,Juan José Flores
19800035/849/97279,Paul Rosenberg
LH/1443/56,Edmond Laguerre
LH/2075/14,Anselme Payen
LH/1105/34,Auguste Geffroy
LH/377/9,Armand Joseph Bruat
LH/213/57,Alphonse Bertillon
LH/2533/53,Germain Sommeiller
LH/398/23,Ulysse Butin
LH/1379/11,Esprit Jouffret
LH/860/69,Antoine-Adolphe Dupuch
LH/1747/40,Antoine-François Marmontel
LH/2433/36,Louis Michel Antoine Sahuc
LH/2508/51,Louis Barbe Charles Sérurier
19800035/427/57124,Léon-Paul Fargue
19800035/735/83451,Henry Meige
LH/9/58,Alfred Agache
LH/1979/25,Adolphe Simon Neboux
LH/2265/55,Jehan-Rictus
LH/13/66,Delphin Alard
LH/166/34,Jean-Baptiste Charles Bélanger
19800035/1213/40021,Eugène Minkowski
19800035/206/27045,Constant Puyo
LH/809/6,Félix Duban
LH/1351/9,Jules Célestin Jamin
LH/755/38,Hyacinthe François Joseph Despinoy
LH/1360/40,Ignace Jean
LH/1912/12,Jacques-Ambroise Monprofit
LH/309/62,Jacques-Antoine-Claude-Marie Boudinet
LH/66/57,Jacques-Gabriel Aubin
LH/1875/40,Jacques-Gérard Milbert
LH/2021/40,Jacques-Pierre Orillard de Villemanzy
LH/549/50,Jacques-Valère Clément
LH/164/16,Jacques Begougne de Juniac
LH/1766/49,Jacques David Martin de Campredon
LH/415/91,Jacques David Martin de Campredon
LH/2704/7,Jacques Louis Vialla
LH/1816/48,Jacques Mège
LH/2110/69,Jacques Perrin
LH/643/37,Jacques Philippe Cuvillier
LH/218/1,Jean-Baptiste Bertrand
LH/226/18,Jean-Alexis Béteille
LH/2748/25,Jean-Baptiste-Charles Wartelle de Retz
LH/343/13,Jean-Baptiste-Joseph Bouvier
LH/229/39,Jean-Baptiste-Pierre Bevière
LH/256/7,Jean-Baptiste Antoine Blatin
LH/321/5,Jean-Baptiste Bouquerot des Essarts
LH/460/19,Jean-Baptiste Cécille
LH/588/28,Jean-Baptiste Juvénal Corbineau
LH/150/23,Jean-Baptiste Lecat de Bazancourt
LH/308/54,Jean Pierre Boudet
LH/647/44,Jean-Baptiste Daigremont Saint-Manvieux
LH/2720/54,Jean-Baptiste de Villeneuve-Bargemon
LH/409/22,Jean-Chrysostôme Calès
LH/519/49,Jean-Claude Cherrier
LH/2501/47,Jean-François de Cariés de Senilhes
LH/1365/27,Jean-Joseph-Marie-Eugène de Jerphanion
LH/347/34,Jean-Louis Boyer
LH/410/97,Jean-Louis Calmon
LH/2059/54,Jean-Louis Pascal
LH/2434/44,Jean-Marie-Théophile Desaincthorent
LH/2334/37,Jean-Marie Ritay
LH/242/52,Jean-Martial Bineau
LH/656/8,Jean-Pierre Danjou
LH/1724/56,Jean-Pierre Marcassus de Puymaurin
LH/2118/31,Jean-Pierre Pescatore
LH/2098/42,Jean Alexandre Péridier
LH/380/47,Jean Antoine Brun
LH/146/59,Jean Baptiste Charles Baurot
LH/658/38,Jean Darbot
LH/2300/21,Jean Gaspard Pascal René
LH/2394/18,Jean Grégoire Barthélemy Rouger de Laplane
LH/2303/46,Jean Jacques Paul Félix Ressayre
LH/1479/57,Jean Laporte-Bisquit
LH/1525/68,Jean Lecamus
LH/1680/51,Jean Macé
LH/1904/36,Jean Monestier
LH/1987/36,Jean Nicolas
LH/2505/9,Jean Nicolas Seroux de Fay
LH/279/9,Jean Pierre François Bonet
LH/2188/63,Jean Poirot
LH/2669/18,Jean Vassal
LH/28/95,Joachim Ambert
LH/1967/66,Joachim Murat
LH/218/39,Joseph-Jacques Bertrand
LH/2196/6,Joseph Poncet
LH/1462/33,Joseph Édouard de La Motte-Rouge
LH/2561/39,Jules-Antoine Taschereau
LH/2324/39,Jules François Riché
LH/475/1,Jérôme-Paul de Nompère de Champagny
LH/844/24,Jacques-Marie Dumaz
LH/82/13,Jacques-Pierre Avril
LH/803/34,Jacques Drevet
LH/907/44,Jean-Hippolyte Esquirou de Parieu
LH/783/42,Jean-Pierre Doguereau
LH/894/65,Jean Elleviou
LH/951/1,Jules Fayssat
LH/190/49,Louis-Catherine Bergevin
LH/1627/18,Louis-Hyacinthe Levesque
LH/743/84,Louis-Joseph Descat
LH/1579/31,Louis-Nicolas Lemercier
LH/453/91,Louis-Victor de Caux de Blacquetot
LH/69/47,Louis Aubusson de Soubrebost
LH/496/46,Louis Charrier de La Roche
LH/1908/31,Louis Monjaret de Kerjégu
LH/2148/18,Louis Pichon
LH/2317/68,Louis Ricard
LH/1919/44,Louis de Montfort
LH/2748/26,Léon-Marie Wartelle d'Herlincourt
LH/1220/71,Léon Guérin
19800035/1254/44738,Léonce Franco
LH/1358/58,Léopold Javal
19800035/185/24023,Marcel Plaisant
LH/2736/2,"Charles-Jean-Melchior, marquis de Vogüé"
LH/496/36,Marcel Charrier
LH/60/66,Marie-Jacques-François-Alexandre Asselin de Villequier
LH/785/64,Marie Jean Pierre Pie Frédéric Dombidau de Crouseilhes
LH/2197/93,Nicolas Ponsardin
LH/1478/36,Olivier de La Poëze
LH/2351/33,Paul Alexandre Robert de Massy
19800035/230/30543,Paul Bignon
19800035/1114/27590,Paul Chevallier
LH/1040/13,Paul Frogier de Ponlevoy
LH/245/91,Paul Jérémie Bitaubé
LH/1685/69,Paul Magnaud
LH/429/31,Hyacinthe Prosper Carlier
LH/812/70,Jean-Claude Dubois
LH/666/56,Pierre Auguste Daudé
LH/2764/8,Edmond Yarz
19800035/1252/44587,Albert Laborde
19800035/1469/70078,Henri Labrouste
LH/1528/51,Edmond Leclair
19800035/569/64756,Émile Pourésy
LH/1723/43,Charles Rémy Paul Marbot
LH/791/57,Gustave Doré
LH/2686/105,Giuseppe Verdi
19800035/772/87490,Édouard Belin
19800035/316/42633,Maurice de Broglie
19800035/243/32380,Théophile Cart
LH/2692/1,Jules Verne
LH/731/1,Joseph Deniker
LH/1715/41,Édouard Manet
LH/464/23,François de Chabaud-Latour
19800035/1088/25035,Gaston Castel
19800035/661/76005,Albert Schweitzer
LH/1894/69,Georges Courteline
LH/1723/42,Antoine Adolphe Marcelin Marbot
C/0/76,Joseph de Salm-Reifferscheidt-Dyck
LH/397/77,Romain Bussine
LH/1546/20,François-Joseph Lefebvre
LH/739/73,Bernhard Erasmus von Deroy
LH/2751/18,Heinrich Weil
19800035/1137/30240,Maurice Chevalier
19800035/166/21397,Arthur Honegger
LH/2284/50,Auguste Regnaud de Saint-Jean d'Angély
C/0/47,Aimable Pélissier
LH/300/80,Pierre Joseph François Bosquet
LH/770/6,Louis-Auguste Jouvenel des Ursins d'Harville
LH/1435/59,François Lafon
LH/1268/60,Jules Harmand
LH/1819/20,Georges Méliès
LH/660/59,Antoine Dareste de La Chavanne
LH/675/37,Louis-Nicolas Davout
19800035/706/80585,Paul Reynaud
19800035/408/54579,Jacques Hadamard
LH/1293/72,Charles Hermite
LH/36/5,Antoine-François Andréossy
19800035/253/33692,Henri Martin
LH/1098/54,Théophile Gautier
LH/1786/54,Jan Matejko
LH/2663/59,Paul Valéry
19800035/702/80144,Zinovi Pechkoff
19800035/42/5213,Charles Richet
C/0/52,Sidonie-Gabrielle Colette
LH/86/65,Camille de Montalivet
LH/1054/11,Claude Ferdinand Gaillard
LH/109/55,Jean-François Barbier
LH/327/46,Auguste Anicet-Bourgeois
LH/1017/66,Narcisse Fournier
LH/811/49,Théodore Dubois
LH/1684/51,François Magendie
LH/2778/29,Hubert Lyautey
LH/390/84,Ferdinand Buisson
LH/368/19,Édouard Brissaud
LH/807/49,Édouard Drouyn de Lhuys
19800035/294/39547,Édouard Goursat
LH/1309/29,Édouard Hospitalier
LH/1876/11,Jean-Baptiste Milhaud
C/0/13,Alexandre Millerand
LH/940/63,Élie Faure
LH/2718/29,Georges de Villebois-Mareuil
LH/798/51,Jean-Pierre Doumerc
19800035/267/35687,Maurice Rollet de l'Isle
LH/1112/44,Émile Gentil
LH/1358/60,Émile Javal
19800035/92/11495,Émile Mâle
LH/2144/15,Émile Picard
19800035/338/45485,Émile Vuillermoz
LH/1965/62,Étienne Mulsant
LH/1353/69,Pierre Jules César Janssen
19800035/134/17002,Gustave Cohen
19800035/100/12565,Georges Valiron
19800035/1318/52533,Joseph Laniel
LH/2285/49,Henri Victor Regnault
