leonoreid,noms
19800035/159/20385,Maurice Farman
LH/1935/15,Pierre Marie Arthur Morelet
LH/1618/17,Charles Alexandre Lesueur
LH/1462/25,Charles-Jean de La Motte-Vauvert
19800035/1410/62998,Charles-Henri-Joseph Binet
LH/472/86,Charles Chamberland
LH/1188/86,Charles Grandmougin
LH/1462/63,Charles Lamoureux
19800035/284/38157,Charles Mutin
19800035/1177/36325,Henri Parmentier
LH/1340/26,Claudius Jacquand
LH/1370/53,Jean-Baptiste-Moïse Jollivet
19800035/456/60992,Henri Capitant
LH/29/55,Hubert-Pascal Ameilhon
19800035/169/21711,Paul Lecomte
LH/1596/47,Louis Lepic
LH/2493/71,"Louis Philippe, comte de Ségur"
LH/230/54,Paul Bezanson
LH/1736/57,Hugues-Bernard Maret
19800035/434/58031,Edgard de Larminat
LH/1275/5,Edmond Hébert
LH/2416/57,Eugène Rouyer
19800035/23/2980,Pierre Lefèvre-Pontalis
LH/9/67,Jean Antoine Michel Agar
LH/1264/2,Emmanuel Hannaux
LH/1485/51,François de La Rocque
19800035/245/32547,Alexandre Darracq
LH/1347/65,Louis Emmanuel Jadin
LH/1117/38,Joseph-Marie de Gérando
LH/262/53,Ernest Blum
LH/1263/20,Ernest Hamy
LH/2001/50,Jean-Baptiste de Nompère de Champagny
19800035/1448/67523,Henri-Irénée Marrou
LH/325/17,Eugène Bourdon
LH/843/35,Guillaume-Mathieu Dumas
LH/561/43,Achille Coillot
LH/646/46,Adolphe Daguenet
LH/466/57,Adrien Chabrié
LH/84/59,Agénor Azéma de Montgravier
LH/551/26,Albert Clerc
LH/2787/56,Alexandre-François de Senarmont
LH/758/7,Alexandre Desrousseaux
LH/776/74,Alexandre Elisabeth Michel Digeon
LH/827/53,Alexandre Louis du Crest de Villeneuve
LH/623/52,Alfred Coville
LH/788/13,Alfred Donadei
LH/589/97,Alphonse-Amédée Cordonnier
LH/626/39,Alphonse-Nicolas Crépinet
LH/623/19,Alphonse Couvreux
LH/983/10,Alphonse Fleuriot de Langle
LH/773/50,Ambroise Firmin Didot
LH/2793/165,Amédée Thayer
LH/466/35,Anatole Chabouillet
LH/595/49,André-Philippe Corsin
LH/363/46,André Louis Elisabeth Marie Briche
LH/438/48,Antoine-Henri-Philippe-Léon d'Aure
LH/551/34,Antoine-Marguerite Clerc
LH/482/6,Antoine Chantron
LH/513/60,Antoine Chazal
LH/720/18,Antoine Delpierre
LH/720/19,Antoine Delpierre
LH/804/54,Antoine Drivet
LH/33/74,Antoine Joseph Maurice d'André
LH/483/23,Antoine Pierre Joseph Chapelle de Jumilhac
LH/875/52,Antoine Simon Durrieu
LH/875/60,Antoine Simon Durrieu
LH/2793/163,Antoine Tezenas
LH/687/20,Armand Deffis
19800035/1104/26473,Arthur Richards
LH/2727/22,Arthus Barthélémy Vingtrinier
LH/638/19,Athanase Cucheval-Clarigny
LH/689/13,Augusta Dejerine-Klumpke
LH/2565/2,Auguste-Frédéric de Talhouët
LH/2661/17,Auguste-Nicolas Vaillant
19800035/54/6569,Auguste Autrand
LH/293/3,Auguste Boppe
19800035/1478/71608,Auguste Bosc
