leonoreid,diplomes,professions
LH/776/39,,pathologiste | professeur d'université | chirurgien | médecin
LH/1393/55,,rabbin
LH/2611/56,,philosophe | sociologue | juriste | personnalité politique | écrivain
LH/594/20,,dessinateur | graveur | peintre | photographe
19800035/290/38935,,physicien nucléaire | professeur d'université | chimiste | physicien | professeur | personnalité politique
LH/1967/64,,officier | personnalité politique | militaire
19800035/755/85630,,chef cuisinier | journaliste
LH/1819/20,,monteur | magicien | dessinateur | acteur de cinéma | producteur de cinéma | réalisateur | cinéaste | animateur | directeur de la photographie | acteur | scénariste
LH/185/49,,prêtre catholique
LH/879/60,,architecte
LH/660/59,,historien
19800035/307/41337,,lithographe | graveur | aquafortiste | sculpteur | peintre
LH/2282/58,,pastelliste | graveur | lithographe | aquafortiste | artiste graphique | sculpteur | peintre | illustrateur
LH/44/56,,professeur d'université | biographe | mathématicien | physicien | personnalité politique | scientifique | astronome
19800035/168/21667,,résistant | professeur d'université | mathématicien | personnalité politique
19800035/1486/72814,,critique | philosophe | écrivain
19800035/109/13754,,syndicaliste
19800035/187/24276,,artiste graphique | conservateur | peintre | illustrateur
19800035/307/41401,,pastelliste | aquarelliste | essayiste | lithographe | dessinateur | prosateur | critique d'art | critique littéraire | peintre | illustrateur | artiste | traducteur | poète | écrivain
C/0/43,,militaire | personnalité politique
19800035/163/20935,,résistant | médiéviste | lecteur | professeur d'université | historien | professeur
LH/661/66,,militaire | personnalité politique
19800035/218/28709,,historien | professeur
LH/2294/44,,philologue | archéologue | philosophe | critique littéraire | orientaliste | théologien | historien | professeur | écrivain
LH/2294/48,,philologue | archéologue | philosophe | critique littéraire | orientaliste | théologien | historien | professeur | écrivain
LH/1249/24,,critique littéraire | traducteur | historien | diplomate | personnalité politique | écrivain
LH/63/8,,musicologue | chorégraphe | pédagogue | compositeur
LH/644/57,,officier
C/0/16,,entomologiste | personnalité politique | ingénieur
C/0/22,,personnalité politique | avocat
C/0/21,,résistant | personnalité politique | avocat
LH/675/37,,officier | militaire | personnalité politique
C/0/4,,officier | personnalité politique | militaire
LH/2233/51,,chimiste | aérostier | pharmacien
LH/1837/26,,archéologue | inspecteur général des monuments historiques | romancier | anthropologue | peintre | traducteur | dramaturge | historien | personnalité politique | écrivain
