leonoreid,diplomes,professions
19800035/190/24796,,illustrateur | peintre | artiste | personnalité du monde des affaires
LH/981/67,,peintre | photographe
19800035/818/93162,,résistant | aviateur
LH/1160/75,,personnalité politique
19800035/392/52486,,archéologue
LH/1211/2,,collectionneur d'œuvres d'art | mécène | industriel | personnalité politique
LH/1250/37,,administrateur colonial
19800035/548/62691,,diplomate | personnalité politique
19800035/413/55238,,physicien
19800035/1108/26967,,personnalité politique
LH/1408/23,,personnalité politique
LH/1588/46,,personnalité politique
19800035/995/15167,,médecin
19800035/191/24936,,caricaturiste | dessinateur | médailleur | sculpteur
LH/530/22,,personnalité politique
LH/2189/31,,librettiste | metteur en scène | dramaturge
LH/1175/26,,personnalité politique
19800035/802/90917,,architecte
LH/352/28,,pilote automobile
LH/651/1,,personnalité politique
19800035/415/55490,,personnalité politique
LH/695/14,,officier | militaire
LH/2177/16,,claveciniste | compositeur
LH/2689/34,,juriste
LH/167/17,,officier | personnalité politique | militaire
19800035/1010/16712,,peintre | illustrateur
LH/26/9,,magistrat | diplomate | personnalité politique | avocat
LH/391/10,,personnalité politique | avocat
LH/681/9,,personnalité politique | avocat
LH/537/8,,officier | militaire
LH/358/62,,diplomate | personnalité politique
LH/429/82,,officier | militaire
LH/2055/48,,personnalité politique
LH/2610/39,,archéologue | diplomate
LH/2042/10,,éditeur | libraire | traducteur | imprimeur | écrivain
LH/992/73,,personnalité politique
LH/1268/41,,personnalité politique
LH/1268/43,,personnalité politique
LH/548/65,,personnalité politique
LH/1483/10,,physicien | astronome
LH/2168/29,,juriste
LH/1183/83,,officier | personnalité politique | militaire
LH/2448/45,,officier | personnalité politique | militaire
LH/476/34,,militaire
LH/476/37,,militaire
LH/1647/9,,personnalité politique | médecin
LH/48/38,,personnalité politique | militaire
LH/1073/67,,ingénieur | médecin
LH/734/59,,officier | personnalité politique | militaire
LH/1340/78,,général de division
LH/1050/18,,personnalité politique
LH/2201/50,,personnalité politique
LH/2742/82,,philosophe
LH/223/63,,personnalité politique
LH/517/72,,notable | historien de l'art
LH/2142/3,,explorateur | soldat | marin | écrivain
19800035/793/89647,,peintre
LH/1464/1,,industriel | ingénieur
19800035/246/32754,,agronome
LH/363/78,,ingénieur
LH/359/21,,personnalité politique
LH/1304/36,,explorateur | médecin | photographe
LH/2228/34,,officier | militaire
LH/836/47,,prêtre catholique | missionnaire
LH/568/57,,personnalité politique | ingénieur
LH/568/58,,personnalité politique | ingénieur
LH/2426/69,,officier | personnalité politique
19800035/198/25815,,historien de la philosophie | philosophe | écrivain
19800035/389/52110,,architecte
19800035/26/3365,,résistant | officier
LH/500/44,,personnalité politique
19800035/990/14620,,salonnier | écrivain
LH/1737/15,,personnalité politique
LH/1793/44,,chimiste | professeur
LH/1943/46,,officier de la Marine française
LH/1820/57,,imprimeur-libraire | journaliste | historien
19800035/260/34624,,dramaturge | écrivain
19800035/878/3027,,résistant
LH/2028/6,,personnalité politique
LH/2610/37,,inventeur | ingénieur militaire | physicien | ingénieur
LH/2033/16,,historien
19800035/228/30237,,militaire
19800035/1234/42328,,physicien
19800035/797/90229,,architecte
19800035/46/5671,,médecin
19800035/190/24798,,personnalité politique
19800035/397/53214,,résistant | poète | médecin
LH/2546/25,,médecin militaire | entomologiste | botaniste | médecin
LH/2491/24,,personnalité politique
19800035/1413/63322,,géographe
LH/1428/2,,archéologue | historien
LH/2001/51,,diplomate
LH/1437/84,,cavalier | militaire
LH/516/57,,personnalité politique
19800035/1463/69087,,personnalité politique
19800035/1086/24914,,médailleur | sculpteur
LH/136/51,,architecte
LH/281/19,,romancier | dramaturge | bibliothécaire
LH/1015/39,,personnalité politique
LH/1252/69,,administrateur | militaire
19800035/424/56664,,explorateur | géographe
LH/2755/35,,prêtre catholique
LH/2029/29,,artilleur | chef d'entreprise
LH/2636/19,,négociant | personnalité politique
LH/1527/17,,personnalité politique
LH/1814/45,,personnalité politique
LH/598/29,,historien | personnalité politique
LH/2594/33,,ingénieur
LH/17/73,,personnalité politique
LH/207/17,,personnalité politique | avocat
LH/852/44,,personnalité politique
LH/1053/41,,personnalité politique | avocat
LH/925/40,,personnalité politique
LH/2449/29,,magistrat | personnalité politique
LH/2764/93,,agronome | vétérinaire
LH/1854/40,,officier | militaire
LH/1021/11,,militaire
LH/194/55,,personnalité politique | avocat
LH/330/59,,architecte
LH/1942/38,,personnalité politique
LH/1058/39,,officier de la Marine française | personnalité politique
LH/2090/38,,officier de la Marine française
LH/327/58,,officier | militaire
LH/327/59,,officier | militaire
LH/743/44,,militaire
LH/158/29,,hydrogramme | explorateur | cartographe | ingénieur
LH/1714/23,,architecte
LH/2361/35,,personnalité politique
LH/1937/21,,ingénieur des ponts et chaussées | architecte
LH/2565/3,,personnalité politique
19800035/235/31170,,personnalité politique
LH/2070/19,,personnalité politique
LH/1844/33,,ingénieur civil
LH/2002/66,,ingénieur
LH/2098/66,,personnalité politique
19800035/123/15545,,historien | professeur
LH/2217/11,,personnalité politique
LH/1504/23,,dramaturge | écrivain
LH/514/8,,haut fonctionnaire
LH/1083/5,,personnalité politique
19800035/1464/69334,,salonnier | acteur de cinéma | écrivain
LH/2485/63,,journaliste | dramaturge | poète | écrivain
LH/479/34,,administrateur colonial | écrivain
LH/1986/48,,aviateur
LH/815/66,,diplomate
LH/1986/20,,diplomate | personnalité politique
19800035/608/68615,,historien
LH/2025/15,,diplomate | personnalité politique | militaire
LH/1338/40,,philosophe
LH/2623/74,,officier | militaire
19800035/301/40532,,lichénologue | botaniste
LH/734/71,,officier | militaire
LH/276/23,,personnalité politique
LH/445/51,,diplomate | officier | personnalité politique | militaire
19800035/1237/42718,,pédagogue
19800035/1283/48065,,soldat | personnalité politique
LH/900/34,,personnalité politique | militaire
LH/385/6,,personnalité politique
LH/2373/35,,haut fonctionnaire | personnalité politique
LH/1010/64,,médecin
19800035/256/34090,,botaniste
19800035/1455/68261,,militaire
LH/589/102,,soldat
LH/1755/21,,philologue | moraliste | historien
LH/2113/23,,officier | personnalité politique | militaire
LH/4/20,,personnalité politique | avocat
19800035/122/15381,,diacre catholique | prêtre catholique
LH/692/57,,personnalité politique
LH/98/32,,professeur d'université | neurologue | psychiatre
LH/973/42,,anthropologue | archéologue | numismate | haut fonctionnaire
LH/254/40,,prélat | prêtre catholique
LH/1210/13,,militaire
LH/1973/1,,ingénieur
LH/2640/57,,peintre
LH/1257/52,,architecte | prêtre
LH/598/50,,prêtre
LH/1974/2,,administrateur | personnalité politique
LH/1853/29,,officier
LH/2513/63,,officier
LH/2638/71,,personnalité politique
LH/52/76,,franc-maçon | personnalité politique
19800035/906/5883,,as de l'aviation
LH/425/85,,personnalité politique | militaire | officier
LH/117/43,,as de l'aviation
LH/164/27,,marin
LH/758/87,,officier
LH/815/77,,officier de la Marine française
LH/917/26,,personnalité politique
LH/1034/35,,pharmacien | militaire
LH/611/60,,conservateur | archéologue | peintre
LH/615/64,,juriste | personnalité politique
LH/624/83,,peintre
LH/640/21,,industriel | personnalité politique
LH/669/22,,militaire
LH/678/49,,médecin militaire | professeur d'université | personnalité politique | médecin
19800035/636/73574,,producteur de cinéma
LH/710/2,,personnalité politique
19800035/727/82646,,personnalité politique
LH/735/9,,archéologue | paléontologue | géologue | professeur
LH/760/33,,officier | militaire
19800035/301/40506,,sculpteur
LH/773/28,,personnalité du monde des affaires
LH/786/2,,ingénieur
LH/836/73,,historien
19800035/1032/19116,,chimiste | professeur
19800035/462/61805,,juriste | avocat
19800035/1483/72298,,résistant | militaire
19800035/93/11603,,personnalité politique
19800035/1212/39845,,dessinateur | peintre
LH/2632/24,,chirurgien | médecin
LH/1323/61,,ingénieur militaire
C/0/57,,militaire
LH/216/57,,botaniste | paléontologue | géologue
LH/958/19,,médecin écrivain
LH/965/4,,entomologiste
LH/973/29,,prélat | prêtre catholique
LH/1029/78,,haut fonctionnaire
LH/793/6,,officier
LH/736/8,,officier | personnalité politique | militaire
LH/1310/39,,militaire
LH/2761/14,,personnalité politique
LH/2531/47,,soldat
LH/78/49,,officier | militaire
19800035/800/90607,,designer
19800035/871/2374,,magistrat | personnalité politique
19800035/541/61944,,physicien
19800035/1441/66829,,graveur | dessinateur | caricaturiste | peintre | illustrateur
LH/1113/49,,architecte
LH/1133/26,,magistrat | personnalité politique
LH/1137/3,,collectionneur d'œuvres d'art | graveur | imprimeur
LH/1148/5,,historien | juriste | personnalité politique
LH/1154/30,,enseignant
LH/1166/2,,économiste | juriste | personnalité du monde des affaires
LH/1171/4,,peintre
LH/1183/54,,officier | militaire
19800035/434/58028,,acteur de cinéma | acteur
LH/1200/25,,magistrat | personnalité politique
19800035/220/28930,,ingénieur militaire | militaire
LH/1222/51,,personnalité politique
LH/1230/44,,historien
LH/1240/68,,personnalité politique
LH/1237/10,,officier | personnalité politique
LH/1110/7,,poète | photographe
19800035/368/49447,,sculpteur
LH/1346/12,,explorateur | malacologiste | officier de marine
LH/741/64,,officier de la Marine française
LH/121/29,,ingénieur civil | ingénieur
LH/1095/3,,architecte
19800035/905/5786,,prêtre catholique | organiste
LH/17/72,,philologue | lexicographe
19800035/270/36196,,botaniste | collecteur de plantes | entomologiste | naturaliste
LH/29/84,,militaire
19800035/53/6491,,administrateur colonial
LH/698/40,,officier | militaire
LH/500/68,,personnalité politique | avocat
LH/1642/2,,personnalité politique
LH/1717/76,,officier
LH/948/61,,diplomate | personnalité politique
LH/51/28,,ingénieur
LH/55/40,,personnalité politique
19800035/721/82095,,médecin
LH/67/72,,juge
19800035/115/14560,,personnalité politique
LH/1680/80,,ingénieur
LH/2083/68,,conseiller juridique
LH/100/64,,industriel | personnalité politique
LH/967/77,,graveur | peintre
LH/101/1,,horticulteur
LH/117/71,,architecte
19800035/55/6751,,personnalité politique
LH/123/58,,personnalité politique | avocat
LH/137/53,,historien
19800035/788/89021,,journaliste | diplomate | personnalité politique
LH/213/40,,magistrat
LH/291/50,,ingénieur
LH/291/51,,personnalité politique | médecin
LH/298/9,,personnalité politique
19800035/1306/50972,,
LH/311/62,,militaire
LH/332/65,,personnalité politique | personnalité du monde des affaires
19800035/1036/19507,,haut fonctionnaire | personnalité politique
LH/365/23,,journaliste | dramaturge | poète
LH/380/8,,personnalité politique | ingénieur
C/0/32,,militaire
19800035/177/22870,,réalisateur | scénariste
19800035/780/88293,,personnalité politique
19800035/231/30551,,personnalité du monde des affaires
LH/409/6,,agronome | personnalité politique | poète
LH/421/32,,personnalité politique
LH/438/49,,industriel | collectionneur d'œuvres d'art | maire
LH/442/19,,personnalité politique | avocat
LH/457/27,,personnalité politique
LH/462/58,,industriel | personnalité politique
LH/476/51,,archéologue | diplomate
19800035/317/42743,,personnalité politique
19800035/451/60324,,entraîneur de boxe | maître d'armes
19800035/633/73280,,biographe
LH/520/35,,personnalité politique
LH/552/81,,officier
LH/1346/13,,officier | personnalité politique
19800035/100/12614,,professeur des écoles | personnalité politique
LH/558/60,,personnalité politique
LH/586/42,,fonctionnaire | diplomate | ingénieur
LH/592/4,,vétérinaire
LH/596/3,,personnalité politique
19800035/10/1198,,militaire
LH/600/25,,ingénieur
LH/586/80,,botaniste | entomologiste | médecin de bord | chirurgien | naturaliste
19800035/1484/72494,,peintre
LH/1313/37,,personnalité politique
LH/353/16,,personnalité politique
LH/1336/3,,architecte
LH/1346/64,,militaire
LH/821/62,,personnalité politique
LH/1351/77,,botaniste | physiologiste | paléontologue | biologiste | lépidoptériste | chimiste
LH/2049/22,,officier | personnalité politique
LH/83/4,,officier | militaire
19800035/593/67197,,historien | militaire
LH/345/70,,officier | personnalité politique
LH/393/5,,officier
LH/855/10,,militaire
LH/2761/68,,officier | militaire
LH/843/67,,hydrographe | officier de marine | diplomate
LH/853/54,,personnalité politique
LH/1291/23,,officier | personnalité politique | militaire
19800035/546/62431,,carcinologiste | zoologiste
LH/2265/51,,militaire
19800035/732/83139,,peintre
LH/2567/17,,chimiste | pharmacien
LH/2055/29,,militaire
LH/1406/27,,industriel | personnalité politique
LH/1434/6,,militaire
LH/1433/27,,banquier | personnalité politique
LH/1447/8,,architecte
LH/1503/51,,chimiste
19800035/285/38297,,personnalité politique | avocat
LH/1512/71,,financier | personnalité politique
LH/1594/63,,diplomate | personnalité politique
LH/1585/78,,diplomate | personnalité politique
LH/1517/8,,militaire
LH/1534/77,,personnalité politique
LH/1540/44,,personnalité politique
LH/1579/8,,personnalité politique
19800035/1127/29196,,architecte
LH/1590/35,,ingénieur
LH/1620/37,,officier | personnalité politique | militaire
LH/1659/88,,industriel
LH/583/77,,naturaliste
LH/778/45,,
LH/1743/42,,officier
LH/1188/15,,personnalité politique
LH/2277/53,,militaire
LH/151/75,,administrateur colonial | militaire
LH/1215/3,,officier | militaire
LH/1743/38,,militaire
LH/1668/14,,personnalité politique
LH/1670/26,,officier | personnalité politique | militaire
LH/1671/60,,haut fonctionnaire | juriste
19800035/268/35908,,administrateur colonial | résistant | militaire
LH/1942/39,,soldat
LH/1662/47,,écrivain
LH/176/34,,philosophe | pédagogue | traducteur
19800035/889/4162,,personnalité politique
LH/2790/5,,as de l'aviation
LH/1687/23,,linguiste | journaliste | traducteur | bibliothécaire | poète
19800035/248/33037,,personnalité politique
LH/1753/31,,architecte
LH/1744/48,,peintre | archéologue | historien de l'art
LH/1770/51,,grammairien | historien de la littérature | romaniste | bibliothécaire | écrivain
19800035/698/79713,,critique littéraire | traducteur | écrivain
LH/1807/36,,journaliste | enseignant | écrivain
19800035/974/12926,,dessinateur de timbres | dessinateur de bande dessinée | graveur
LH/1911/47,,personnalité politique | médecin
LH/1925/25,,officier
LH/1943/54,,historien du livre | professeur d'université | bibliothécaire
LH/1954/61,,chimiste | pharmacien | professeur
LH/1967/50,,bijoutier | personnalité politique
LH/497/55,,dramaturge
LH/1963/49,,peintre
LH/1975/47,,dramaturge | écrivain
19800035/889/4132,,architecte
LH/2107/68,,personnalité politique
LH/41/106,,officier | personnalité politique
LH/1037/82,,militaire
LH/1282/62,,officier
LH/1996/14,,personnalité politique
19800035/654/75400,,as de l'aviation
LH/2003/31,,architecte
LH/1980/19,,barbier chirurgien | médecin
LH/1418/15,,officier | personnalité politique | militaire
LH/105/39,,personnalité politique
LH/2436/29,,diplomate | officier | militaire
LH/166/32,,botaniste
19800035/1214/40075,,peintre
19800035/1359/57302,,paléographe | archiviste
19800035/206/27007,,banquier
LH/1643/50,,officier | militaire
LH/1994/6,,personnalité politique
19800035/438/58610,,officier
LH/1459/55,,personnalité politique | militaire
LH/2159/7,,inventeur | ingénieur
LH/2176/47,,personnalité politique
LH/2180/37,,personnalité politique
LH/2182/24,,décorateur d'intérieur | céramiste | architecte
LH/2196/49,,poète
LH/2236/10,,acteur
LH/2224/8,,personnalité politique
19800035/1214/40081,,personnalité politique
LH/2254/51,,ingénieur
19800035/186/24182,,explorateur | glaciologue | alpiniste | journaliste | géographe | traducteur | écrivain
19800035/305/41092,,chef d'entreprise | ingénieur
19800035/706/80548,,personnalité politique
19800035/749/84905,,enseignant | écrivain
LH/2298/71,,personnalité politique | avocat
LH/1529/12,,chirurgien | médecin
LH/1688/15,,officier de marine
LH/2330/14,,officier de la Marine française | personnalité politique
19800035/564/64250,,personnalité politique
19800035/1275/46903,,professeur des universités | banquier | économiste
LH/2368/32,,administrateur colonial
19800035/43/5305,,personnalité politique
LH/2378/32,,
LH/2285/80,,haut fonctionnaire | personnalité politique
LH/2277/46,,écrivain
LH/2431/62,,ethnologue | écrivain
19800035/378/50688,,personnalité politique | médecin
LH/1305/17,,personnalité politique
19800035/133/16866,,auteur de bande dessinée | botaniste | auteur de littérature pour la jeunesse
LH/1840/3,,officier
LH/416/86,,officier
LH/1758/1,,personnalité politique
LH/2368/58,,personnalité politique
LH/2720/52,,haut fonctionnaire | militaire
LH/2252/20,,personnalité politique
LH/2713/6,,personnalité politique
LH/852/30,,juriste
LH/782/24,,magistrat
LH/473/28,,soldat
LH/200/31,,diplomate | personnalité politique | militaire
LH/2177/46,,théologien | prêtre catholique
LH/378/62,,personnalité politique
LH/1500/61,,prêtre
LH/379/59,,prêtre catholique
LH/379/60,,prêtre catholique
LH/389/88,,officier
19800035/686/78552,,journaliste | économiste | personnalité politique
LH/385/46,,procureur | préfet | personnalité politique
LH/1339/41,,personnalité politique
LH/2773/24,,personnalité politique
LH/2787/64,,personnalité politique
LH/430/41,,personnalité politique | militaire
LH/2661/71,,personnalité politique
LH/1481/54,,personnalité politique
LH/1952/56,,personnalité politique
LH/685/72,,personnalité politique
LH/707/8,,personnalité politique
LH/2679/40,,officier | personnalité politique
LH/2286/32,,personnalité politique | avocat
LH/221/50,,officier | personnalité politique | militaire
19800035/116/14674,,officier
LH/285/18,,peintre
LH/305/40,,verrier
LH/393/70,,ingénieur
LH/2330/72,,officier de marine
LH/69/22,,militaire
LH/67/75,,militaire
LH/1179/41,,entomologiste
19800035/725/82492,,personnalité politique
LH/714/71,,résistant | aviateur
LH/2664/31,,conseiller juridique | personnalité politique
19800035/758/85951,,peintre | enseignant
LH/821/28,,médecin
LH/930/1,,industriel | économiste
LH/1825/5,,mémorialiste | journaliste
19800035/391/52466,,paléontologue | égyptologue
LH/1665/50,,officier
19800035/1113/27502,,sculpteur
LH/519/44,,sous-préfet | historien | officier
LH/1425/40,,personnalité politique
LH/1534/81,,officier | militaire
LH/1653/16,,personnalité politique
LH/1851/13,,officier
LH/2043/8,,militaire
LH/1071/17,,diplomate | militaire
LH/563/27,,personnalité politique
19800035/100/12506,,personnalité politique
LH/2735/16,,biographe
LH/2395/9,,officier | militaire
LH/2231/8,,officier
LH/1252/28,,officier
LH/2263/65,,sculpteur
LH/2370/68,,aristocrate
LH/2386/23,,officier
LH/2580/52,,militaire
LH/1976/30,,personnalité politique
LH/819/50,,officier de la Marine française | personnalité politique
LH/2447/34,,industriel | personnalité politique
LH/2443/13,,météorologue | volcanologue | géologue | professeur
19800035/1150/31515,,archéologue | historien | avocat
LH/2476/33,,géographe | traducteur | historien
19800035/47/5837,,banquier
LH/2512/8,,industriel | personnalité politique | militaire
19800035/1320/52913,,acteur
LH/2557/45,,haut fonctionnaire | dramaturge
19800035/349/46998,,romancier
19800035/572/65005,,marqueteur | peintre | écrivain | photographe
LH/2540/76,,personnalité politique
LH/2554/41,,avocat
LH/2551/12,,personnalité politique
LH/2557/47,,architecte
LH/2499/70,,peintre | écrivain
LH/2497/15,,personnalité politique
LH/1276/76,,personnalité politique
LH/563/39,,prêtre catholique
LH/2179/8,,personnalité politique | militaire
LH/2629/52,,aviateur
LH/2658/31,,personnalité politique
LH/2658/38,,chef de service hospitalier
LH/2668/28,,sculpteur
LH/2686/60,,notaire | personnalité politique | militaire
LH/2675/66,,personnalité du monde des affaires
19800035/752/85313,,poète
LH/1031/51,,administrateur colonial | officier | personnalité politique
LH/2728/60,,chimiste
LH/2682/16,,géographe | géologue
LH/2753/20,,personnalité politique | avocat
LH/2756/34,,explorateur
LH/48/69,,militaire
LH/71/57,,économiste | personnalité politique
LH/309/107,,militaire
LH/1517/26,,personnalité politique
LH/1310/73,,personnalité politique | militaire
LH/313/23,,personnalité politique
LH/386/66,,personnalité politique
19800035/38/4769,,diplomate
LH/788/6,,personnalité politique
LH/1670/25,,archiviste | historien
LH/1429/83,,officier | personnalité politique
LH/817/43,,haut fonctionnaire
LH/1553/68,,architecte
19800035/546/62472,,aviateur
LH/1845/8,,officier | personnalité politique | militaire
LH/1971/15,,commissaire de bord
LH/2085/2,,personnalité politique
LH/2313/55,,historien
LH/402/34,,personnalité politique
19800035/586/66461,,aviateur | officier | personnalité politique
LH/902/45,,archéologue | collectionneur | bibliophile | historien
LH/819/48,,personnalité politique
LH/819/49,,personnalité politique
19800035/52/6373,,personnalité politique
LH/175/22,,personnalité politique | naturaliste
19800035/435/58191,,personnalité politique
LH/584/12,,personnalité politique
LH/1477/69,,officier | personnalité politique | militaire
LH/2475/12,,officier
LH/128/52,,philosophe | théologien | écrivain
LH/1253/39,,officier
LH/1060/72,,personnalité politique | médecin
LH/2277/42,,radiologue | oncologue | histologiste | biologiste | médecin
19800035/696/79521,,personnalité politique
LH/2602/26,,botaniste | explorateur | médecin
19800035/612/69019,,personnalité politique | avocat
LH/2724/22,,explorateur | cartographe
19800035/215/28191,,personnalité politique
LH/574/27,,ingénieur civil | économiste
LH/476/39,,
LH/1581/37,,chimiste
LH/61/30,,sculpteur
19800035/579/65719,,peintre
19800035/382/51222,,architecte paysagiste | architecte
LH/1217/72,,personnalité politique | militaire
LH/2260/17,,soldat
LH/1210/63,,militaire
LH/1678/61,,anatomiste | neurobiologiste | psychiatre | neurologue
LH/1862/24,,botaniste | explorateur
LH/378/57,,historien | diplomate | personnalité politique | écrivain
LH/1738/26,,écrivain
LH/2038/3,,officier | personnalité politique
LH/2170/43,,magistrat | personnalité politique
LH/2036/12,,diplomate | personnalité politique
19800035/759/86121,,prêtre orthodoxe | archéologue | prêtre catholique | historien
LH/327/80,,graveur | lithographe | peintre
LH/1463/32,,officier | militaire
LH/1961/7,,architecte
19800035/1033/19221,,
LH/743/77,,personnalité politique
LH/339/81,,personnalité politique
19800035/122/15458,,aviateur | pilote d'essai
19800035/1077/23874,,relieur | artiste
19800035/22/2745,,directeur de théâtre | directeur | poète | acteur | écrivain
LH/1251/67,,personnalité politique
19800035/1457/68456,,aristocrate
LH/2636/64,,historien | militaire
LH/748/74,,personnalité politique
LH/1150/65,,personnalité politique
LH/919/32,,armateur
LH/245/37,,personnalité politique
19800035/872/2407,,ingénieur
LH/1477/71,,explorateur
LH/2150/53,,officier
LH/2538/51,,professeur d'université | astronome
LH/1046/4,,philanthrope
19800035/12/1480,,militaire
LH/1100/67,,
LH/1302/20,,pédagogue
LH/1439/4,,personnalité politique
LH/1283/14,,policier
LH/2142/53,,herpétologiste | biologiste | zoologiste
19800035/185/24091,,résistant
LH/19/92,,militaire
LH/211/8,,militaire
LH/388/41,,officier
LH/467/23,,personnalité politique
LH/585/10,,personnalité politique | avocat
LH/415/53,,personnalité politique | avocat
LH/650/13,,critique d'art | éditeur | architecte
LH/948/62,,personnalité politique
LH/501/75,,officier | personnalité politique | militaire
LH/1526/33,,historien
LH/1704/31,,personnalité politique
LH/2024/49,,personnalité politique
LH/2210/81,,personnalité politique
LH/1377/45,,éditeur | imprimeur
19800035/30/3772,,diplomate | personnalité politique
19800035/1277/47139,,sculpteur
LH/1717/49,,prêtre catholique
LH/1114/57,,aquarelliste | peintre | graveur
LH/577/67,,sculpteur | receveur des finances
LH/861/41,,médailleur | sculpteur | peintre | horloger
19800035/1199/38631,,professeur des universités | psychanalyste | psychiatre
LH/1612/27,,commissaire de la marine
19800035/46/5739,,économiste
LH/2011/27,,paléontologue | géologue | bibliothécaire
19800035/760/86239,,rabbin
LH/801/52,,linguiste | théologien | rabbin | bibliothécaire
LH/1792/10,,personnalité politique | militaire
19800035/878/3055,,officier
19800035/1089/25185,,acteur de cinéma
19800035/239/31815,,poète | acteur
19800035/1295/49770,,peintre | architecte
LH/2057/18,,
LH/1674/53,,officier
LH/430/69,,maître de forges | personnalité politique
19800035/12/1651,,militaire
LH/180/17,,personnalité politique
LH/189/36,,peintre | artiste
LH/1091/62,,collectionneur d'œuvres d'art | personnalité politique
LH/2335/16,,conservateur | peintre | peintre sur porcelaine
LH/1020/61,,sculpteur
LH/1100/56,,personnalité politique
LH/29/10,,officier | militaire
LH/1577/39,,personnalité politique
LH/80/36,,journaliste | bibliothécaire
LH/2212/61,,entrepreneur | personnalité politique
LH/194/82,,ingénieur
19800035/258/34354,,sculpteur
LH/1086/31,,médailleur | sculpteur | graveur
19800035/1352/56610,,administrateur colonial | personnalité politique
19800035/876/2881,,joueur de tennis
LH/2235/63,,japonologue | linguiste | anthropologue | ethnologue
LH/1693/53,,peintre
LH/439/55,,militaire
LH/472/41,,officier | ingénieur militaire
LH/2367/70,,archéologue | ethnologue
LH/831/38,,prêtre catholique
LH/34/30,,banquier
LH/1044/42,,géologue | ingénieur | professeur d'université
LH/1234/4,,architecte
LH/1171/61,,librettiste | acteur
LH/1199/26,,personnalité politique | avocat
19800035/644/74374,,personnalité politique | avocat
19800035/887/3969,,peintre | illustrateur | graveur | écrivain
LH/1285/91,,personnalité politique
LH/1318/76,,ingénieur des ponts et chaussées | ingénieur
19800035/875/2734,,personnalité politique
LH/1414/10,,enseignant
19800035/1246/43785,,personnalité du monde des affaires
19800035/172/22148,,industriel | personnalité politique
LH/312/46,,journaliste | personnalité politique | poète | avocat | écrivain
LH/1612/33,,médecin | astronome
19800035/874/2665,,professeur des écoles | résistant | haut fonctionnaire
LH/2070/62,,architecte
19800035/1244/43605,,poète | écrivain
19800035/388/51982,,historien local | archiviste | bibliothécaire
LH/2432/48,,archéologue | anthropologue
LH/2563/1,,collectionneur d'œuvres d'art | historien de l'art | haut fonctionnaire
LH/2574/6,,personnalité politique
19800035/751/85112,,personnalité politique
LH/2639/79,,personnalité politique
LH/2760/37,,peintre | graveur
LH/423/88,,personnalité politique
LH/1428/15,,officier
LH/1714/28,,officier de la Marine française | journaliste
LH/476/5,,philanthrope | bijoutier
LH/1355/16,,aviateur
LH/404/35,,journaliste | courtier
LH/778/42,,peintre | illustrateur
19800035/292/39246,,architecte paysagiste | urbaniste
LH/183/43,,personnalité politique
LH/398/79,,personnalité politique | ingénieur
19800035/551/62958,,
19800035/873/2526,,résistant | personnalité politique
19800035/203/26532,,philologue
LH/2720/53,,officier de marine | personnalité politique
LH/2728/56,,bibliothécaire | poète | écrivain
LH/1982/53,,officier
LH/1212/52,,géologue | ingénieur
LH/2215/3,,officier | personnalité politique | militaire
LH/21/17,,personnalité politique
LH/381/49,,architecte
19800035/1479/71741,,historien de l'art | peintre | conservateur
LH/1168/58,,dramaturge | écrivain
19800035/359/48297,,juriste
LH/1259/29,,personnalité politique
LH/1994/10,,critique littéraire | historien | diplomate
19800035/325/43756,,architecte
LH/401/94,,personnalité politique | militaire
LH/2364/59,,historien
LH/1679/74,,militaire
LH/2509/60,,personnalité politique
LH/282/34,,officier
LH/210/19,,auteur de littérature pour la jeunesse | écrivain
LH/1684/17,,peintre
LH/1602/66,,carcinologiste | zoologiste | médecin
19800035/453/60625,,chansonnier | auteur-compositeur-interprète | poète
LH/550/67,,personnalité politique | avocat
LH/555/46,,botaniste
LH/953/16,,aristocrate
LH/1030/57,,peintre
LH/2683/11,,officier | militaire
LH/2683/2,,officier | militaire
LH/1424/42,,prêtre catholique | personnalité politique
LH/2367/71,,officier | militaire
LH/60/63,,officier
LH/60/67,,officier
LH/275/10,,personnalité politique | médecin
LH/2510/13,,officier | personnalité politique
LH/1822/24,,acteur de cinéma | humoriste | chanteur | acteur
19800035/1441/66842,,peintre
LH/296/43,,magistrat | personnalité politique
19800035/38/4768,,résistant | personnalité politique
LH/1437/44,,personnalité politique
LH/1614/46,,personnalité politique
19800035/744/84489,,cycliste | personnalité politique
LH/964/10,,personnalité politique
LH/648/111,,conseiller juridique | éditeur | personnalité politique | avocat | écrivain
19800035/241/32047,,essayiste | horticulteur | botaniste | agronome
19800035/1393/60986,,philosophe
LH/1990/53,,personnalité politique
19800035/954/10884,,mathématicien
LH/637/53,,aviateur
19800035/167/21419,,sculpteur | peintre
LH/723/73,,juriste | avocat
LH/1917/19,,auteur de littérature pour la jeunesse | communard | journaliste | haut fonctionnaire | personnalité politique | poète
LH/1984/25,,officier | personnalité politique | militaire
LH/338/18,,médiéviste | archiviste | historien
19800035/203/26547,,biologiste marin | zoologiste
LH/1691/75,,
LH/993/6,,peintre
LH/1674/31,,officier
LH/94/3,,personnalité politique
LH/2170/18,,personnalité politique
LH/1528/56,,entrepreneur | personnalité politique | personnalité du monde des affaires
LH/747/73,,personnalité politique | militaire
LH/2286/24,,inventeur | mécanicien | ingénieur
