leonoreid,datenaissance,ville,coordinatelieuN,datedeces,villedc,coordinatelieudc
LH/2523/33,1878-09-19T00:00:00Z,Razac-d'Eymet,Point(0.457777777 44.691944444),1944-12-24T00:00:00Z,Bergerac,Point(0.481944444 44.851111111)
LH/1601/52,1806-08-10T00:00:00Z,Paris,Point(2.351388888 48.856944444),1873-07-12T00:00:00Z,Le Mont-Saint-Michel,Point(-1.510277777 48.635833333)
19800035/1286/48454,1873-07-15T00:00:00Z,Paris,Point(2.351388888 48.856944444),1944-01-06T00:00:00Z,Marseille,Point(5.376388888 43.296666666)
19800035/1439/66535,1894-09-26T00:00:00Z,Marseille,Point(5.376388888 43.296666666),1977-03-28T00:00:00Z,Marseille,Point(5.376388888 43.296666666)
19800035/207/27175,1846-03-30T00:00:00Z,Saint-Vincent-de-Connezac,Point(0.3975 45.163888888),1936-10-04T00:00:00Z,Le Pizou,Point(0.062222222 45.025)
19800035/565/64383,1865-11-07T00:00:00Z,Auch,Point(0.588611111 43.645277777),1928-02-13T00:00:00Z,Auch,Point(0.588611111 43.645277777)
LH/2242/59,1883-12-15T00:00:00Z,Saint-Étienne,Point(4.389722222 45.433888888),1944-01-27T00:00:00Z,Le Cannet,Point(7.018611111 43.576111111)
LH/2563/57,1836-09-30T00:00:00Z,Cénac-et-Saint-Julien,Point(1.204444444 44.8),1908-12-27T00:00:00Z,Cénac-et-Saint-Julien,Point(1.204444444 44.8)
LH/2724/14,1821-05-09T00:00:00Z,Le Puy-en-Velay,Point(3.885 45.043333333),1882-10-06T00:00:00Z,Le Puy-en-Velay,Point(3.885 45.043333333)
LH/2269/96,1774-10-06T00:00:00Z,Sète,Point(3.696666666 43.404444444),1846-09-12T00:00:00Z,Sète,Point(3.696666666 43.404444444)
19800035/725/82492,1861-08-22T00:00:00Z,Pouilly-en-Auxois,Point(4.555833333 47.262777777),1940-02-27T00:00:00Z,Pouilly-en-Auxois,Point(4.555833333 47.262777777)
LH/151/76,1757-02-26T00:00:00Z,Saint-Mihiel,Point(5.54 48.889444444),1817-10-29T00:00:00Z,Saint-Mihiel,Point(5.54 48.889444444)
LH/2692/19,1820-12-25T00:00:00Z,Rochemaure,Point(4.703888888 44.5875),1896-06-01T00:00:00Z,Largentière,Point(4.293333333 44.542777777)
LH/951/31,1773-10-09T00:00:00Z,Avallon,Point(3.908333333 47.49),1854-12-06T00:00:00Z,Avallon,Point(3.908333333 47.49)
LH/392/77,1768-12-14T00:00:00Z,Dole,Point(5.489722222 47.092222222),1847-02-16T00:00:00Z,Dole,Point(5.489722222 47.092222222)
LH/1288/34,1762-11-29T00:00:00Z,Bourmont,Point(5.589166666 48.193611111),1850-08-26T00:00:00Z,Neufchâteau,Point(5.696111111 48.355555555)
19800035/822/93530,1881-10-24T00:00:00Z,Saint-Omer,Point(2.260833333 50.748333333),1946-03-20T00:00:00Z,Saint-Omer,Point(2.260833333 50.748333333)
LH/2535/3,1762-11-16T00:00:00Z,Paris,Point(2.351388888 48.856944444),1827-07-23T00:00:00Z,Saint-Sulpice,Point(3.3475 47.055555555)
LH/743/22,1823-08-26T00:00:00Z,Cérilly,Point(2.820833333 46.617777777),1902-02-18T00:00:00Z,Nice,Point(7.268333333 43.701944444)
19800035/287/38456,1889-06-09T00:00:00Z,Étampes,Point(2.162222222 48.435),1959-06-24T00:00:00Z,Nice,Point(7.268333333 43.701944444)
LH/2181/2,1815-10-07T00:00:00Z,Quimper,Point(-4.097777777 47.995833333),1887-08-25T00:00:00Z,Briec,Point(-4.001666666 48.101666666)
LH/2782/106,1753-11-09T00:00:00Z,Brioude,Point(3.384166666 45.294166666),1836-01-18T00:00:00Z,Brioude,Point(3.384166666 45.294166666)
LH/2528/19,1775-10-21T00:00:00Z,Saint-Céré,Point(1.891111111 44.859166666),1831-11-30T00:00:00Z,Figeac,Point(2.031666666 44.608611111)
LH/1468/30,1841-08-01T00:00:00Z,Sélestat,Point(7.454166666 48.259444444),1922-10-13T00:00:00Z,Sélestat,Point(7.454166666 48.259444444)
LH/1468/30,1841-08-01T00:00:00Z,Sélestat,Point(7.454166666 48.259444444),1922-10-13T00:00:00Z,Sélestat,Point(7.454166666 48.259444444)
19800035/260/34723,1854-11-02T00:00:00Z,Trizac,Point(2.538611111 45.253055555),1930-05-23T00:00:00Z,La Tour-d'Auvergne,Point(2.689166666 45.533888888)
LH/1007/16,1802-05-30T00:00:00Z,Saumur,Point(-0.078055555 47.259166666),1863-11-01T00:00:00Z,Chinon,Point(0.242777777 47.166944444)
19800035/249/33137,1846-10-22T00:00:00Z,Paris,Point(2.351388888 48.856944444),1930-06-28T00:00:00Z,Saint-Jean-de-Luz,Point(-1.659722222 43.390277777)
LH/2733/33,1838-11-20T00:00:00Z,Bar-sur-Aube,Point(4.706388888 48.233055555),1916-11-01T00:00:00Z,Bar-sur-Aube,Point(4.706388888 48.233055555)
LH/86/79,1864-02-26T00:00:00Z,Paris,Point(2.351388888 48.856944444),1944-02-10T00:00:00Z,Nancy,Point(6.183611111 48.692777777)
