nom,leonoreid,bnfid,datenaissance,ville,coordinatelieuN,datedeces,villedc,coordinatelieudc,metier,diplome
Vincent Auriol,C/0/21,11889587s,1884-08-27T00:00:00Z,Revel,Point(2.004166666 43.458611111),1966-01-01T00:00:00Z,Paris,Point(2.351388888 48.856944444),résistant,
Vincent Auriol,C/0/21,11889587s,1884-08-27T00:00:00Z,Revel,Point(2.004166666 43.458611111),1966-01-01T00:00:00Z,Paris,Point(2.351388888 48.856944444),personnalité politique,
Vincent Auriol,C/0/21,11889587s,1884-08-27T00:00:00Z,Revel,Point(2.004166666 43.458611111),1966-01-01T00:00:00Z,Paris,Point(2.351388888 48.856944444),avocat,
Louis-Nicolas Davout,LH/675/37,126000772,1770-05-10T00:00:00Z,Annoux,Point(4.050555555 47.626388888),1823-06-01T00:00:00Z,Paris,Point(2.351388888 48.856944444),officier,
Louis-Nicolas Davout,LH/675/37,126000772,1770-05-10T00:00:00Z,Annoux,Point(4.050555555 47.626388888),1823-06-01T00:00:00Z,Paris,Point(2.351388888 48.856944444),personnalité politique,
Louis-Nicolas Davout,LH/675/37,126000772,1770-05-10T00:00:00Z,Annoux,Point(4.050555555 47.626388888),1823-06-01T00:00:00Z,Paris,Point(2.351388888 48.856944444),militaire,
Patrice de Mac Mahon,C/0/4,13557696p,1808-06-13T00:00:00Z,Sully,Point(4.471388888 47.007222222),1893-10-17T00:00:00Z,Montcresson,Point(2.806944444 47.905833333),officier,
Patrice de Mac Mahon,C/0/4,13557696p,1808-06-13T00:00:00Z,Sully,Point(4.471388888 47.007222222),1893-10-17T00:00:00Z,Montcresson,Point(2.806944444 47.905833333),personnalité politique,
Patrice de Mac Mahon,C/0/4,13557696p,1808-06-13T00:00:00Z,Sully,Point(4.471388888 47.007222222),1893-10-17T00:00:00Z,Montcresson,Point(2.806944444 47.905833333),militaire,
Joseph Louis Proust,LH/2233/51,105340149,1754-09-26T00:00:00Z,Angers,Point(-0.555555555 47.472777777),1826-07-05T00:00:00Z,Angers,Point(-0.555555555 47.472777777),aérostier,
Joseph Louis Proust,LH/2233/51,105340149,1754-09-26T00:00:00Z,Angers,Point(-0.555555555 47.472777777),1826-07-05T00:00:00Z,Angers,Point(-0.555555555 47.472777777),chimiste,
Joseph Louis Proust,LH/2233/51,105340149,1754-09-26T00:00:00Z,Angers,Point(-0.555555555 47.472777777),1826-07-05T00:00:00Z,Angers,Point(-0.555555555 47.472777777),pharmacien,
Prosper Mérimée,LH/1837/26,11915671f,1803-09-28T00:00:00Z,Paris,Point(2.351388888 48.856944444),1870-09-23T00:00:00Z,Cannes,Point(7.021388888 43.5525),inspecteur général des monuments historiques,
Prosper Mérimée,LH/1837/26,11915671f,1803-09-28T00:00:00Z,Paris,Point(2.351388888 48.856944444),1870-09-23T00:00:00Z,Cannes,Point(7.021388888 43.5525),archéologue,
