ville,coordinatelieu
Chazilly,Point(4.582222222 47.183333333)
Bussières,Point(4.268333333 45.8375)
Roanne,Point(4.068055555 46.036111111)
Villebichot,Point(5.043888888 47.139722222)
Villers-la-Faye,Point(4.878055555 47.105833333)
Beurey-Bauguay,Point(4.423888888 47.2325)
Arconcey,Point(4.455277777 47.218611111)
Échevronne,Point(4.850833333 47.105555555)
Blancey,Point(4.465555555 47.303888888)
Armes,Point(3.547777777 47.458611111)
Gottesheim,Point(7.48 48.774722222)
Perrigny-lès-Dijon,Point(5.007222222 47.265833333)
Gingsheim,Point(7.588888888 48.716944444)
Varois-et-Chaignot,Point(5.130555555 47.350833333)
Villaines-les-Prévôtes,Point(4.306388888 47.554166666)
Voudenay,Point(4.379444444 47.093333333)
Brognon,Point(5.165555555 47.403888888)
Alligny-Cosne,Point(3.061944444 47.454166666)
Monthelie,Point(4.766666666 46.9925)
Saint-Apollinaire,Point(5.084166666 47.331666666)
Villars-Fontaine,Point(4.891388888 47.149166666)
Sennecey-lès-Dijon,Point(5.105277777 47.290555555)
Vosne-Romanée,Point(4.953888888 47.159444444)
Nantoux,Point(4.760555555 47.033055555)
Mavilly-Mandelot,Point(4.737777777 47.048888888)
Morsbronn-les-Bains,Point(7.741944444 48.9)
Forstfeld,Point(8.038611111 48.860277777)
Neuilly-lès-Dijon,Point(5.1075 47.279444444)
Clénay,Point(5.120833333 47.403888888)
Aunay-en-Bazois,Point(3.698611111 47.115277777)
Eckartswiller,Point(7.355 48.766111111)
Troyes,Point(4.078055555 48.298888888)
Arleuf,Point(4.0225 47.044722222)
Keskastel,Point(7.043888888 48.971388888)
Savigny-lès-Beaune,Point(4.818333333 47.063611111)
Bouhey,Point(4.668888888 47.200555555)
Civry-en-Montagne,Point(4.611388888 47.291388888)
Saint-Pierre-Bois,Point(7.356944444 48.333333333)
Fouday,Point(7.186111111 48.420833333)
Meloisey,Point(4.735 47.033055555)
Wilwisheim,Point(7.5075 48.748333333)
Kienheim,Point(7.578888888 48.688611111)
Brive-la-Gaillarde,Point(1.533055555 45.158888888)
Ouges,Point(5.075277777 47.261388888)
Chorey-les-Beaune,Point(4.8675 47.048055555)
Memmelshoffen,Point(7.869722222 48.960277777)
Quetigny,Point(5.106111111 47.314444444)
Crimolois,Point(5.120833333 47.274166666)
Ruffey-lès-Echirey,Point(5.080833333 47.366388888)
Saint-Julien,Point(5.143333333 47.400833333)
Bretigny,Point(5.1025 47.398611111)
Volnay,Point(4.781388888 47.001388888)
Bligny-lès-Beaune,Point(4.825 46.986944444)
Martrois,Point(4.536944444 47.310833333)
Orgeux,Point(5.154166666 47.362222222)
Chevigny-Saint-Sauveur,Point(5.135555555 47.301666666)
Vonges,Point(5.399444444 47.292222222)
Sarlat-la-Canéda,Point(1.216666666 44.89)
Avignon,Point(4.808333333 43.948611111)
Bouilland,Point(4.776388888 47.132222222)
Créancey,Point(4.585833333 47.246944444)
Pouilly-en-Auxois,Point(4.555833333 47.262777777)
Marcilly-Ogny,Point(4.405833333 47.2525)
Chevigny-en-Valière,Point(4.975277777 46.966944444)
Schwindratzheim,Point(7.601666666 48.756944444)
Pommard,Point(4.795 47.009166666)
Orléans,Point(1.904166666 47.902222222)
Meursault,Point(4.770555555 46.978055555)
Châteauneuf,Point(4.641111111 47.218888888)
Arc-sur-Tille,Point(5.191666666 47.343055555)
Le Mont-Saint-Michel,Point(-1.510277777 48.635833333)
Couternon,Point(5.15 47.333888888)
Corcelles-les-Arts,Point(4.794444444 46.9525)
Remilly-sur-Tille,Point(5.208055555 47.317777777)
