ville,coordinatelieu
Saint-Médard,Point(-0.278611111 46.212777777)
Grande-Rivière,Point(5.913055555 46.540833333)
Bussiares,Point(3.257222222 49.090833333)
Mazerier,Point(3.190277777 46.125277777)
Harly,Point(3.321111111 49.8425)
Saint-Bonnet-de-Rochefort,Point(3.138333333 46.146388888)
Les Autels-Saint-Bazile,Point(0.083055555 48.940555555)
Bazenville,Point(-0.586111111 49.303055555)
Artix,Point(-0.571666666 43.3975)
Seyne,Point(6.356388888 44.350555555)
Neuville-sur-Ain,Point(5.372222222 46.0825)
Gratens,Point(1.113888888 43.321944444)
Hurigny,Point(4.796111111 46.349444444)
Canapville,Point(0.135 49.317222222)
Chirat-l'Église,Point(3.034444444 46.243055555)
Chivres-Val,Point(3.435277777 49.395277777)
Conte,Point(6.000833333 46.748333333)
Cutry,Point(3.181666666 49.347222222)
Sarraziet,Point(-0.489166666 43.702777777)
Dirol,Point(3.653888888 47.316388888)
Barcus,Point(-0.772222222 43.188611111)
Cirey,Point(6.1325 47.396388888)
Aldudes,Point(-1.425833333 43.096111111)
Blonville-sur-Mer,Point(0.030277777 49.338333333)
Peyrieu,Point(5.6775 45.676666666)
Sainte-Foi,Point(1.914722222 43.129166666)
Chéry-Chartreuve,Point(3.613611111 49.262777777)
Saint-Ybars,Point(1.385833333 43.237777777)
La Bruyère,Point(6.455833333 47.809444444)
Cabanac-Séguenville,Point(1.034444444 43.793055555)
Guipy,Point(3.58 47.229166666)
La Puisaye,Point(0.956111111 48.609166666)
Arganchy,Point(-0.731388888 49.238333333)
Savignac-Mona,Point(1.007777777 43.489166666)
Saint-Girons-en-Béarn,Point(-0.830833333 43.554166666)
Vendeuvre-du-Poitou,Point(0.309444444 46.735555555)
Montjay,Point(5.31 46.806944444)
Bergues-sur-Sambre,Point(3.705833333 50.033333333)
Étréaupont,Point(3.915833333 49.903333333)
Mézériat,Point(5.047222222 46.234722222)
Pugieu,Point(5.649166666 45.821111111)
Sainte-Néomaye,Point(-0.258611111 46.373055555)
Beulotte-Saint-Laurent,Point(6.6775 47.860555555)
Bissières,Point(-0.093055555 49.113611111)
Celles-lès-Condé,Point(3.571388888 49.011944444)
Chaudardes,Point(3.791388888 49.391666666)
Les Trois-Domaines,Point(5.286666666 48.966666666)
Pianottoli-Caldarello,Point(9.056111111 41.494166666)
Étouvelles,Point(3.581388888 49.520277777)
Saint-Laurent-de-Gosse,Point(-1.268055555 43.532777777)
Bassussarry,Point(-1.51647 43.44272)
Bassussarry,Point(-1.511666666 43.446666666)
Arreux,Point(4.651666666 49.824722222)
Villers-Plouich,Point(3.134166666 50.078888888)
Collinée,Point(-2.52 48.300833333)
Montjoie-en-Couserans,Point(1.159444444 43.001666666)
Bonloc,Point(-1.266666666 43.368611111)
Berrogain-Laruns,Point(-0.864722222 43.244722222)
Berrogain-Laruns,Point(-0.85499 43.25223)
Goulles,Point(2.079722222 45.0425)
Hiers-Brouage,Point(-1.075555555 45.849722222)
Théhillac,Point(-2.116388888 47.567777777)
La Boissière,Point(0.130833333 49.136111111)
Montrond,Point(5.832222222 46.797777777)
Banca,Point(-1.374166666 43.126388888)
Foissiat,Point(5.174722222 46.370277777)
Bourgeauville,Point(0.054722222 49.273611111)
Cugny,Point(3.153333333 49.707222222)
Loussous-Débat,Point(0.073611111 43.652777777)
Corravillers,Point(6.6225 47.893055555)
Arbérats-Sillègue,Point(-0.995833333 43.341388888)
Dommiers,Point(3.209166666 49.326944444)
Chérêt,Point(3.684166666 49.515)
Saint-Médard,Point(0.834722222 43.128333333)
Branges,Point(5.174444444 46.645)
Contescourt,Point(3.230833333 49.7925)
Drom,Point(5.368611111 46.2175)
Dornas,Point(4.353333333 44.852777777)
Arbouet-Sussaute,Point(-1.001388888 43.370277777)
Arbouet-Sussaute,Point(-1.00026 43.36988)
Villacourt,Point(6.349166666 48.455833333)
Bonneville-sur-Touques,Point(0.119722222 49.338055555)
Le Plantay,Point(5.088888888 46.023055555)
Mendionde,Point(-1.298333333 43.340277777)
Sarroux,Point(2.43 45.414166666)
Saint-Laurent-Nouan,Point(1.6 47.71667)
Saint-Laurent-Nouan,Point(1.611666666 47.716666666)
Bucy-lès-Pierrepont,Point(3.9025 49.646944444)
Étreillers,Point(3.160277777 49.829166666)
Trégrom,Point(-3.405277777 48.600833333)
Vassogne,Point(3.728611111 49.421944444)
Brouay,Point(-0.564166666 49.2125)
Croix-Fonsomme,Point(3.402222222 49.920833333)
Yport,Point(0.313055555 49.737777777)
Le Veurdre,Point(3.039722222 46.756111111)
Bonrepos-Riquet,Point(1.623611111 43.676388888)
Saint-Pierre-du-Lorouër,Point(0.522222222 47.805555555)
Escos,Point(-0.997777777 43.446944444)
Nonières,Point(4.486944444 44.933333333)
Berre-les-Alpes,Point(7.328888888 43.830277777)
Montvicq,Point(2.821388888 46.319722222)
Ménoire,Point(1.791111111 45.105555555)
Vendeville,Point(3.078055555 50.575277777)
Monestier,Point(3.113333333 46.255555555)
Deuillet,Point(3.361388888 49.630277777)
Chevagnes,Point(3.550833333 46.611388888)
Tancarville,Point(0.453611111 49.486944444)
Douvres-la-Délivrande,Point(-0.379444444 49.293333333)
Maspie-Lalonquère-Juillacq,Point(-0.147777777 43.421388888)
Sebourg,Point(3.646666666 50.342222222)
Fossoy,Point(3.4825 49.048333333)
Douvrend,Point(1.322777777 49.869166666)
Feuges,Point(4.11 48.3975)
La Ferté-Saint-Samson,Point(1.524722222 49.578055555)
Villers-en-Prayères,Point(3.676388888 49.377222222)
Monestier,Point(4.531111111 45.198611111)
Billy-sur-Ourcq,Point(3.301666666 49.217777777)
Mussy-sur-Seine,Point(4.496944444 47.976944444)
Bonneville-la-Louvet,Point(0.339166666 49.274722222)
Gilhoc-sur-Ormèze,Point(4.688055555 44.986388888)
Bergouey-Viellenave,Point(-1.056666666 43.422777777)
Beautor,Point(3.344722222 49.650833333)
Dravegny,Point(3.638055555 49.230277777)
Villers-Agron-Aiguizy,Point(3.697777777 49.161388888)
Préaux,Point(1.213333333 49.491388888)
Cheniménil,Point(6.604166666 48.138333333)
Bethmale,Point(1.057222222 42.888888888)
Avessac,Point(-1.989722222 47.653333333)
Saint-Ilpize,Point(3.387777777 45.195833333)
Gacé,Point(0.296944444 48.793055555)
Bonneil,Point(3.348611111 49.0075)
Aubigny,Point(3.165833333 46.682222222)
Ciry-le-Noble,Point(4.300555555 46.605277777)
Leugny,Point(0.701111111 46.912222222)
Sénac,Point(0.183055555 43.356666666)
Versailleux,Point(5.103888888 45.980277777)
Crécy-la-Chapelle,Point(2.9075 48.858888888)
Bourg-d'Oueil,Point(0.498055555 42.859166666)
Woincourt,Point(1.5375 50.066388888)
Contrevoz,Point(5.628333333 45.806111111)
Senones,Point(6.981666666 48.395277777)
Moissy-Cramayel,Point(2.592222222 48.626111111)
Beugneux,Point(3.414166666 49.234444444)
Parcieux,Point(4.825277777 45.915555555)
Dun-sur-Auron,Point(2.571666666 46.884722222)
Soisy-sous-Montmorency,Point(2.299722222 48.987777777)
Coyolles,Point(3.043611111 49.234166666)
Seillans,Point(6.643333333 43.636111111)
Saint-Genis-sur-Menthon,Point(5.008888888 46.282222222)
Labastide-Villefranche,Point(-1.020555555 43.452777777)
Payzac,Point(1.217777777 45.401111111)
Le Luc,Point(6.312777777 43.394722222)
Boué,Point(3.698611111 50.011944444)
Nages,Point(2.779444444 43.675833333)
Fours,Point(3.719444444 46.817222222)
Bernot,Point(3.498611111 49.868888888)
Besson,Point(3.263888888 46.47)
Baulne-en-Brie,Point(3.613888888 48.987222222)
Barneville-la-Bertran,Point(0.187777777 49.388611111)
Saint-Dizier-l'Évêque,Point(6.961111111 47.470833333)
Cessières,Point(3.496388888 49.558333333)
Charbonnières-les-Bains,Point(4.746388888 45.780555555)
Joinville,Point(5.138055555 48.4425)
Solliès-Pont,Point(6.041111111 43.19)
Moret-sur-Loing,Point(2.815 48.3744)
Ainhice-Mongelos,Point(-1.155833333 43.205277777)
Callian,Point(6.753055555 43.622222222)
Boigny-sur-Bionne,Point(2.009444444 47.9275)
Caulaincourt,Point(3.106111111 49.864444444)
Saint-Lager-Bressac,Point(4.710555555 44.6925)
Villepinte,Point(2.086388888 43.281388888)
Fontenay-Trésigny,Point(2.869444444 48.7075)
Vaux-les-Prés,Point(5.883333333 47.236111111)
Glennes,Point(3.713611111 49.355)
Alaincourt,Point(3.375555555 49.764444444)
Louvemont-Côte-du-Poivre,Point(5.398333333 49.237777777)
Caussade,Point(1.536944444 44.161666666)
Villefranque,Point(-1.452777777 43.437222222)
Saint-Goin,Point(-0.701111111 43.246944444)
Rians,Point(5.757222222 43.606944444)
Villers-Farlay,Point(5.749722222 46.998611111)
Seillons-Source-d'Argens,Point(5.883611111 43.496388888)
Saint-Nizier-du-Moucherotte,Point(5.630277777 45.170833333)
Tusson,Point(0.068333333 45.934166666)
Tavernes,Point(6.016666666 43.593611111)
Pressiat,Point(5.385555555 46.323055555)
Buissy,Point(3.041111111 50.206388888)
Mouguerre,Point(-1.416111111 43.468333333)
Bosmont-sur-Serre,Point(3.859444444 49.731666666)
Cuqueron,Point(-0.551944444 43.3175)
La Farlède,Point(6.043055555 43.167777777)
Brasles,Point(3.427777777 49.049166666)
Saint-Laurent-sur-Saône,Point(4.839444444 46.305277777)
Curciat-Dongalon,Point(5.1575 46.475)
Dieue-sur-Meuse,Point(5.422222222 49.070833333)
Azy-sur-Marne,Point(3.366111111 49.001388888)
Orgeval,Point(1.975833333 48.920555555)
Boncourt,Point(3.945277777 49.616388888)
Firfol,Point(0.320555555 49.153888888)
Aincille,Point(-1.195277777 43.144722222)
Le Muy,Point(6.566388888 43.4725)
Cuirieux,Point(3.814722222 49.680833333)
Trans-en-Provence,Point(6.486111111 43.503333333)
Novillard,Point(6.970555555 47.606944444)
Cerseuil,Point(3.521388888 49.323611111)
Chemenot,Point(5.533611111 46.866944444)
Cerniébaud,Point(6.103888888 46.7325)
Cremeaux,Point(3.928333333 45.907777777)
Sézanne,Point(3.722777777 48.718888888)
Brissay-Choigny,Point(3.378055555 49.720555555)
Le Castellet,Point(5.776666666 43.202777777)
Chézy,Point(3.467777777 46.611111111)
Saint-Just-Sauvage,Point(3.784444444 48.554444444)
Donzère,Point(4.71 44.443611111)
Loddes,Point(3.766111111 46.288333333)
La Roquebrussanne,Point(5.976388888 43.340277777)
Trévenans,Point(6.861944444 47.570833333)
Berthenicourt,Point(3.381388888 49.771666666)
Moûtiers,Point(6.533888888 45.485)
Aurimont,Point(0.820833333 43.573333333)
Matton-et-Clémency,Point(5.204166666 49.665833333)
Bouillon,Point(-0.501111111 43.494166666)
Thiancourt,Point(6.990277777 47.523333333)
Bulgnéville,Point(5.834722222 48.207222222)
Beuste,Point(-0.231111111 43.218055555)
Chaourse,Point(3.9975 49.704166666)
Verzy,Point(4.163611111 49.146388888)
Picarreau,Point(5.745 46.753888888)
Craonne,Point(3.786666666 49.44)
Moustier-en-Fagne,Point(4.194166666 50.093888888)
Beaujeu,Point(4.588333333 46.154166666)
Chilly-sur-Salins,Point(5.867222222 46.89)
Wargnies,Point(2.255833333 50.034722222)
Troissy,Point(3.709722222 49.081111111)
Autremencourt,Point(3.786388888 49.704166666)
Bretagne,Point(6.997777777 47.595277777)
Carrère,Point(-0.280555555 43.483333333)
Sagnes-et-Goudoulet,Point(4.225833333 44.790277777)
Baudreix,Point(-0.2575 43.205833333)
Censeau,Point(6.068055555 46.813611111)
Sciez,Point(6.373888888 46.331944444)
Saint-Nicolas-aux-Bois,Point(3.431111111 49.592777777)
Barbeville,Point(-0.749166666 49.274722222)
Puisieux,Point(2.916388888 49.065277777)
Arhansus,Point(-1.035555555 43.2575)
Doazon,Point(-0.551388888 43.453333333)
Amendeuix-Oneix,Point(-1.046666666 43.345277777)
Festieux,Point(3.753888888 49.522222222)
Feillens,Point(4.891111111 46.335833333)
Tréogan,Point(-3.52 48.189166666)
Bayard-sur-Marne,Point(5.076666666 48.554166666)
Crouseilles,Point(-0.089166666 43.524722222)
Guéreins,Point(4.779722222 46.108055555)
Woignarue,Point(1.495277777 50.11)
Ligné,Point(0.107777777 45.921944444)
Tannières,Point(3.5525 49.290833333)
Sergy,Point(3.57 49.1825)
Beaufort-en-Vallée,Point(-0.215555555 47.439444444)
Burdignin,Point(6.423888888 46.221111111)
Collonges-sous-Salève,Point(6.145 46.141111111)
Casteide-Doat,Point(-0.012777777 43.373055555)
Fontenelle,Point(6.956388888 47.621666666)
Casteide-Cami,Point(-0.519444444 43.423611111)
Saint-André-Goule-d'Oie,Point(-1.191944444 46.835)
Pontchâteau,Point(-2.087777777 47.436944444)
Courcelles,Point(7.076388888 47.498333333)
Fluquières,Point(3.152777777 49.803333333)
Vougy,Point(4.118888888 46.103333333)
Querqueville,Point(-1.695277777 49.663333333)
La Chapelle-sur-Furieuse,Point(5.8575 46.997777777)
Chancey,Point(5.6825 47.321111111)
Fieulaine,Point(3.448611111 49.899166666)
Beaucouzé,Point(-0.632777777 47.475555555)
Landifay-et-Bertaignemont,Point(3.606388888 49.816944444)
Bastanès,Point(-0.77 43.347777777)
Trefcon,Point(3.095277777 49.857777777)
Verderonne,Point(2.498333333 49.329444444)
Le Merlerault,Point(0.285277777 48.700555555)
Olargues,Point(2.914722222 43.556388888)
Flavigny-le-Grand-et-Beaurain,Point(3.664722222 49.890833333)
Lesges,Point(3.507222222 49.306666666)
Fontaine-Uterte,Point(3.37 49.921944444)
Fresnes-en-Tardenois,Point(3.555833333 49.145833333)
Penguily,Point(-2.495 48.372222222)
Moncayolle-Larrory-Mendibieu,Point(-0.848055555 43.265833333)
Sargé-sur-Braye,Point(0.853055555 47.923611111)
Saint-André-Treize-Voies,Point(-1.412222222 46.934444444)
Beaubery,Point(4.398055555 46.403055555)
Beaumotte-lès-Pin,Point(5.830833333 47.316944444)
Hinacourt,Point(3.296111111 49.745)
Benerville-sur-Mer,Point(0.036666666 49.342222222)
Grainville-Langannerie,Point(-0.273055555 49.011666666)
Thun-Saint-Amand,Point(3.458888888 50.48)
Bosdarros,Point(-0.361388888 43.209722222)
Néoules,Point(6.012777777 43.311111111)
Saint-Laurent-de-Cuves,Point(-1.122777777 48.751666666)
Franqueville,Point(3.809444444 49.81)
Poix-du-Nord,Point(3.607777777 50.188888888)
Pierrefitte-Nestalas,Point(-0.073611111 42.961111111)
La Chambre,Point(6.3 45.359444444)
Pont-sur-Seine,Point(3.594722222 48.518888888)
Saint-Martin-d'Arrossa,Point(-1.313333333 43.238055555)
Cahagnolles,Point(-0.761388888 49.158611111)
Boeil-Bezing,Point(-0.266666666 43.221388888)
Gruissan,Point(3.088333333 43.106944444)
Lommoye,Point(1.513888888 48.993888888)
Volnay,Point(0.4675 47.932222222)
Cruseilles,Point(6.1075 46.034166666)
Tanneron,Point(6.875555555 43.590555555)
Larribar-Sorhapuru,Point(-1.014166666 43.292777777)
Saint-Aubin-la-Plaine,Point(-1.059166666 46.506388888)
Baigts-de-Béarn,Point(-0.838611111 43.511944444)
Portiragnes,Point(3.335833333 43.304444444)
Tence,Point(4.291111111 45.114166666)
Villecroze,Point(6.276388888 43.582222222)
Laigny,Point(3.853055555 49.858055555)
Sevenans,Point(6.865833333 47.586111111)
Pignans,Point(6.226666666 43.300555555)
Verberie,Point(2.731388888 49.310555555)
Surfontaine,Point(3.465555555 49.751111111)
Marquise,Point(1.703333333 50.814722222)
Sons-et-Ronchères,Point(3.674166666 49.7625)
Garchy,Point(3.071388888 47.263333333)
Vias,Point(3.418611111 43.312777777)
Bellou,Point(0.228055555 48.982222222)
Sequehart,Point(3.332777777 49.929444444)
Leschelle,Point(3.770555555 49.958611111)
Saint-Christophe-du-Ligneron,Point(-1.763055555 46.824166666)
La Ferté-Loupière,Point(3.235555555 47.895555555)
Montauroux,Point(6.765277777 43.618333333)
Saint-Aubin-des-Ormeaux,Point(-1.043333333 46.991388888)
Tavaux-et-Pontséricourt,Point(3.905 49.73)
L'Île-Bouchard,Point(0.424722222 47.12)
Lesdins,Point(3.327222222 49.896944444)
La Guerche,Point(0.730833333 46.884722222)
Berneuil,Point(-0.600277777 45.643055555)
Apchon,Point(2.693888888 45.249166666)
Sames,Point(-1.156388888 43.524166666)
Saint-Cyr-en-Talmondais,Point(-1.336944444 46.460555555)
Fontaine-Chaalis,Point(2.683611111 49.171388888)
Belfays,Point(6.896388888 47.259166666)
Espoey,Point(-0.165833333 43.242777777)
Boissey,Point(0.046944444 49.019166666)
Colombé-la-Fosse,Point(4.7875 48.263888888)
Nuillé-le-Jalais,Point(0.481388888 48.020277777)
La Terrasse,Point(5.931111111 45.323611111)
Roppe,Point(6.919444444 47.670555555)
Sainte-Geneviève,Point(4.071388888 49.719444444)
Fontaine-Notre-Dame,Point(3.428611111 49.884166666)
Hagetaubin,Point(-0.614722222 43.509444444)
Hagetaubin,Point(-0.61667 43.51667)
Montataire,Point(2.438333333 49.255555555)
Meillant,Point(2.5058 46.78088)
Frangy,Point(5.929722222 46.018888888)
Nénigan,Point(0.702777777 43.3575)
Isturits,Point(-1.20551 43.36509)
Isturits,Point(-1.205 43.365833333)
Mouchy-le-Châtel,Point(2.250277777 49.326111111)
Lanchy,Point(3.075555555 49.826666666)
Larressore,Point(-1.439166666 43.370277777)
Saint-Denis-du-Payré,Point(-1.26861 46.40722)
Saint-Denis-du-Payré,Point(-1.268611111 46.407222222)
Saint-Zacharie,Point(5.706666666 43.384166666)
Saint-Paul-de-Salers,Point(2.516388888 45.139722222)
Callas,Point(6.538333333 43.593055555)
Juxue,Point(-1.046111111 43.235833333)
Juxue,Point(-1.0458 43.23615)
Gassin,Point(6.585277777 43.228611111)
Mons,Point(2.955555555 43.571388888)
Mérona,Point(5.635277777 46.555555555)
Saint-Denis-la-Chevasse,Point(-1.358611111 46.821944444)
Le Revest-les-Eaux,Point(5.926388888 43.176388888)
Larche,Point(1.415555555 45.120555555)
Neuville-en-Avesnois,Point(3.580277777 50.196666666)
Viré-en-Champagne,Point(-0.290555555 47.984166666)
Rozerotte,Point(6.081388888 48.241666666)
Malville,Point(-1.863888888 47.361111111)
Saint-Martin-de-Crau,Point(4.8125 43.639722222)
Béraut,Point(0.401944444 43.915)
Viessoix,Point(-0.798611111 48.839722222)
La Romieu,Point(0.497777777 43.981944444)
Florimont,Point(7.068055555 47.510833333)
Ons-en-Bray,Point(1.919722222 49.414166666)
Ons-en-Bray,Point(1.92302 49.41631)
Conflans-sur-Loing,Point(2.789166666 47.9525)
Santoche,Point(6.5075 47.403888888)
Château-Larcher,Point(0.314444444 46.417222222)
Brombos,Point(1.887222222 49.646666666)
Brailly-Cornehotte,Point(1.959166666 50.217222222)
Brissac-Quincé,Point(-0.448888888 47.355)
Villeneuve-les-Sablons,Point(2.076666666 49.237222222)
Durtal,Point(-0.241388888 47.671944444)
Arthon-en-Retz,Point(-1.938611111 47.116388888)
Villaz,Point(6.189722222 45.951111111)
La Bresse,Point(6.875833333 48.005833333)
Cravanche,Point(6.8325 47.653888888)
Notre-Dame-du-Pré,Point(6.593611111 45.511944444)
La Chapelle-Saint-Maurice,Point(6.150277777 45.778611111)
Boumourt,Point(-0.51667 43.43333)
Quettetot,Point(-1.666666666 49.4875)
Grésy-sur-Aix,Point(5.933888888 45.723055555)
Isigny-le-Buat,Point(-1.171388888 48.618888888)
Estang,Point(-0.108611111 43.866388888)
Saint-Céneri-le-Gérei,Point(-0.052777777 48.38)
Tiffauges,Point(-1.111388888 47.013611111)
Tourves,Point(5.923888888 43.408055555)
Droisy,Point(5.882777777 45.965)
Marcq-en-Ostrevent,Point(3.241111111 50.286111111)
Thézan-des-Corbières,Point(2.771111111 43.103611111)
Reigny,Point(2.3525 46.576388888)
Le Plessis-Lastelle,Point(-1.426388888 49.281111111)
Chammes,Point(-0.377777777 48.076666666)
Bellecombe-en-Bauges,Point(6.142222222 45.737222222)
Sainte-Flaive-des-Loups,Point(-1.58 46.611944444)
Sainte-Flaive-des-Loups,Point(-1.58082 46.61303)
Aiglun,Point(6.914444444 43.8575)
Saint-Julien-Mont-Denis,Point(6.404444444 45.256388888)
Bazus,Point(1.5175 43.735555555)
La Serpent,Point(2.1825 42.967222222)
Vauvillers,Point(6.0975 47.9225)
Saint-Aubin-lès-Elbeuf,Point(1.011111111 49.300277777)
Cannes-et-Clairan,Point(4.084166666 43.900555555)
Sommette-Eaucourt,Point(3.117222222 49.739722222)
Glos,Point(0.280555555 49.1225)
Nozeroy,Point(6.036666666 46.774444444)
Marignac-en-Diois,Point(5.333611111 44.8025)
Objat,Point(1.408333333 45.263055555)
Le Pontet,Point(6.229166666 45.498333333)
Pugny-Chatenod,Point(5.954166666 45.695277777)
Cuon,Point(-0.101666666 47.478055555)
Carpiquet,Point(-0.444444444 49.186111111)
Vauville,Point(-1.846388888 49.6375)
Bourogne,Point(6.917777777 47.562222222)
Roquebrune,Point(0.022222222 44.629166666)
Ispoure,Point(-1.234166666 43.170833333)
Verfeil,Point(1.660833333 43.6575)
Saint-Seurin-de-Cadourne,Point(-0.789166666 45.286388888)
Buxy,Point(4.696666666 46.711666666)
Montmerle-sur-Saône,Point(4.758611111 46.081388888)
Moëslains,Point(4.895277777 48.620555555)
Salses-le-Château,Point(2.918888888 42.832777777)
Châteauneuf-sur-Loire,Point(2.222222222 47.865277777)
Saint-Saturnin,Point(2.237777777 46.5075)
Somme-Suippe,Point(4.580555555 49.115555555)
Dampvalley-Saint-Pancras,Point(6.197222222 47.909166666)
Sévignacq,Point(-0.262777777 43.441666666)
Beynac,Point(1.168888888 45.760277777)
Bellevaux,Point(6.531111111 46.256944444)
Salins-les-Bains,Point(5.878333333 46.941111111)
Correns,Point(6.079444444 43.4875)
Fleury,Point(-1.275833333 48.847777777)
Urville,Point(4.653333333 48.170555555)
Le Plan-de-la-Tour,Point(6.546388888 43.340555555)
Saint-Symphorien,Point(-0.115 48.072222222)
La Marche,Point(3.033888888 47.140555555)
Belmont,Point(6.503611111 47.786944444)
Saint-Mary-le-Plain,Point(3.161666666 45.186666666)
Bras,Point(5.953611111 43.471944444)
Berrie,Point(-0.068611111 47.067222222)
Belonchamp,Point(6.611111111 47.769722222)
Loix,Point(-1.441111111 46.223333333)
Fraisans,Point(5.760277777 47.149166666)
Lamnay,Point(0.704166666 48.116111111)
Belmont,Point(6.366388888 47.220833333)
Harbonnières,Point(2.669722222 49.848888888)
Signes,Point(5.862777777 43.291388888)
Basseneville,Point(-0.129444444 49.2)
Mons-en-Pévèle,Point(3.102222222 50.479444444)
Solliès-Ville,Point(6.038333333 43.182222222)
Templemars,Point(3.054444444 50.574166666)
Saint-Saviol,Point(0.228888888 46.139166666)
Grimaud,Point(6.521666666 43.273333333)
Sévignacq,Point(-0.26667 43.45)
Loubersan,Point(0.498888888 43.496666666)
Banneville-sur-Ajon,Point(-0.569722222 49.062777777)
Tanlay,Point(4.086666666 47.846388888)
Woirel,Point(1.823333333 49.959166666)
Cornimont,Point(6.839166666 47.963055555)
Saint-Laurent-en-Grandvaux,Point(5.956111111 46.575555555)
La Ferté-Alais,Point(2.348611111 48.482777777)
Puget-Ville,Point(6.136111111 43.289444444)
Savenay,Point(-1.94215 47.36072)
Savenay,Point(-1.941944444 47.361111111)
Neauphle-le-Château,Point(1.902222222 48.814444444)
Bellême,Point(0.560555555 48.376388888)
Solliès-Toucas,Point(6.025 43.205555555)
Saint-Nectaire,Point(2.992777777 45.588055555)
Polminhac,Point(2.5775 44.951666666)
Madiran,Point(-0.059444444 43.551388888)
Canteleu,Point(1.036111111 49.451111111)
Isle-sur-Marne,Point(4.688333333 48.640555555)
Marollette,Point(0.351111111 48.369722222)
Pontpoint,Point(2.640277777 49.301388888)
Bouvron,Point(-1.847777777 47.417777777)
Guîtres,Point(-0.186666666 45.041111111)
Guîtres,Point(-0.18333 45.03333)
Canteloup,Point(-0.130555555 49.132777777)
Virignin,Point(5.713055555 45.717222222)
Bois-Guillaume-Bihorel,Point(1.1092 49.4614)
Wiencourt-l'Équipée,Point(2.611111111 49.845277777)
Esplas,Point(1.498888888 43.1875)
La Chapelle-Haute-Grue,Point(0.1475 48.966666666)
La Hérelle,Point(2.414722222 49.590833333)
Les Authieux-Papion,Point(0.053888888 49.065833333)
Lugny,Point(4.809722222 46.4725)
Méru,Point(2.135 49.235833333)
Carqueiranne,Point(6.073611111 43.095)
Rocbaron,Point(6.090833333 43.304166666)
Cheux,Point(-0.525833333 49.166111111)
Penly,Point(1.231666666 49.979444444)
Noyelles-en-Chaussée,Point(1.980277777 50.208055555)
Saint-Sylvestre-Pragoulin,Point(3.393611111 46.054166666)
Nieulle-sur-Seudre,Point(-1.0025 45.753055555)
Sauviac,Point(0.453611111 43.405)
Villaines-sous-Malicorne,Point(-0.100555555 47.763611111)
Chevenoz,Point(6.638611111 46.339722222)
Pondaurat,Point(-0.088055555 44.536944444)
Scionzier,Point(6.55 46.057222222)
Montcel,Point(3.066111111 46.014722222)
Riboux,Point(5.756388888 43.303333333)
Lavault-Sainte-Anne,Point(2.600277777 46.31)
Moirans-en-Montagne,Point(5.725555555 46.431666666)
Champagney,Point(5.515277777 47.26)
Puceul,Point(-1.616944444 47.521944444)
Warsy,Point(2.648611111 49.699166666)
Mérignat,Point(5.436666666 46.069444444)
Givry,Point(4.743055555 46.782222222)
Lubine,Point(7.151666666 48.316666666)
Randan,Point(3.354722222 46.017777777)
Yaucourt-Bussus,Point(1.976666666 50.103611111)
Dingy-en-Vuache,Point(5.944722222 46.091944444)
Neuvecelle,Point(6.6125 46.395)
Le Bû-sur-Rouvres,Point(-0.18 49.033333333)
Le Fossé,Point(1.572222222 49.608611111)
Belvoir,Point(6.603333333 47.3175)
Bures-les-Monts,Point(-0.965277777 48.946666666)
Cintheaux,Point(-0.292222222 49.055277777)
Lezay,Point(-0.008611111 46.264444444)
Mégevette,Point(6.497777777 46.199444444)
Wiry-au-Mont,Point(1.839722222 49.963055555)
Varengeville-sur-Mer,Point(0.994722222 49.905833333)
Cléry-Saint-André,Point(1.756666666 47.821111111)
Lully,Point(6.415555555 46.283333333)
Daon,Point(-0.638888888 47.75)
Papaichton,Point(-54.148888888 3.809722222)
Etaux,Point(6.293888888 46.065555555)
Laval-Roquecezière,Point(2.647777777 43.806944444)
Boissia,Point(5.734722222 46.5925)
Le Puiset,Point(1.865277777 48.208333333)
Fontaines-sur-Marne,Point(5.102777777 48.544722222)
Canville-la-Rocque,Point(-1.637222222 49.341666666)
Berthenonville,Point(1.661388888 49.183055555)
Colombières,Point(-0.992222222 49.296111111)
Prémanon,Point(6.031388888 46.461944444)
Torcé,Point(-1.265833333 48.061666666)
Villers-au-Tertre,Point(3.1825 50.301944444)
Montmorency-Beaufort,Point(4.562777777 48.486388888)
Fronton,Point(1.389444444 43.840277777)
Belverne,Point(6.650833333 47.630833333)
Bouaye,Point(-1.688888888 47.143611111)
Chevigny,Point(5.475277777 47.176666666)
Alliancelles,Point(4.8825 48.81)
Saint-Gervais-de-Vic,Point(0.740833333 47.886944444)
Boussy,Point(5.983055555 45.856111111)
Bouverans,Point(6.208055555 46.853333333)
Concourson-sur-Layon,Point(-0.340277777 47.174444444)
Estouteville-Écalles,Point(1.319166666 49.591111111)
Noailhac,Point(2.375277777 44.565833333)
Gonneville-en-Auge,Point(-0.189722222 49.261666666)
Jaucourt,Point(4.646944444 48.259166666)
Lompret,Point(2.989444444 50.668888888)
Renescure,Point(2.371111111 50.730555555)
Cier-de-Rivière,Point(0.633611111 43.063055555)
Cauvicourt,Point(-0.263888888 49.046666666)
Lagos,Point(-0.224722222 43.208611111)
Morteaux-Coulibœuf,Point(-0.075277777 48.924444444)
Montpont-en-Bresse,Point(5.164166666 46.557222222)
Mareuil-en-Brie,Point(3.743611111 48.958055555)
Bulle,Point(6.223055555 46.893888888)
